year,resistance_group,n,annual_total,percent
2015,MDR,81,142,57.04225352112676
2015,Other,61,142,42.95774647887324
2016,MDR,81,156,51.92307692307692
2016,Other,75,156,48.07692307692308
2017,MDR,77,143,53.84615384615385
2017,Other,66,143,46.15384615384615
2018,MDR,41,122,33.60655737704918
2018,Other,80,122,65.57377049180327
2018,XDR,1,122,0.819672131147541
2019,MDR,20,127,15.748031496062993
2019,Other,96,127,75.59055118110236
2019,XDR,11,127,8.661417322834646
2020,MDR,9,85,10.588235294117647
2020,Other,64,85,75.29411764705883
2020,XDR,12,85,14.117647058823529
2021,MDR,7,37,18.91891891891892
2021,Other,25,37,67.56756756756756
2021,XDR,5,37,13.513513513513514
2022,MDR,9,47,19.148936170212767
2022,Other,33,47,70.2127659574468
2022,XDR,5,47,10.638297872340425
2023,MDR,6,48,12.5
2023,Other,40,48,83.33333333333333
2023,XDR,2,48,4.166666666666667
