isolate_id,source_isolate_id,run_accession,sample_accession,country,source_type,source_detail,invasive,year,lineage,sequence_type,clonal_complex,source_group,in_CC25_tree,in_ST335_tree,CC25_order,ST335_order,experiment_accession,accession_basis,XDR_genomic_profile,MDR_genomic_profile,CARB_R_genomic_marker,MAC_R_genomic_marker,genomic_determinants,AMRFinder_class_count,filtered_determinant_count,phenotyped_Kenneth,XDR_phenotype,CC25_panel,ST335_panel,plot_label,matrix_position
44341_3_304,44341_3#304,ERR16714663,ERS29128468,Malawi,River,Water associated sample,No,2020,5,335,25,River water,1,1,1,1,ERX16105628,Supplied isolate accession workbook,1,1,0,0,blaOXA-1; blaOXA-10; cmlA5; floR; dfrA23; blaCTX-M-15; qnrB1; tet(A); sul1; sul2; aac(3)-IIe; aac(6')-Ib-cr5; aadA1; aph(3'')-Ib; aph(6)-Id; arr-2; qacEdelta1,10,17,0,Other,CC25-01,ST335-01,44341_3_304 | ERR16714663,1
44341_3_305,44341_3#305,ERR16714664,ERS29128469,Malawi,River,Water associated sample,No,2020,5,335,25,River water,1,1,2,2,ERX16105629,Supplied isolate accession workbook,1,1,0,0,blaOXA-1; blaOXA-10; cmlA5; floR; dfrA23; blaCTX-M-15; qnrB1; tet(A); sul1; sul2; aac(3)-IIe; aac(6')-Ib-cr5; aadA1; aph(3'')-Ib; aph(6)-Id; arr-2; qacEdelta1,10,17,0,Other,CC25-01,ST335-01,44341_3_305 | ERR16714664,2
44341_3_281,44341_3#281,ERR16714662,ERS29128467,Malawi,River,Water associated sample,No,2020,5,335,25,River water,1,1,3,3,ERX16105627,Supplied isolate accession workbook,1,1,0,0,blaOXA-1; blaOXA-10; cmlA5; floR; dfrA23; blaCTX-M-15; qnrB1; tet(A); sul1; sul2; aac(3)-IIe; aac(6')-Ib-cr5; aadA1; aph(3'')-Ib; aph(6)-Id; arr-2; qacEdelta1,10,17,0,Other,CC25-01,ST335-01,44341_3_281 | ERR16714662,3
CIV13XE8,CIV13XE8_S20_L001,ERR16714702,ERS29128507,Malawi,Hospital environment,Chatinkha Nursery,No,2020,5,335,25,Neonatal unit sampling,1,1,4,4,ERX16105667,Supplied isolate accession workbook,1,1,0,0,blaOXA-1; blaOXA-10; cmlA5; floR; dfrA23; blaCTX-M-15; qnrB1; tet(A); sul1; sul2; aac(3)-IIe; aac(6')-Ib-cr5; aadA1; aph(3'')-Ib; aph(6)-Id; arr-2; qacEdelta1,10,17,0,Other,CC25-01,ST335-01,CIV13XE8 | ERR16714702,4
44341_3_128,44341_3#128,ERR16714653,ERS29128458,Malawi,River,Water associated sample,No,2020,5,335,25,River water,1,1,5,5,ERX16105618,Supplied isolate accession workbook,1,1,0,0,blaOXA-1; blaOXA-10; cmlA5; floR; dfrA23; blaCTX-M-15; qnrB1; tet(A); sul1; sul2; aac(3)-IIe; aac(6')-Ib-cr5; aadA1; aph(3'')-Ib; aph(6)-Id; arr-2; qacEdelta1,10,17,0,Other,CC25-01,ST335-01,44341_3_128 | ERR16714653,5
44341_3_131,44341_3#131,ERR16714654,ERS29128459,Malawi,River,Water associated sample,No,2020,5,335,25,River water,1,1,6,6,ERX16105619,Supplied isolate accession workbook,1,1,0,0,blaOXA-1; blaOXA-10; cmlA5; floR; dfrA23; blaCTX-M-15; qnrB1; tet(A); sul1; sul2; aac(3)-IIe; aac(6')-Ib-cr5; aadA1; aph(3'')-Ib; aph(6)-Id; arr-2; qacEdelta1,10,17,0,Other,CC25-01,ST335-01,44341_3_131 | ERR16714654,6
44341_3_136,44341_3#136,ERR16714655,ERS29128460,Malawi,River,Water associated sample,No,2020,5,335,25,River water,1,1,7,7,ERX16105620,Supplied isolate accession workbook,0,1,0,0,blaOXA-1; blaOXA-10; cmlA5; floR; dfrA23; qnrB1; tet(A); sul1; sul2; aac(6')-Ib-cr5; aadA1; aph(3'')-Ib; aph(6)-Id; arr-2; qacEdelta1,10,15,0,Other,CC25-01,ST335-01,44341_3_136 | ERR16714655,7
CIV13PE7,CIV13PE7_S12_L001,ERR16714696,ERS29128501,Malawi,Hospital environment,Chatinkha Nursery,No,2020,5,335,25,Neonatal unit sampling,1,1,8,8,ERX16105661,Supplied isolate accession workbook,1,1,0,0,blaOXA-1; blaOXA-10; cmlA5; floR; dfrA23; blaCTX-M-15; qnrB1; tet(A); sul1; sul2; aac(3)-IIe; aac(6')-Ib-cr5; aadA1; aph(3'')-Ib; aph(6)-Id; arr-2; qacEdelta1,10,17,0,Other,CC25-01,ST335-01,CIV13PE7 | ERR16714696,8
CIT159B1,CIT159B1_S40_L001,ERR16714687,ERS29128492,Malawi,Hospital environment,Chatinkha Nursery,No,2020,5,335,25,Neonatal unit sampling,1,1,9,9,ERX16105652,Supplied isolate accession workbook,1,1,0,0,blaOXA-1; blaOXA-10; cmlA5; floR; dfrA23; blaCTX-M-15; qnrB1; tet(A); sul1; sul2; aac(3)-IIe; aac(6')-Ib-cr5; aadA1; aph(3'')-Ib; aph(6)-Id; arr-2; qacEdelta1,10,17,0,Other,CC25-01,ST335-01,CIT159B1 | ERR16714687,9
CIT15EB1,CIT15EB1_S3_L001,ERR16714688,ERS29128493,Malawi,Hospital environment,Chatinkha Nursery,No,2020,5,335,25,Neonatal unit sampling,1,1,10,10,ERX16105653,Supplied isolate accession workbook,1,1,0,0,blaOXA-1; blaOXA-10; cmlA5; floR; dfrA23; blaCTX-M-15; qnrB1; tet(A); sul1; sul2; aac(3)-IIe; aac(6')-Ib-cr5; aadA1; aph(3'')-Ib; aph(6)-Id; arr-2; qacEdelta1,10,17,1,1,CC25-01,ST335-01,CIT15EB1 | ERR16714688,10
