isolate_id,run_accession,sample_accession,lineage,sequence_type,country,source_group
44341_3_304,ERR16714663,ERS29128468,5,335,Malawi,River water
44341_3_305,ERR16714664,ERS29128469,5,335,Malawi,River water
44341_3_281,ERR16714662,ERS29128467,5,335,Malawi,River water
CIV13XE8,ERR16714702,ERS29128507,5,335,Malawi,Neonatal unit sampling
44341_3_128,ERR16714653,ERS29128458,5,335,Malawi,River water
44341_3_131,ERR16714654,ERS29128459,5,335,Malawi,River water
44341_3_136,ERR16714655,ERS29128460,5,335,Malawi,River water
CIV13PE7,ERR16714696,ERS29128501,5,335,Malawi,Neonatal unit sampling
CIT159B1,ERR16714687,ERS29128492,5,335,Malawi,Neonatal unit sampling
CIT15EB1,ERR16714688,ERS29128493,5,335,Malawi,Neonatal unit sampling
CIS153C1,ERR16714684,ERS29128489,5,335,Malawi,Neonatal unit sampling
CIV147E3,ERR16714720,ERS29128525,5,335,Malawi,Neonatal unit sampling
CIT15FH1,ERR16714690,ERS29128495,5,335,Malawi,Neonatal unit sampling
CIV143E2,ERR16714713,ERS29128518,5,335,Malawi,Neonatal unit sampling
CIU145B1,ERR16714694,ERS29128499,5,335,Malawi,Neonatal unit sampling
44341_3_310,ERR16714665,ERS29128470,5,335,Malawi,River water
CIV13XE2,ERR16714700,ERS29128505,5,335,Malawi,Neonatal unit sampling
44341_4_275,ERR16714667,ERS29128472,5,335,Malawi,River water
CIT15FB1,ERR16714689,ERS29128494,5,335,Malawi,Neonatal unit sampling
CIV13XU1,ERR16714703,ERS29128508,5,335,Malawi,Neonatal unit sampling
CIV142E6,ERR16714712,ERS29128517,5,335,Malawi,Neonatal unit sampling
CIV143U1,ERR16714716,ERS29128521,5,335,Malawi,Neonatal unit sampling
CIV143E9,ERR16714715,ERS29128520,5,335,Malawi,Neonatal unit sampling
CNS1F3,ERR16714723,ERS29128528,5,335,Malawi,QECH clinical
CAAYSI,ERR16714683,ERS29128488,5,335,Malawi,QECH clinical
CIT15GS1,ERR16714692,ERS29128497,5,335,Malawi,Neonatal unit sampling
CIV13RE2,ERR16714697,ERS29128502,5,335,Malawi,Neonatal unit sampling
CIV141E6,ERR16714711,ERS29128516,5,335,Malawi,Neonatal unit sampling
CIS15HB1,ERR16714685,ERS29128490,5,335,Malawi,Neonatal unit sampling
CIV140U1,ERR16714710,ERS29128515,5,335,Malawi,Neonatal unit sampling
CIV140E4,ERR16714707,ERS29128512,5,335,Malawi,Neonatal unit sampling
CIV140E7,ERR16714709,ERS29128514,5,335,Malawi,Neonatal unit sampling
CAAXQV,ERR16714680,ERS29128485,5,335,Malawi,QECH clinical
CIV13UE4,ERR16714698,ERS29128503,5,335,Malawi,Neonatal unit sampling
CIS15MR1,ERR16714686,ERS29128491,5,335,Malawi,Neonatal unit sampling
CIV13YE6,ERR16714704,ERS29128509,5,335,Malawi,Neonatal unit sampling
CIV143E4,ERR16714714,ERS29128519,5,335,Malawi,Neonatal unit sampling
CIV13XE5,ERR16714701,ERS29128506,5,335,Malawi,Neonatal unit sampling
CIT15GH1,ERR16714691,ERS29128496,5,335,Malawi,Neonatal unit sampling
CIV140E1,ERR16714706,ERS29128511,5,335,Malawi,Neonatal unit sampling
CIV140E6,ERR16714708,ERS29128513,5,335,Malawi,Neonatal unit sampling
CIU13XS1,ERR16714693,ERS29128498,5,335,Malawi,Neonatal unit sampling
CIV146E8,ERR16714719,ERS29128524,5,335,Malawi,Neonatal unit sampling
CIU149H1,ERR16714695,ERS29128500,5,335,Malawi,Neonatal unit sampling
CIV144E6,ERR16714717,ERS29128522,5,335,Malawi,Neonatal unit sampling
CIV13VE5,ERR16714699,ERS29128504,5,335,Malawi,Neonatal unit sampling
CIV13YE8,ERR16714705,ERS29128510,5,335,Malawi,Neonatal unit sampling
CIV144U1,ERR16714718,ERS29128523,5,335,Malawi,Neonatal unit sampling
CNSP0U,ERR16714732,ERS29128537,5,335,Malawi,QECH clinical
CNSKFP,ERR16714729,ERS29128534,5,335,Malawi,QECH clinical
CNSLL4,ERR16714730,ERS29128535,5,335,Malawi,QECH clinical
ERR9941258,ERR9941258,ERS12446656,5,335,South Africa,Other
ERR9929342,ERR9929342,ERS12419513,5,335,South Africa,Other
ERR9966382,ERR9966382,ERS12472969,5,335,South Africa,Other
CLL3JA,ERR16714721,ERS29128526,5,335,Malawi,QECH clinical
CNS7YP,ERR16714726,ERS29128531,5,335,Malawi,QECH clinical
BKRRIF,ERR16714670,ERS29128475,5,335,Malawi,QECH clinical
CNS6QU,ERR16714725,ERS29128530,5,335,Malawi,QECH clinical
44341_3_96,ERR16714666,ERS29128471,5,335,Malawi,River water
44341_3_21,ERR16714657,ERS29128462,5,335,Malawi,River water
BKRMVD,ERR16714669,ERS29128474,5,335,Malawi,QECH clinical
CAAYDF,ERR16714681,ERS29128486,5,335,Malawi,QECH clinical
CAAXBN,ERR16714679,ERS29128484,5,335,Malawi,QECH clinical
44341_3_165,ERR16714656,ERS29128461,5,335,Malawi,River water
44341_3_262,ERR16714658,ERS29128463,5,335,Malawi,River water
44341_3_265,ERR16714659,ERS29128464,5,335,Malawi,River water
44341_4_286,ERR16714668,ERS29128473,5,335,Malawi,River water
44341_3_268,ERR16714660,ERS29128465,5,335,Malawi,River water
44341_3_280,ERR16714661,ERS29128466,5,335,Malawi,River water
CAAP2A,ERR16714672,ERS29128477,5,335,Malawi,QECH clinical
CNSFP4,ERR16714728,ERS29128533,5,335,Malawi,QECH clinical
CNSDXZ,ERR16714727,ERS29128532,5,335,Malawi,QECH clinical
CAAQXB,ERR16714675,ERS29128480,5,335,Malawi,QECH clinical
CAAR9T,ERR16714676,ERS29128481,5,335,Malawi,QECH clinical
CAAQUT,ERR16714674,ERS29128479,5,335,Malawi,QECH clinical
CAARE3,ERR16714677,ERS29128482,5,335,Malawi,QECH clinical
CLL6CH,ERR16714722,ERS29128527,5,335,Malawi,QECH clinical
ERR10438737,ERR10438737,ERS13617319,5,335,Mozambique,Other
ERR10113269,ERR10113269,ERS12799913,5,335,South Africa,Other
ERR6752971,ERR6752971,ERS7770191,5,335,South Africa,Other
ERR5751227,ERR5751227,ERS6282873,5,335,South Africa,Other
ERR9976609,ERR9976609,ERS12496855,5,335,South Africa,Other
ERR11219800,ERR11219800,ERS14904180,5,335,South Africa,Other
ERR12142619,ERR12142619,ERS16508086,5,335,South Africa,Other
ERR11747325,ERR11747325,ERS16093247,5,335,South Africa,Other
ERR11502778,ERR11502778,ERS15562768,5,335,South Africa,Other
ERR7197834,ERR7197834,ERS8210686,5,335,South Africa,Other
ERR9079758,ERR9079758,ERS10862849,5,335,South Africa,Other
ERR6806255,ERR6806255,ERS7644978,5,335,South Africa,Other
ERR6805990,ERR6805990,ERS7644713,5,335,South Africa,Other
ERR6806776,ERR6806776,ERS7645497,5,335,South Africa,Other
ERR5750995,ERR5750995,ERS6282641,5,335,South Africa,Other
ERR6806749,ERR6806749,ERS7645470,5,335,South Africa,Other
ERR6805998,ERR6805998,ERS7644721,5,335,South Africa,Other
ERR6806833,ERR6806833,ERS7645554,5,335,South Africa,Other
ERR12080226,ERR12080226,ERS16430401,5,335,South Africa,Other
ERR12321283,ERR12321283,ERS17171917,5,335,South Africa,Other
ERR12321282,ERR12321282,ERS17171916,5,335,South Africa,Other
ERR12067314,ERR12067314,ERS16390336,5,335,South Africa,Other
ERR12321281,ERR12321281,ERS17171915,5,335,South Africa,Other
ERR12142634,ERR12142634,ERS16508101,5,335,South Africa,Other
ERR6753111,ERR6753111,ERS7770331,5,335,South Africa,Other
ERR6806796,ERR6806796,ERS7645517,5,335,South Africa,Other
ERR6806789,ERR6806789,ERS7645510,5,335,South Africa,Other
ERR9971918,ERR9971918,ERS12480441,5,335,South Africa,Other
ERR7197741,ERR7197741,ERS8210595,5,335,South Africa,Other
ERR5751808,ERR5751808,ERS6283454,5,335,South Africa,Other
ERR12321280,ERR12321280,ERS17171914,5,335,South Africa,Other
ERR9692774,ERR9692774,ERS11935911,5,335,South Africa,Other
ERR6752863,ERR6752863,ERS7770083,5,335,South Africa,Other
SRR9273829,SRR9273829,SRS4947096,5,335,United Kingdom,Other
ERR9079830,ERR9079830,ERS10862921,5,335,South Africa,Other
ERR10880116,ERR10880116,ERS14631590,5,335,South Africa,Other
ERR5751304,ERR5751304,ERS6282950,5,335,South Africa,Other
ERR6806714,ERR6806714,ERS7645435,5,335,South Africa,Other
ERR5751296,ERR5751296,ERS6282942,5,335,South Africa,Other
ERR4451427,ERR4451427,ERS4936998,5,335,South Africa,Other
ERR6806125,ERR6806125,ERS7644848,5,335,South Africa,Other
ERR6806317,ERR6806317,ERS7645040,5,335,South Africa,Other
ERR12067371,ERR12067371,ERS16390441,5,335,South Africa,Other
ERR6806075,ERR6806075,ERS7644798,5,335,South Africa,Other
ERR10176870,ERR10176870,ERS13445953,5,335,South Africa,Other
ERR10460856,ERR10460856,ERS13656118,5,335,South Africa,Other
ERR10460902,ERR10460902,ERS13656164,5,335,South Africa,Other
ERR6806726,ERR6806726,ERS7645447,5,335,South Africa,Other
ERR12078572,ERR12078572,ERS16427368,5,335,South Africa,Other
ERR11747320,ERR11747320,ERS16093242,5,335,South Africa,Other
ERR12495482,ERR12495482,ERS17748274,5,335,South Africa,Other
ERR5751726,ERR5751726,ERS6283372,5,335,South Africa,Other
ERR6806512,ERR6806512,ERS7645233,5,335,South Africa,Other
ERR9924209,ERR9924209,ERS12382480,5,335,South Africa,Other
ERR10460483,ERR10460483,ERS13655839,4,335,South Africa,South African outbreak
ERR9785511,ERR9785511,ERS12086359,4,335,South Africa,South African outbreak
ERR10087012,ERR10087012,ERS12761375,4,335,South Africa,South African outbreak
ERR9079768,ERR9079768,ERS10862859,4,335,South Africa,Other
ERR9822149,ERR9822149,ERS12149066,4,335,South Africa,South African outbreak
ERR9822145,ERR9822145,ERS12149062,4,335,South Africa,South African outbreak
ERR9822146,ERR9822146,ERS12149063,4,335,South Africa,South African outbreak
ERR9785509,ERR9785509,ERS12086357,4,335,South Africa,South African outbreak
ERR10176872,ERR10176872,ERS13445955,4,335,South Africa,South African outbreak
ERR9966389,ERR9966389,ERS12472976,4,335,South Africa,South African outbreak
ERR10460765,ERR10460765,ERS13656027,4,335,South Africa,South African outbreak
ERR10109275,ERR10109275,ERS12792508,4,335,South Africa,South African outbreak
ERR11807704,ERR11807704,ERS16229032,4,335,South Africa,Other
ERR10109276,ERR10109276,ERS12792509,4,335,South Africa,South African outbreak
ERR9785510,ERR9785510,ERS12086358,4,335,South Africa,South African outbreak
ERR9820422,ERR9820422,ERS12147978,4,335,South Africa,South African outbreak
ERR10880181,ERR10880181,ERS14631653,4,335,South Africa,Other
ERR10088101,ERR10088101,ERS12764179,4,335,South Africa,South African outbreak
ERR12312688,ERR12312688,ERS17080491,4,335,South Africa,Other
ERR11201827,ERR11201827,ERS14886263,4,335,South Africa,Other
ERR12312689,ERR12312689,ERS17080492,4,335,South Africa,Other
ERR12495485,ERR12495485,ERS17748277,4,335,South Africa,Other
ERR12312692,ERR12312692,ERS17080495,4,335,South Africa,Other
ERR10123168,ERR10123168,ERS12853251,4,335,South Africa,South African outbreak
ERR10123167,ERR10123167,ERS12853250,4,335,South Africa,South African outbreak
ERR9966387,ERR9966387,ERS12472974,4,335,South Africa,South African outbreak
ERR10949310,ERR10949310,ERS14699590,4,335,South Africa,Other
ERR10460875,ERR10460875,ERS13656137,4,335,South Africa,South African outbreak
ERR9966390,ERR9966390,ERS12472977,4,335,South Africa,South African outbreak
ERR10176866,ERR10176866,ERS13445949,4,335,South Africa,South African outbreak
ERR10460687,ERR10460687,ERS13655949,4,335,South Africa,South African outbreak
ERR12078573,ERR12078573,ERS16427369,4,335,South Africa,Other
ERR9785512,ERR9785512,ERS12086360,4,335,South Africa,South African outbreak
ERR12165616,ERR12165616,ERS16536124,4,335,South Africa,Other
ERR10460887,ERR10460887,ERS13656149,4,335,South Africa,South African outbreak
ERR10880335,ERR10880335,ERS14631805,4,335,South Africa,Other
ERR10880156,ERR10880156,ERS14631629,4,335,South Africa,Other
ERR10880377,ERR10880377,ERS14631847,4,335,South Africa,Other
ERR10088105,ERR10088105,ERS12764183,4,335,South Africa,South African outbreak
ERR12321284,ERR12321284,ERS17171918,4,335,South Africa,Other
ERR9966388,ERR9966388,ERS12472975,4,335,South Africa,South African outbreak
ERR10026000,ERR10026000,ERS12558864,4,335,South Africa,South African outbreak
ERR9822144,ERR9822144,ERS12149061,4,335,South Africa,South African outbreak
ERR10088104,ERR10088104,ERS12764182,4,335,South Africa,South African outbreak
ERR10088102,ERR10088102,ERS12764180,4,335,South Africa,South African outbreak
ERR9822151,ERR9822151,ERS12149068,4,335,South Africa,South African outbreak
ERR10109255,ERR10109255,ERS12792488,4,335,South Africa,South African outbreak
ERR11810274,ERR11810274,ERS16232368,4,335,South Africa,Other
ERR9966386,ERR9966386,ERS12472973,4,335,South Africa,South African outbreak
ERR12259395,ERR12259395,ERS16917052,4,335,South Africa,Other
ERR12091513,ERR12091513,ERS16451565,4,335,South Africa,Other
ERR10125140,ERR10125140,ERS13358373,4,335,South Africa,South African outbreak
ERR10949303,ERR10949303,ERS14699583,4,335,South Africa,Other
ERR10109277,ERR10109277,ERS12792510,4,335,South Africa,South African outbreak
ERR10087013,ERR10087013,ERS12761376,4,335,South Africa,South African outbreak
ERR12146144,ERR12146144,ERS16512534,4,335,South Africa,Other
ERR11219811,ERR11219811,ERS14904191,4,335,South Africa,Other
