"target","selected_gene"
"blaCTX-M-15","blaCTX-M-15"
"blaOXA-48","blaOXA-48"
"blaNDM-1","blaNDM-1"
"blaTEM-1","blaTEM-1"
"aac(6)-Ib","aac(6')-Ib"
"aac(6)-Ib-cr5","aac(6')-Ib-cr5"
"aac(6)-IIe",
"aac(3)-IId","aac(3)-IId"
"aac(3)-IIe","aac(3)-IIe"
"aadA1","aadA1"
"aadA2","aadA2"
"aph(3)-Ib","aph(3'')-Ib"
"aph(6)-Id","aph(6)-Id"
"arr","arr-2"
"qnrB1","qnrB1"
"sul1","sul1"
"sul2","sul2"
"mph(A)","mph(A)"
"mph(E)","mph(E)"
"msr(E)","msr(E)"
"tet(A)","tet(A)"
"cmlA5","cmlA5"
"catA1","catA1"
"floR","floR"
"dfrA12","dfrA12"
"dfrA14","dfrA14"
"dfrA23","dfrA23"
"qacEdelta1","qacEdelta1"
"IncC",
"IncHI2",
