"isolate_id","ST","Lineage","Country","Source","Year","AMR subclass count"
"44341_3_304","ST335","L5","Malawi","Malawi water sample","2017-2020","7-10"
"44341_3_305","ST335","L5","Malawi","Malawi water sample","2017-2020","7-10"
"44341_3_281","ST335","L5","Malawi","Malawi water sample","2017-2020","7-10"
"CIV13XE8","ST335","L5","Malawi","Neonatal-unit sampling","2017-2020","7-10"
"44341_3_128","ST335","L5","Malawi","Malawi water sample","2017-2020","7-10"
"44341_3_131","ST335","L5","Malawi","Malawi water sample","2017-2020","7-10"
"44341_3_136","ST335","L5","Malawi","Malawi water sample","2017-2020","7-10"
"CIV13PE7","ST335","L5","Malawi","Neonatal-unit sampling","2017-2020","7-10"
"CIT159B1","ST335","L5","Malawi","Neonatal-unit sampling","2017-2020","7-10"
"CIT15EB1","ST335","L5","Malawi","Neonatal-unit sampling","2017-2020","7-10"
"CIS153C1","ST335","L5","Malawi","Neonatal-unit sampling","2017-2020","7-10"
"CIV147E3","ST335","L5","Malawi","Neonatal-unit sampling","2017-2020","7-10"
"CIT15FH1","ST335","L5","Malawi","Neonatal-unit sampling","2017-2020","7-10"
"CIV143E2","ST335","L5","Malawi","Neonatal-unit sampling","2017-2020","7-10"
"CIU145B1","ST335","L5","Malawi","Neonatal-unit sampling","2017-2020","7-10"
"44341_3_310","ST335","L5","Malawi","Malawi water sample","2017-2020","7-10"
"CIV13XE2","ST335","L5","Malawi","Neonatal-unit sampling","2017-2020","7-10"
"44341_4_275","ST335","L5","Malawi","Malawi water sample","2017-2020","7-10"
"CIT15FB1","ST335","L5","Malawi","Neonatal-unit sampling","2017-2020","7-10"
"CIV13XU1","ST335","L5","Malawi","Neonatal-unit sampling","2017-2020","7-10"
"CIV142E6","ST335","L5","Malawi","Neonatal-unit sampling","2017-2020","7-10"
"CIV143U1","ST335","L5","Malawi","Neonatal-unit sampling","2017-2020","7-10"
"CIV143E9","ST335","L5","Malawi","Neonatal-unit sampling","2017-2020","7-10"
"CNS1F3","ST335","L5","Malawi","QECH clinical isolate","2017-2020","7-10"
"CAAYSI","ST335","L5","Malawi","QECH clinical isolate","2017-2020","7-10"
"CIT15GS1","ST335","L5","Malawi","Neonatal-unit sampling","2017-2020","7-10"
"CIV13RE2","ST335","L5","Malawi","Neonatal-unit sampling","2017-2020","7-10"
"CIV141E6","ST335","L5","Malawi","Neonatal-unit sampling","2017-2020","7-10"
"CIS15HB1","ST335","L5","Malawi","Neonatal-unit sampling","2017-2020","7-10"
"CIV140U1","ST335","L5","Malawi","Neonatal-unit sampling","2017-2020","7-10"
"CIV140E4","ST335","L5","Malawi","Neonatal-unit sampling","2017-2020","7-10"
"CIV140E7","ST335","L5","Malawi","Neonatal-unit sampling","2017-2020","7-10"
"CAAXQV","ST335","L5","Malawi","QECH clinical isolate","2017-2020","7-10"
"CIV13UE4","ST335","L5","Malawi","Neonatal-unit sampling","2017-2020","7-10"
"CIS15MR1","ST335","L5","Malawi","Neonatal-unit sampling","2017-2020","7-10"
