"display_order","isolate_id"
1,"44341_3_304"
2,"44341_3_305"
3,"44341_3_281"
4,"CIV13XE8"
5,"44341_3_128"
6,"44341_3_131"
7,"44341_3_136"
8,"CIV13PE7"
9,"CIT159B1"
10,"CIT15EB1"
11,"CIS153C1"
12,"CIV147E3"
13,"CIT15FH1"
14,"CIV143E2"
15,"CIU145B1"
16,"44341_3_310"
17,"CIV13XE2"
18,"44341_4_275"
19,"CIT15FB1"
20,"CIV13XU1"
21,"CIV142E6"
22,"CIV143U1"
23,"CIV143E9"
24,"CNS1F3"
25,"CAAYSI"
26,"CIT15GS1"
27,"CIV13RE2"
28,"CIV141E6"
29,"CIS15HB1"
30,"CIV140U1"
31,"CIV140E4"
32,"CIV140E7"
33,"CAAXQV"
34,"CIV13UE4"
35,"CIS15MR1"
36,"CIV13YE6"
37,"CIV143E4"
38,"CIV13XE5"
39,"CIT15GH1"
40,"CIV140E1"
41,"CIV140E6"
42,"CIU13XS1"
43,"CIV146E8"
44,"CIU149H1"
45,"CIV144E6"
46,"CIV13VE5"
47,"CIV13YE8"
48,"CIV144U1"
49,"CNSP0U"
50,"CNSKFP"
51,"CNSLL4"
52,"ERR9941258"
53,"ERR9929342"
54,"ERR9966382"
55,"CLL3JA"
56,"CNS7YP"
57,"BKRRIF"
58,"CNS6QU"
59,"44341_3_96"
60,"44341_3_21"
61,"BKRMVD"
62,"CAAYDF"
63,"CAAXBN"
64,"44341_3_165"
65,"44341_3_262"
66,"44341_3_265"
67,"44341_4_286"
68,"44341_3_268"
69,"44341_3_280"
70,"CAAP2A"
71,"CNSFP4"
72,"CNSDXZ"
73,"CAAQXB"
74,"CAAR9T"
75,"CAAQUT"
76,"CAARE3"
77,"CLL6CH"
78,"ERR10438737"
79,"ERR10113269"
80,"ERR6752971"
81,"ERR5751227"
82,"ERR9976609"
83,"ERR11219800"
84,"ERR12142619"
85,"ERR11747325"
86,"ERR11502778"
87,"ERR7197834"
88,"ERR9079758"
89,"ERR6806255"
90,"ERR6805990"
91,"ERR6806776"
92,"ERR5750995"
93,"ERR6806749"
94,"ERR6805998"
95,"ERR6806833"
96,"ERR12080226"
97,"ERR12321283"
98,"ERR12321282"
99,"ERR12067314"
100,"ERR12321281"
101,"ERR12142634"
102,"ERR6753111"
103,"ERR6806796"
104,"ERR6806789"
105,"ERR9971918"
106,"ERR7197741"
107,"ERR5751808"
108,"ERR12321280"
109,"ERR9692774"
110,"ERR6752863"
111,"SRR9273829"
112,"ERR9079830"
113,"ERR10880116"
114,"ERR5751304"
115,"ERR6806714"
116,"ERR5751296"
117,"ERR4451427"
118,"ERR6806125"
119,"ERR6806317"
120,"ERR12067371"
121,"ERR6806075"
122,"ERR10176870"
123,"ERR10460856"
124,"ERR10460902"
125,"ERR6806726"
126,"ERR12078572"
127,"ERR11747320"
128,"ERR12495482"
129,"ERR5751726"
130,"ERR6806512"
131,"ERR9924209"
132,"ERR10460483"
133,"ERR9785511"
134,"ERR10087012"
135,"ERR9079768"
136,"ERR9822149"
137,"ERR9822145"
138,"ERR9822146"
139,"ERR9785509"
140,"ERR10176872"
141,"ERR9966389"
142,"ERR10460765"
143,"ERR10109275"
144,"ERR11807704"
145,"ERR10109276"
146,"ERR9785510"
147,"ERR9820422"
148,"ERR10880181"
149,"ERR10088101"
150,"ERR12312688"
151,"ERR11201827"
152,"ERR12312689"
153,"ERR12495485"
154,"ERR12312692"
155,"ERR10123168"
156,"ERR10123167"
157,"ERR9966387"
158,"ERR10949310"
159,"ERR10460875"
160,"ERR9966390"
161,"ERR10176866"
162,"ERR10460687"
163,"ERR12078573"
164,"ERR9785512"
165,"ERR12165616"
166,"ERR10460887"
167,"ERR10880335"
168,"ERR10880156"
169,"ERR10880377"
170,"ERR10088105"
171,"ERR12321284"
172,"ERR9966388"
173,"ERR10026000"
174,"ERR9822144"
175,"ERR10088104"
176,"ERR10088102"
177,"ERR9822151"
178,"ERR10109255"
179,"ERR11810274"
180,"ERR9966386"
181,"ERR12259395"
182,"ERR12091513"
183,"ERR10125140"
184,"ERR10949303"
185,"ERR10109277"
186,"ERR10087013"
187,"ERR12146144"
188,"ERR11219811"
189,"ERR11420238"
190,"ERR11437918"
191,"ERR11807709"
192,"ERR10880183"
193,"ERR10880311"
194,"ERR10109274"
195,"ERR12552381"
196,"ERR12552377"
197,"ERR11896635"
198,"ERR9079508"
199,"ERR9420153"
200,"ERR10117717"
201,"ERR6806600"
202,"ERR7197757"
203,"ERR6806028"
204,"ERR9288082"
205,"ERR11455881"
206,"ERR6806632"
207,"ERR4451478"
208,"ERR12302226"
209,"ERR12552384"
210,"ERR12067334"
211,"ERR10880424"
212,"ERR10123158"
213,"ERR10176869"
214,"ERR10880230"
215,"ERR11453719"
216,"ERR10880157"
217,"ERR11872767"
218,"ERR6752889"
219,"ERR9288143"
220,"ERR5751308"
221,"ERR4399358"
222,"ERR4399957"
223,"ERR4399362"
224,"SRR13833609"
225,"SRR13719289"
226,"SRR13719614"
227,"SRR13313312"
228,"SRR13313295"
229,"SRR13719196"
230,"SRR13277434"
231,"SRR13277416"
232,"SRR13277412"
233,"SRR13311773"
234,"SRR13313309"
235,"SRR27481822"
236,"SRR27481651"
237,"SRR27481649"
238,"SRR27481520"
239,"SRR27481815"
240,"SRR7130368"
241,"SRR7130370"
242,"SRR7130371"
243,"SRR13312061"
244,"SRR7130369"
245,"ERR4400834"
246,"ERR4338896"
247,"ERR4338560"
248,"SRR1106479"
249,"ERR3581536"
250,"SRR8369293"
251,"SRR7842526"
252,"SRR8297279"
253,"SRR7850690"
254,"SRR7884719"
255,"SRR8350305"
256,"SRR15853458"
257,"SRR21224019"
258,"SRR20212638"
259,"SRR8706049"
260,"SRR16227977"
261,"ERR4399344"
262,"SRR7841631"
263,"SRR22691594"
264,"SRR16301618"
265,"ERR10109287"
266,"ERR9680890"
267,"SRR14921286"
268,"SRR28295566"
269,"ERR4145363"
270,"ERR4145392"
271,"ERR4145410"
272,"ERR4145345"
273,"SRR8325561"
274,"SRR8293522"
275,"ERR4145388"
276,"ERR4145353"
277,"SRR10326268"
278,"SRR9627787"
279,"SRR27762886"
280,"SRR10992537"
281,"SRR1646109"
282,"SRR7427053"
283,"SRR8503644"
284,"SRR7457932"
285,"SRR2917137"
286,"SRR2917139"
287,"SRR3137069"
288,"SRR6107195"
289,"SRR2917138"
290,"SRR2917136"
291,"SRR5084265"
292,"SRR5121494"
293,"SRR3001933"
294,"SRR5121497"
295,"SRR2917140"
296,"ERR10368770"
297,"ERR160996"
298,"SRR5056398"
299,"ERR3635287"
300,"SRR22175068"
301,"SRR21787058"
302,"SRR21787324"
303,"SRR26858817"
304,"SRR27185117"
305,"SRR21535455"
306,"SRR21535466"
307,"SRR26050334"
308,"SRR5379276"
309,"SRR6457657"
310,"SRR14360286"
311,"SRR8137438"
312,"ERR3635266"
313,"SRR1973602"
314,"SRR3002514"
315,"SRR7467291"
316,"ERR4400884"
317,"ERR4399363"
318,"ERR4401298"
319,"ERR4400265"
320,"ERR4401598"
321,"ERR4401297"
322,"ERR4401299"
323,"ERR6806710"
324,"SRR952929"
325,"SRR7292863"
326,"SRR1966891"
327,"SRR1967735"
