isolate_id,source_class_as_recorded,collection_month,source_file
44341_3_128,River water,2020-09,malawi_metadata_for_plotting.csv
44341_3_131,River water,2020-09,malawi_metadata_for_plotting.csv
44341_3_136,River water,2020-09,malawi_metadata_for_plotting.csv
44341_3_165,River water,2020-09,malawi_metadata_for_plotting.csv
44341_3_21,River water,2020-10,malawi_metadata_for_plotting.csv
44341_3_262,River water,2020-08,malawi_metadata_for_plotting.csv
44341_3_265,River water,2020-03,malawi_metadata_for_plotting.csv
44341_3_268,River water,2020-03,malawi_metadata_for_plotting.csv
44341_3_280,River water,2020-03,malawi_metadata_for_plotting.csv
44341_3_281,River water,2020-03,malawi_metadata_for_plotting.csv
44341_3_304,River water,2020-03,malawi_metadata_for_plotting.csv
44341_3_305,River water,2020-03,malawi_metadata_for_plotting.csv
44341_3_310,River water,2020-03,malawi_metadata_for_plotting.csv
44341_3_96,River water,2020-10,malawi_metadata_for_plotting.csv
44341_4_275,River water,2020-03,malawi_metadata_for_plotting.csv
44341_4_286,River water,2020-03,malawi_metadata_for_plotting.csv
BKRMVD,CSF,2020-01,malawi_metadata_for_plotting.csv
BKRRIF,CSF,2021-02,malawi_metadata_for_plotting.csv
CAAP2A,Blood culture,2019-03,malawi_metadata_for_plotting.csv
CAAQUT,Blood culture,2018-05,malawi_metadata_for_plotting.csv
CAAQXB,Blood culture,2019-06,malawi_metadata_for_plotting.csv
CAAR9T,Blood culture,2019-06,malawi_metadata_for_plotting.csv
CAARE3,Blood culture,2019-05,malawi_metadata_for_plotting.csv
CAAXBN,Blood culture,2019-12,malawi_metadata_for_plotting.csv
CAAXQV,Blood culture,2020-02,malawi_metadata_for_plotting.csv
CAAYDF,Blood culture,2020-03,malawi_metadata_for_plotting.csv
CAAYSI,Blood culture,2020-03,malawi_metadata_for_plotting.csv
CIS153C1,Chatinkha nursery,2020-02,malawi_metadata_for_plotting.csv
CIS15HB1,Chatinkha nursery,2020-03,malawi_metadata_for_plotting.csv
CIS15MR1,Chatinkha nursery,2020-03,malawi_metadata_for_plotting.csv
CIT159B1,Chatinkha nursery,2020-02,malawi_metadata_for_plotting.csv
CIT15EB1,Chatinkha nursery,2020-03,malawi_metadata_for_plotting.csv
CIT15FB1,Chatinkha nursery,2020-03,malawi_metadata_for_plotting.csv
CIT15FH1,Chatinkha nursery,2020-03,malawi_metadata_for_plotting.csv
CIT15GH1,Chatinkha nursery,2020-03,malawi_metadata_for_plotting.csv
CIT15GS1,Chatinkha nursery,2020-03,malawi_metadata_for_plotting.csv
CIU13XS1,Chatinkha nursery,2020-02,malawi_metadata_for_plotting.csv
CIU145B1,Chatinkha nursery,2020-03,malawi_metadata_for_plotting.csv
CIU149H1,Chatinkha nursery,2020-03,malawi_metadata_for_plotting.csv
CIV13PE7,Chatinkha nursery,2020-02,malawi_metadata_for_plotting.csv
CIV13RE2,Chatinkha nursery,2020-02,malawi_metadata_for_plotting.csv
CIV13UE4,Chatinkha nursery,2020-03,malawi_metadata_for_plotting.csv
CIV13VE5,Chatinkha nursery,2020-03,malawi_metadata_for_plotting.csv
CIV13XE2,Chatinkha nursery,2020-03,malawi_metadata_for_plotting.csv
CIV13XE5,Chatinkha nursery,2020-03,malawi_metadata_for_plotting.csv
CIV13XE8,Chatinkha nursery,2020-03,malawi_metadata_for_plotting.csv
CIV13XU1,Chatinkha nursery,2020-03,malawi_metadata_for_plotting.csv
CIV13YE6,Chatinkha nursery,2020-03,malawi_metadata_for_plotting.csv
CIV13YE8,Chatinkha nursery,2020-03,malawi_metadata_for_plotting.csv
CIV140E1,Chatinkha nursery,2020-03,malawi_metadata_for_plotting.csv
CIV140E4,Chatinkha nursery,2020-03,malawi_metadata_for_plotting.csv
CIV140E6,Chatinkha nursery,2020-03,malawi_metadata_for_plotting.csv
CIV140E7,Chatinkha nursery,2020-03,malawi_metadata_for_plotting.csv
CIV140U1,Chatinkha nursery,2020-03,malawi_metadata_for_plotting.csv
CIV141E6,Chatinkha nursery,2020-03,malawi_metadata_for_plotting.csv
CIV142E6,Chatinkha nursery,2020-03,malawi_metadata_for_plotting.csv
CIV143E2,Chatinkha nursery,2020-03,malawi_metadata_for_plotting.csv
CIV143E4,Chatinkha nursery,2020-03,malawi_metadata_for_plotting.csv
CIV143E9,Chatinkha nursery,2020-03,malawi_metadata_for_plotting.csv
CIV143U1,Chatinkha nursery,2020-03,malawi_metadata_for_plotting.csv
CIV144E6,Chatinkha nursery,2020-03,malawi_metadata_for_plotting.csv
CIV144U1,Chatinkha nursery,2020-03,malawi_metadata_for_plotting.csv
CIV146E8,Chatinkha nursery,2020-03,malawi_metadata_for_plotting.csv
CIV147E3,Chatinkha nursery,2020-03,malawi_metadata_for_plotting.csv
CLL3JA,Blood culture,2020-09,malawi_metadata_for_plotting.csv
CLL6CH,Blood culture,2022-05,malawi_metadata_for_plotting.csv
CNS1F3,Blood culture,2020-04,malawi_metadata_for_plotting.csv
CNS6QU,Blood culture,2020-12,malawi_metadata_for_plotting.csv
CNS7YP,Blood culture,2021-02,malawi_metadata_for_plotting.csv
CNSDXZ,Blood culture,2021-12,malawi_metadata_for_plotting.csv
CNSFP4,Blood culture,2022-04,malawi_metadata_for_plotting.csv
CNSKFP,Blood culture,2022-10,malawi_metadata_for_plotting.csv
CNSLL4,Blood culture,2022-12,malawi_metadata_for_plotting.csv
CNSP0U,Blood culture,2023-02,malawi_metadata_for_plotting.csv
