isolate_id,run_accession,sample_accession,archive_alias,country,region,year,sequence_type,source_type,source_detail
ERR10026000,ERR10026000,ERS12558864,YA00355523,South Africa,Eastern Cape,2022,335,Human,Stool
ERR10087012,ERR10087012,ERS12761375,YA00371431,South Africa,Eastern Cape,2022,335,Human,Rectal swab
ERR10087013,ERR10087013,ERS12761376,YA00369241,South Africa,Eastern Cape,2022,335,Human,Stool
ERR10088101,ERR10088101,ERS12764179,YA00368973,South Africa,Eastern Cape,2022,335,Human,Stool
ERR10088102,ERR10088102,ERS12764180,YA00368212,South Africa,Eastern Cape,2022,335,Human,Blood culture
ERR10088104,ERR10088104,ERS12764182,YA00368976,South Africa,Eastern Cape,2022,335,Human,Other
ERR10088105,ERR10088105,ERS12764183,YA00368216,South Africa,Eastern Cape,2022,335,Human,Stool
ERR10109255,ERR10109255,ERS12792488,YA00373652,South Africa,Eastern Cape,2022,335,Human,Blood culture
ERR10109274,ERR10109274,ERS12792507,YA00377366,South Africa,Eastern Cape,2022,335,Human,Stool
ERR10109275,ERR10109275,ERS12792508,YA00376436,South Africa,Eastern Cape,2022,335,Human,Stool
ERR10109276,ERR10109276,ERS12792509,YA00380346,South Africa,Eastern Cape,2022,335,Human,Rectal swab
ERR10109277,ERR10109277,ERS12792510,YA00376434,South Africa,Eastern Cape,2022,335,Human,Stool
ERR10109287,ERR10109287,ERS12792520,YA00375134,South Africa,Gauteng,2022,216,Human,Stool
ERR10113269,ERR10113269,ERS12799913,YA00366826,South Africa,Gauteng,2022,335,Human,Stool
ERR10117717,ERR10117717,ERS12849498,YA00252373,South Africa,Gauteng,2021,335,Human,Stool
ERR10123158,ERR10123158,ERS12853241,YA00372461,South Africa,Limpopo,2022,335,Human,Stool
ERR10123167,ERR10123167,ERS12853250,YA00373635,South Africa,Eastern Cape,2022,335,Human,Rectal swab
ERR10123168,ERR10123168,ERS12853251,YA00373621,South Africa,Eastern Cape,2022,335,Human,Rectal swab
ERR10125140,ERR10125140,ERS13358373,YA00387366,South Africa,Eastern Cape,2022,335,Human,Stool
ERR10176866,ERR10176866,ERS13445949,YA00394624,South Africa,Eastern Cape,2022,335,Human,Other
ERR10176869,ERR10176869,ERS13445952,YA00389458,South Africa,North West,2022,335,Human,Blood culture
ERR10176870,ERR10176870,ERS13445953,YA00389763,South Africa,Gauteng,2022,335,Human,Stool
ERR10176872,ERR10176872,ERS13445955,YA00372091,South Africa,Eastern Cape,2022,335,Human,Stool
ERR10368770,ERR10368770,ERS13570760,PT_SE0183,Portugal,,2015,216,Human,Clinical
ERR10438737,ERR10438737,ERS13617319,DTU_2021_1003268_1_SI_MOZ_QUE_010,Mozambique,,2020,335,Human,Homo Sapiens; blood
ERR10442662,ERR10442662,ERS13640261,Se_0804,,,NA,216,,
