isolate_id,run_accession,sample_accession,collection_year,sampling_site
CIS153C1,ERR16714684,ERS29128489,2020,Chitenje
CIS15HB1,ERR16714685,ERS29128490,2020,Cot
CIS15MR1,ERR16714686,ERS29128491,2020,Child Rectal
CIT159B1,ERR16714687,ERS29128492,2020,Cot
CIT15EB1,ERR16714688,ERS29128493,2020,Cot
CIT15FB1,ERR16714689,ERS29128494,2020,Cot
CIT15FH1,ERR16714690,ERS29128495,2020,Mother Hand
CIT15GH1,ERR16714691,ERS29128496,2020,Mother Hand
CIT15GS1,ERR16714692,ERS29128497,2020,Child Stool
CIU13XS1,ERR16714693,ERS29128498,2020,Child Stool
CIU145B1,ERR16714694,ERS29128499,2020,Cot
CIU149H1,ERR16714695,ERS29128500,2020,Mother Hand
CIV13PE7,ERR16714696,ERS29128501,2020,Surfaces surgical bay
CIV13RE2,ERR16714697,ERS29128502,2020,Side room 2
CIV13UE4,ERR16714698,ERS29128503,2020,Metal sink
CIV13VE5,ERR16714699,ERS29128504,2020,Cots surgical bay
CIV13XE2,ERR16714700,ERS29128505,2020,Side room 1
CIV13XE5,ERR16714701,ERS29128506,2020,Handwash sink
CIV13XE8,ERR16714702,ERS29128507,2020,CPAP
CIV13XU1,ERR16714703,ERS29128508,2020,Nurses station
CIV13YE6,ERR16714704,ERS29128509,2020,Sats probes
CIV13YE8,ERR16714705,ERS29128510,2020,Floor
CIV140E1,ERR16714706,ERS29128511,2020,Side room 2
CIV140E4,ERR16714707,ERS29128512,2020,Patient chairs
CIV140E6,ERR16714708,ERS29128513,2020,CPAP
CIV140E7,ERR16714709,ERS29128514,2020,Solid surfaces
CIV140U1,ERR16714710,ERS29128515,2020,Side room 1
CIV141E6,ERR16714711,ERS29128516,2020,Sats probes
CIV142E6,ERR16714712,ERS29128517,2020,Oxygen equipment
CIV143E2,ERR16714713,ERS29128518,2020,Side room 2
CIV143E4,ERR16714714,ERS29128519,2020,Handwash sink
CIV143E9,ERR16714715,ERS29128520,2020,Nurses station
CIV143U1,ERR16714716,ERS29128521,2020,Supply trolley
CIV144E6,ERR16714717,ERS29128522,2020,Scales
CIV144U1,ERR16714718,ERS29128523,2020,Patient sinks
CIV146E8,ERR16714719,ERS29128524,2020,Solid surfaces
CIV147E3,ERR16714720,ERS29128525,2020,Surfaces surgical bay
