isolate_id,group,AMP10,AZM15,CIP5,FOX30,MEM10,C30,PEF5,FEP30,SXT25,TCG15,IPM10,AK30,CPD10,ATM30,CN10,TZP36,CTX5,source_sheet,source_row
CIV13YE8,Isangi,R,S,R,R,S,S,R,R,R,S,S,S,R,R,R,S,S,Environmental_CRES,23
CIT15GS1,Isangi,R,S,R,S,S,R,R,R,R,R,S,S,R,R,R,R,R,Environmental_CRES,24
CIT15EB1,Isangi,R,S,R,R,S,R,R,R,R,S,S,S,R,R,R,R,R,Environmental_CRES,25
CIT15FH1,Isangi,R,S,S,R,S,S,S,S,R,S,S,S,S,S,S,S,S,Environmental_CRES,26
CIT15FB1,Isangi,R,S,S,R,S,S,S,S,R,S,S,S,S,S,S,S,S,Environmental_CRES,27
CIU149H1,Isangi,R,S,S,R,S,S,S,S,R,S,S,S,S,S,S,S,S,Environmental_CRES,28
CIV13XE2,Isangi,R,S,S,R,S,S,S,S,R,S,S,S,S,S,S,S,S,Environmental_CRES,29
CIV13YE6,Isangi,R,S,R,S,S,R,R,S,R,R,S,S,R,R,R,S,R,Environmental_CRES,30
CIV143E9,Isangi,R,S,R,R,S,R,R,R,R,R,S,S,R,R,R,S,R,Environmental_CRES,31
CIV143U1,Isangi,R,S,R,S,S,R,R,R,R,S,S,S,R,R,R,R,R,Environmental_CRES,32
CIV143E2,Isangi,R,S,S,R,S,R,R,R,R,S,S,S,R,R,S,S,R,Environmental_CRES,33
CIV143E4,Isangi,R,S,S,R,S,S,S,S,S,S,S,S,R,S,S,S,R,Environmental_CRES,34
CIV144E6,Isangi,R,R,R,S,S,S,R,R,R,S,S,S,R,R,S,R,R,Environmental_CRES,35
CIV144U1,Isangi,R,S,R,S,S,R,R,R,R,R,S,S,R,R,R,R,R,Environmental_CRES,36
CIV146E8,Isangi,R,S,R,S,S,R,R,R,R,S,S,S,R,R,R,S,R,Environmental_CRES,37
CIV142E6,Isangi,R,S,R,S,S,R,R,R,R,R,S,S,R,R,R,R,R,Environmental_CRES,38
CIV140E6,Isangi,R,S,R,R,S,R,R,R,R,S,S,S,R,R,R,S,S,Environmental_CRES,39
CIV140E7,Isangi,R,R,R,R,S,R,R,R,R,R,S,S,R,R,R,S,S,Environmental_CRES,40
CIV141E6,Isangi,R,S,R,S,S,R,R,R,R,S,S,S,R,R,R,R,R,Environmental_CRES,41
DFH10L,Comparator,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,Environmental_TiNTS,27
DFF12DB1,Comparator,S,S,S,S,S,S,S,S,S,R,S,S,S,S,S,S,S,Environmental_TiNTS,28
DFF12VB2,Comparator,S,S,S,S,S,R,R,S,S,R,S,S,S,S,R,S,S,Environmental_TiNTS,29
DFF122B3,Comparator,R,S,S,S,S,R,S,S,S,S,S,S,S,S,S,S,S,Environmental_TiNTS,30
DFF11PG1,Comparator,R,S,S,S,S,R,R,R,R,S,S,S,R,R,S,S,S,Environmental_TiNTS,31
DFF11KB2,Comparator,S,S,S,S,S,S,R,S,S,S,S,S,S,S,S,S,S,Environmental_TiNTS,32
DFF131G1,Comparator,R,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,Environmental_TiNTS,33
DFF12YF3,Comparator,S,S,S,S,S,R,R,S,S,S,S,S,S,S,S,S,S,Environmental_TiNTS,34
DFH104M2,Comparator,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,Environmental_TiNTS,35
DFH102M1,Comparator,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,Environmental_TiNTS,36
DFF11FB1,Comparator,S,S,S,S,S,S,R,S,S,S,S,S,S,S,S,S,S,Environmental_TiNTS,37
DFH105M1,Comparator,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,Environmental_TiNTS,38
DFF121B3,Comparator,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,Environmental_TiNTS,39
DFH104M1,Comparator,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,Environmental_TiNTS,40
DFF10NB3,Comparator,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,Environmental_TiNTS,41
DFF10NB2,Comparator,S,S,S,S,S,S,S,S,S,R,S,S,S,S,S,S,S,Environmental_TiNTS,42
DFF10YG3,Comparator,S,S,S,S,S,R,S,S,S,R,S,S,S,S,S,S,S,Environmental_TiNTS,43
DFH10MM1,Comparator,S,S,S,S,S,S,S,S,S,R,S,S,S,S,S,S,S,Environmental_TiNTS,44
DFH10RM1,Comparator,S,S,S,S,S,S,R,S,S,R,S,S,S,S,S,S,S,Environmental_TiNTS,45
DFH10QM1,Comparator,S,R,S,S,S,S,S,S,S,R,S,S,S,S,S,S,S,Environmental_TiNTS,46
DFF10IG2,Comparator,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,Environmental_TiNTS,47
DFH10SM1,Comparator,S,S,S,S,S,R,S,S,S,R,S,S,S,S,S,S,S,Environmental_TiNTS,48
DFF10IG1,Comparator,R,S,S,S,S,R,S,S,R,R,S,S,S,S,S,S,S,Environmental_TiNTS,49
