isolate_id,group,MDR_phenotype,XDR_phenotype,run_accession,recorded_R_count
CIV13YE8,Isangi,0,0,ERR16714705,9
CIT15GS1,Isangi,1,1,ERR16714692,12
CIT15EB1,Isangi,1,1,ERR16714688,12
CIT15FH1,Isangi,0,0,ERR16714690,3
CIT15FB1,Isangi,0,0,ERR16714689,3
CIU149H1,Isangi,0,0,ERR16714695,3
CIV13XE2,Isangi,0,0,ERR16714700,3
CIV13YE6,Isangi,1,1,ERR16714704,10
CIV143E9,Isangi,1,1,ERR16714715,12
CIV143U1,Isangi,1,1,ERR16714716,11
CIV143E2,Isangi,1,1,ERR16714713,9
CIV143E4,Isangi,0,0,ERR16714714,4
CIV144E6,Isangi,0,0,ERR16714717,10
CIV144U1,Isangi,1,1,ERR16714718,12
CIV146E8,Isangi,1,1,ERR16714719,10
CIV142E6,Isangi,1,1,ERR16714712,12
CIV140E6,Isangi,1,1,ERR16714708,10
CIV140E7,Isangi,1,1,ERR16714709,12
CIV141E6,Isangi,1,1,ERR16714711,11
DFH10L,Comparator,0,0,Other,0
DFF12DB1,Comparator,0,0,Other,1
DFF12VB2,Comparator,0,0,Other,4
DFF122B3,Comparator,0,0,Other,2
DFF11PG1,Comparator,1,1,Other,7
DFF11KB2,Comparator,0,0,Other,1
DFF131G1,Comparator,0,0,Other,1
DFF12YF3,Comparator,0,0,Other,2
DFH104M2,Comparator,0,0,Other,0
DFH102M1,Comparator,0,0,Other,0
DFF11FB1,Comparator,0,0,Other,1
DFH105M1,Comparator,0,0,Other,0
DFF121B3,Comparator,0,0,Other,0
DFH104M1,Comparator,0,0,Other,0
DFF10NB3,Comparator,0,0,Other,0
DFF10NB2,Comparator,0,0,Other,1
DFF10YG3,Comparator,0,0,Other,2
DFH10MM1,Comparator,0,0,Other,1
DFH10RM1,Comparator,0,0,Other,2
DFH10QM1,Comparator,0,0,Other,2
DFF10IG2,Comparator,0,0,Other,0
DFH10SM1,Comparator,0,0,Other,2
DFF10IG1,Comparator,1,0,Other,4
