code,antibiotic,Isangi_S,Isangi_I,Isangi_R,Isangi_n,Isangi_R_percent,Comparator_S,Comparator_I,Comparator_R,Comparator_n,Comparator_R_percent,Fisher_exact_p
AMP10,Ampicillin,0,0,19,19,100.0,19,0,4,23,17.391304347826086,2.080016459136891e-08
AZM15,Azithromycin,17,0,2,19,10.526315789473685,22,0,1,23,4.3478260869565215,0.5812717770034843
CIP5,Ciprofloxacin,6,0,13,19,68.42105263157895,23,0,0,23,0.0,1.0632190018500008e-06
FOX30,Cefoxitin,8,0,11,19,57.89473684210526,23,0,0,23,0.0,1.76570298521518e-05
MEM10,Meropenem,19,0,0,19,0.0,23,0,0,23,0.0,1.0
C30,Chloramphenicol,7,0,12,19,63.1578947368421,16,0,7,23,30.434782608695652,0.06083018970617658
PEF5,Pefloxacin,5,0,14,19,73.6842105263158,17,0,6,23,26.08695652173913,0.0046071082941318165
FEP30,Cefepime,6,0,13,19,68.42105263157895,22,0,1,23,4.3478260869565215,1.2025373538165532e-05
SXT25,Co-trimoxazole,1,0,18,19,94.73684210526316,21,0,2,23,8.695652173913043,1.2847621301458899e-08
TCG15,Tigecycline,13,0,6,19,31.57894736842105,14,0,9,23,39.130434782608695,0.7496165602801701
IPM10,Imipenem,19,0,0,19,0.0,23,0,0,23,0.0,1.0
AK30,Amikacin,19,0,0,19,0.0,23,0,0,23,0.0,1.0
CPD10,Cefpodoxime,4,0,15,19,78.94736842105263,22,0,1,23,4.3478260869565215,5.412116429778329e-07
ATM30,Aztreonam,5,0,14,19,73.6842105263158,22,0,1,23,4.3478260869565215,2.7497043151293125e-06
CN10,Gentamicin,7,0,12,19,63.1578947368421,22,0,1,23,4.3478260869565215,9.131026046840366e-05
TZP36,Piperacillin–tazobactam,12,0,7,19,36.8421052631579,23,0,0,23,0.0,0.0018677213799165014
CTX5,Cefotaxime,7,0,12,19,63.1578947368421,23,0,0,23,0.0,4.556652865071434e-06
