isolate_id,group,AMP10,AZM15,CIP5,FOX30,MEM10,C30,PEF5,FEP30,SXT25,TCG15,IPM10,AK30,CPD10,ATM30,CN10,TZP36,CTX5,source_sheet,source_row
CIV13YE8,Isangi,6.0,16.0,19.0,6.0,30.0,24.0,19.0,21.0,6.0,18.0,28.0,20.0,20.0,11.0,6.0,20.0,34.0,Environmental_CRES,2
CIT15GS1,Isangi,6.0,19.0,20.0,23.0,35.0,6.0,12.0,12.0,6.0,16.0,32.0,21.0,6.0,6.0,6.0,19.0,6.0,Environmental_CRES,3
CIT15EB1,Isangi,6.0,15.0,20.0,6.0,32.0,6.0,19.0,20.0,6.0,19.0,30.0,20.0,6.0,14.0,8.0,19.0,6.0,Environmental_CRES,4
CIT15FH1,Isangi,6.0,13.0,33.0,8.0,34.0,24.0,30.0,36.0,6.0,20.0,30.0,21.0,22.0,36.0,23.0,24.0,28.0,Environmental_CRES,5
CIT15FB1,Isangi,6.0,15.0,34.0,9.0,34.0,20.0,28.0,36.0,6.0,20.0,30.0,22.0,21.0,34.0,22.0,24.0,31.0,Environmental_CRES,6
CIU149H1,Isangi,6.0,15.0,34.0,9.0,34.0,20.0,25.0,32.0,6.0,20.0,30.0,22.0,22.0,34.0,22.0,24.0,34.0,Environmental_CRES,7
CIV13XE2,Isangi,6.0,14.0,34.0,8.0,32.0,22.0,26.0,34.0,6.0,18.0,26.0,22.0,24.0,32.0,21.0,26.0,32.0,Environmental_CRES,8
CIV13YE6,Isangi,6.0,18.0,20.0,23.0,33.0,6.0,17.0,33.0,6.0,17.0,32.0,21.0,6.0,6.0,8.0,20.0,6.0,Environmental_CRES,9
CIV143E9,Isangi,6.0,16.0,18.0,8.0,34.0,6.0,19.0,12.0,6.0,16.0,29.0,20.0,6.0,6.0,7.0,20.0,6.0,Environmental_CRES,10
CIV143U1,Isangi,6.0,15.0,18.0,22.0,32.0,6.0,17.0,11.0,6.0,18.0,30.0,20.0,6.0,6.0,6.0,19.0,6.0,Environmental_CRES,11
CIV143E2,Isangi,6.0,15.0,29.0,6.0,32.0,16.0,20.0,21.0,6.0,19.0,28.0,22.0,6.0,6.0,21.0,24.0,6.0,Environmental_CRES,12
CIV143E4,Isangi,10.0,17.0,36.0,8.0,32.0,24.0,26.0,36.0,30.0,18.0,27.0,21.0,20.0,32.0,20.0,22.0,6.0,Environmental_CRES,13
CIV144E6,Isangi,6.0,6.0,6.0,22.0,30.0,24.0,6.0,19.0,6.0,20.0,30.0,20.0,6.0,15.0,20.0,19.0,10.0,Environmental_CRES,14
CIV144U1,Isangi,6.0,15.0,20.0,23.0,32.0,6.0,17.0,11.0,6.0,17.0,30.0,20.0,6.0,6.0,8.0,19.0,6.0,Environmental_CRES,15
CIV146E8,Isangi,6.0,17.0,19.0,23.0,32.0,6.0,15.0,10.0,6.0,18.0,30.0,20.0,6.0,6.0,8.0,20.0,6.0,Environmental_CRES,16
CIV142E6,Isangi,6.0,18.0,21.0,24.0,32.0,6.0,16.0,11.0,6.0,16.0,30.0,20.0,6.0,6.0,6.0,19.0,6.0,Environmental_CRES,17
CIV140E6,Isangi,6.0,16.0,22.0,10.0,36.0,6.0,18.0,13.0,6.0,18.0,27.0,20.0,6.0,6.0,6.0,20.0,27.0,Environmental_CRES,18
CIV140E7,Isangi,6.0,6.0,23.0,10.0,34.0,6.0,18.0,12.0,6.0,15.0,30.0,21.0,6.0,6.0,6.0,20.0,32.0,Environmental_CRES,19
CIV141E6,Isangi,6.0,15.0,18.0,22.0,30.0,6.0,18.0,11.0,6.0,18.0,30.0,20.0,6.0,6.0,8.0,18.0,6.0,Environmental_CRES,20
DFH10L,Comparator,24.0,14.0,38.0,22.0,31.0,24.0,26.0,30.0,26.0,19.0,30.0,20.0,26.0,30.0,22.0,24.0,31.0,Environmental_TiNTS,2
DFF12DB1,Comparator,21.0,14.0,30.0,23.0,30.0,23.0,24.0,30.0,28.0,17.0,27.0,20.0,25.0,30.0,20.0,21.0,30.0,Environmental_TiNTS,3
DFF12VB2,Comparator,15.0,13.0,32.0,22.0,30.0,11.0,20.0,36.0,21.0,9.0,22.0,22.0,31.0,36.0,13.0,26.0,46.0,Environmental_TiNTS,4
DFF122B3,Comparator,6.0,16.0,36.0,23.0,30.0,6.0,26.0,34.0,25.0,20.0,30.0,21.0,23.0,30.0,20.0,20.0,44.0,Environmental_TiNTS,5
DFF11PG1,Comparator,6.0,26.0,28.0,22.0,28.0,10.0,20.0,25.0,6.0,20.0,24.0,19.0,13.0,17.0,20.0,20.0,42.0,Environmental_TiNTS,6
DFF11KB2,Comparator,17.0,15.0,28.0,24.0,30.0,24.0,21.0,38.0,30.0,18.0,22.0,21.0,24.0,30.0,21.0,22.0,45.0,Environmental_TiNTS,7
