analysis_id	decision	source_id	effective_stage
CIT15GB1_S37_L001	exclude_non_isangi	N10	assembly_serotype_review
CAA24V_S14_L001	exclude_non_isangi	N10	assembly_serotype_review
CNS51P_S27_L001	exclude_non_isangi	N10	assembly_serotype_review
CAAPXF_S22_L001	exclude_non_isangi	N10	assembly_serotype_review
CLL33Q_S7_L001	exclude_non_isangi	N10	assembly_serotype_review
CAAYXW_S23_L001	exclude_non_isangi	N10	assembly_serotype_review
CNSGJS_S18_L001	exclude_non_isangi	N10	assembly_serotype_review
CAAEDY_S21_L001	exclude_non_isangi	N10	assembly_serotype_review
CAA2N5_S16_L001	exclude_non_isangi	N10	assembly_serotype_review
BKRN9Y_S15_L001	exclude_non_isangi	N10	assembly_serotype_review
CAAR0C_S23_L001	exclude_non_isangi	N10	assembly_serotype_review
SRR1264948	exclude_non_isangi	N10	assembly_serotype_review
CNSGW7_S16_L001	exclude_non_isangi	N10	assembly_serotype_review
CLL2BU_S11_L001	exclude_non_isangi	N10	assembly_serotype_review
SRR9942635	exclude_non_isangi	N10	assembly_serotype_review
CLL8B6_S17_L001	exclude_non_isangi	N10	assembly_serotype_review
SRR1264936	exclude_non_isangi	N10	assembly_serotype_review
SRR22163673	exclude_non_isangi	N10	assembly_serotype_review
CLL111_S12_L001	exclude_non_isangi	N10	assembly_serotype_review
CLL2GN_S10_L001	exclude_non_isangi	N10	assembly_serotype_review
CAARRD_S24_L001	exclude_non_isangi	N10	assembly_serotype_review
CAAY7W_S25_L001	exclude_non_isangi	N10	assembly_serotype_review
CNS1I6_S9_L001	exclude_non_isangi	N10	assembly_serotype_review
CNS4MK_S26_L001	exclude_non_isangi	N10	assembly_serotype_review
CNSNW5_S21_L001	exclude_non_isangi	N10	assembly_serotype_review
CNSN7Q_S19_L001	exclude_non_isangi	N10	assembly_serotype_review
CAAY6Q_S8_L001	exclude_non_isangi	N10	assembly_serotype_review
CNSFQ6_S2_L001	exclude_non_isangi	N10	assembly_serotype_review
CAA4ZQ_S20_L001	exclude_non_isangi	N10	assembly_serotype_review
