sample_accession	run_accession	evidence_status
	ERR10438737	notebook_derived_assembled
	ERR9288143	notebook_derived_assembled
	ERR10460887	notebook_derived_assembled
	ERR12495485	notebook_derived_assembled
	ERR12321281	notebook_derived_assembled
	ERR11747325	notebook_derived_assembled
	ERR10026000	notebook_derived_assembled
	ERR6806317	notebook_derived_assembled
	ERR12321283	notebook_derived_assembled
	SRR7130368	notebook_derived_assembled
	ERR9680890	notebook_derived_assembled
	ERR9079830	notebook_derived_assembled
	SRR8369293	notebook_derived_assembled
	ERR11872767	notebook_derived_assembled
	ERR6806749	notebook_derived_assembled
	ERR10088102	notebook_derived_assembled
	ERR6806796	notebook_derived_assembled
	SRR26858817	notebook_derived_assembled
	ERR10109275	notebook_derived_assembled
	ERR9079768	notebook_derived_assembled
	ERR9692774	notebook_derived_assembled
	SRR10992537	notebook_derived_assembled
	ERR10123167	notebook_derived_assembled
	ERR11455881	notebook_derived_assembled
	ERR4338560	notebook_derived_assembled
	ERR4401297	notebook_derived_assembled
	ERR10460875	notebook_derived_assembled
	ERR10880116	notebook_derived_assembled
	ERR6806075	notebook_derived_assembled
	ERR6806255	notebook_derived_assembled
	ERR11201827	notebook_derived_assembled
	ERR6806776	notebook_derived_assembled
	SRR14921286	notebook_derived_assembled
	ERR12067371	notebook_derived_assembled
	SRR9273829	notebook_derived_assembled
	ERR160996	notebook_derived_assembled
	ERR10368770	notebook_derived_assembled
	ERR10880230	notebook_derived_assembled
	ERR9941258	notebook_derived_assembled
	ERR6753111	notebook_derived_assembled
	SRR13277416	notebook_derived_assembled
	ERR9079508	notebook_derived_assembled
	SRR7884719	notebook_derived_assembled
	ERR6806714	notebook_derived_assembled
	ERR10880377	notebook_derived_assembled
	ERR5751726	notebook_derived_assembled
	ERR11219811	notebook_derived_assembled
	ERR4401598	notebook_derived_assembled
	ERR9976609	notebook_derived_assembled
	SRR13313309	notebook_derived_assembled
	ERR6806833	notebook_derived_assembled
	ERR4338896	notebook_derived_assembled
	ERR10176869	notebook_derived_assembled
	SRR1967735	notebook_derived_assembled
	SRR13312061	notebook_derived_assembled
	ERR10088104	notebook_derived_assembled
	ERR9785512	notebook_derived_assembled
	SRR13313312	notebook_derived_assembled
	ERR5751227	notebook_derived_assembled
	SRR1106479	notebook_derived_assembled
	ERR4145363	notebook_derived_assembled
	ERR5751304	notebook_derived_assembled
	ERR4400834	notebook_derived_assembled
	SRR7842526	notebook_derived_assembled
	ERR10125140	notebook_derived_assembled
	SRR9627787	notebook_derived_assembled
	ERR6806726	notebook_derived_assembled
	SRR2917137	notebook_derived_assembled
	ERR7197834	notebook_derived_assembled
	SRR7457932	notebook_derived_assembled
	ERR12321280	notebook_derived_assembled
	ERR10880183	notebook_derived_assembled
	ERR12091513	notebook_derived_assembled
	ERR12078573	notebook_derived_assembled
	ERR9966382	notebook_derived_assembled
	ERR11453719	notebook_derived_assembled
	ERR9939684	notebook_derived_assembled
	ERR10176870	notebook_derived_assembled
	ERR9929342	notebook_derived_assembled
	SRR13277434	notebook_derived_assembled
	ERR11420238	notebook_derived_assembled
	ERR4399358	notebook_derived_assembled
	ERR9822145	notebook_derived_assembled
	ERR5751308	notebook_derived_assembled
	SRR27481822	notebook_derived_assembled
	ERR11219800	notebook_derived_assembled
	SRR13311773	notebook_derived_assembled
	ERR9420153	notebook_derived_assembled
	ERR12321282	notebook_derived_assembled
	SRR27762886	notebook_derived_assembled
	ERR4400884	notebook_derived_assembled
	ERR10460856	notebook_derived_assembled
	ERR6806028	notebook_derived_assembled
	SRR7841631	notebook_derived_assembled
	SRR1966891	notebook_derived_assembled
	ERR4399363	notebook_derived_assembled
	ERR4399362	notebook_derived_assembled
	SRR5121494	notebook_derived_assembled
	ERR9924209	notebook_derived_assembled
	ERR10880311	notebook_derived_assembled
	ERR12146144	notebook_derived_assembled
	ERR10113269	notebook_derived_assembled
	SRR8293522	notebook_derived_assembled
	ERR11201713	notebook_derived_assembled
	ERR11437918	notebook_derived_assembled
	ERR9966386	notebook_derived_assembled
	ERR6752863	notebook_derived_assembled
	ERR10109287	notebook_derived_assembled
	ERR6805998	notebook_derived_assembled
	ERR4451427	notebook_derived_assembled
	ERR12312688	notebook_derived_assembled
	ERR12552381	notebook_derived_assembled
	SRR2917136	notebook_derived_assembled
	ERR9939690	notebook_derived_assembled
	ERR11896635	notebook_derived_assembled
	ERR10123158	notebook_derived_assembled
	ERR9079758	notebook_derived_assembled
	SRR5121497	notebook_derived_assembled
	ERR6806632	notebook_derived_assembled
	ERR5751808	notebook_derived_assembled
	ERR12259395	notebook_derived_assembled
	ERR9966388	notebook_derived_assembled
