"Package","Version","Built"
"ape","5.8-1","4.3.3"
"base64enc","0.1-6","4.3.3"
"BiocManager","1.30.27","4.3.3"
"BiocVersion","3.18.1","4.3.3"
"bit","4.6.0","4.3.3"
"bit64","4.8.6","4.3.3"
"bslib","0.12.0","4.3.3"
"cachem","1.1.0","4.3.3"
"cli","3.6.6","4.3.3"
"clipr","0.8.1","4.3.3"
"cowplot","1.2.0","4.3.3"
"cpp11","0.5.5","4.3.3"
"crayon","1.5.3","4.3.3"
"curl","8.0.0","4.3.3"
"digest","0.6.39","4.3.3"
"dplyr","1.2.1","4.3.3"
"evaluate","1.0.5","4.3.3"
"farver","2.1.2","4.3.3"
"fastmap","1.2.0","4.3.3"
"fastmatch","1.1-8","4.3.3"
"fontawesome","0.5.3","4.3.3"
"fs","2.1.0","4.3.3"
"generics","0.1.4","4.3.3"
"ggplot2","4.0.3","4.3.3"
"glue","1.8.1","4.3.3"
"gtable","0.3.6","4.3.3"
"here","1.0.2","4.3.3"
"highr","0.12","4.3.3"
"hms","1.1.4","4.3.3"
"htmltools","0.5.9","4.3.3"
"igraph","2.3.3","4.3.3"
"isoband","0.3.0","4.3.3"
"jquerylib","0.1.4","4.3.3"
"jsonlite","2.0.0","4.3.3"
"knitr","1.52","4.3.3"
"labeling","0.4.3","4.3.3"
"lifecycle","1.0.5","4.3.3"
"magick","2.9.1","4.3.3"
"magrittr","2.0.5","4.3.3"
"memoise","2.0.1","4.3.3"
"mime","0.13","4.3.3"
"phangorn","2.12.1","4.3.3"
"pheatmap","1.0.13","4.3.3"
"pillar","1.11.1","4.3.3"
"pkgconfig","2.0.3","4.3.3"
"png","0.1-9","4.3.3"
"prettyunits","1.2.0","4.3.3"
"progress","1.2.3","4.3.3"
"purrr","1.2.2","4.3.3"
"quadprog","1.5-8","4.3.3"
"R6","2.6.1","4.3.3"
"ragg","1.5.2","4.3.3"
"rappdirs","0.3.4","4.3.3"
"RColorBrewer","1.1-3","4.3.3"
"Rcpp","1.1.2","4.3.3"
"readr","2.2.0","4.3.3"
"renv","1.2.4","4.3.3"
"rlang","1.3.0","4.3.3"
"rmarkdown","2.32","4.3.3"
"rprojroot","2.1.1","4.3.3"
"S7","0.2.2","4.3.3"
"sass","0.4.10","4.3.3"
"scales","1.4.0","4.3.3"
"stringi","1.8.9","4.3.3"
"stringr","1.6.0","4.3.3"
"systemfonts","1.3.2","4.3.3"
"textshaping","1.0.5","4.3.3"
"tibble","3.3.1","4.3.3"
"tidyr","1.3.2","4.3.3"
"tidyselect","1.2.1","4.3.3"
"tinytex","0.61","4.3.3"
"tzdb","0.5.0","4.3.3"
"utf8","1.2.6","4.3.3"
"vctrs","0.7.3","4.3.3"
"viridisLite","0.4.3","4.3.3"
"vroom","1.7.1","4.3.3"
"withr","3.0.3","4.3.3"
"xfun","0.61","4.3.3"
"yaml","2.3.12","4.3.3"
"base","4.3.3","4.3.3"
"boot","1.3-30","4.3.2"
"class","7.3-22","4.3.3"
"cluster","2.1.6","4.3.3"
"codetools","0.2-19","4.2.2"
"compiler","4.3.3","4.3.3"
"datasets","4.3.3","4.3.3"
"foreign","0.8-86","4.3.3"
"graphics","4.3.3","4.3.3"
"grDevices","4.3.3","4.3.3"
"grid","4.3.3","4.3.3"
"KernSmooth","2.23-22","4.3.3"
"lattice","0.22-5","4.3.3"
"MASS","7.3-60.0.1","4.3.2"
"Matrix","1.6-5","4.3.2"
"methods","4.3.3","4.3.3"
"mgcv","1.9-1","4.3.2"
"nlme","3.1-164","4.3.3"
"nnet","7.3-19","4.3.3"
"parallel","4.3.3","4.3.3"
"rpart","4.1.23","4.3.3"
"spatial","7.3-17","4.3.3"
"splines","4.3.3","4.3.3"
"stats","4.3.3","4.3.3"
"stats4","4.3.3","4.3.3"
"survival","3.5-8","4.3.2"
"tcltk","4.3.3","4.3.3"
"tools","4.3.3","4.3.3"
"utils","4.3.3","4.3.3"
