file,lexical_delimiters
scripts/analysis/01_cohorts.R,pass
scripts/analysis/02_snp_distances.R,pass
scripts/analysis/03_amr_burden.R,pass
scripts/figures/01_epidemiology.R,pass
scripts/figures/02_susceptibility.R,pass
scripts/figures/03_phylogenies.R,pass
scripts/figures/04_snp_matrices.R,pass
scripts/figures/05_retained_artwork.R,pass
scripts/figures/06_composite.R,pass
scripts/lib/figure1.R,pass
scripts/lib/figures.R,pass
scripts/lib/project.R,pass
scripts/lib/publication.R,pass
scripts/reproduce.R,pass
environment/capture.R,pass
environment/install.R,pass
tests/check_R.R,pass
