figure,page,artifact,xref,sha256
Supplementary Figure 1,62,results/reference/Supplementary_Figure_01.png,456,3f2f749c99fc6461e91aef26daa0d7dcc6632662ed5231b479f7a3a14865d9be
Supplementary Figure 2,63,results/reference/Supplementary_Figure_02.png,467,34fc2cae7257f5c1fcf9a2706a16e777f36ab10932cbef8eb70bfb057ccc590b
Supplementary Figure 3,64,results/reference/Supplementary_Figure_03.png,476,20c14aa7e1dc3eb7402f933a519f0e1aca7905326ecd4d6ea1be8bee9f2f50b4
Supplementary Figure 4,65,results/reference/Supplementary_Figure_04.png,484,9174902bcb0264bd195e4f45d32f8f79be877b6909aa8d2bf8ffb4ee45cb68fa
Supplementary Figure 5,66,results/reference/Supplementary_Figure_05.png,491,5888a9995a1d2ed5cca8a0f9b23e95e0cad68bc0e008ad42522fdab1df2a0561
Supplementary Figure 6,67,results/reference/Supplementary_Figure_06.png,496,412141d5309dbad49942fb4b1c7cbf3f96d9ed1b1c5279c19bf757308838798a
Supplementary Figure 7,67,results/reference/Supplementary_Figure_07.png,497,2c4b5bcc58213e7e8ccd705fba1f562b57c200ec2547697217adbe4c311171e3
Supplementary Figure 8,68,results/reference/Supplementary_Figure_08.png,505,a991dbebd6615490774aecd0d0abefe6427b4b1c032fc91cd6ed70ac2ebe051b
Supplementary Figure 9,68,results/reference/Supplementary_Figure_09.png,506,831297e8c1473b62f1b4ed514643cba86041682016922bc253c7dc62b3848b83
Supplementary Figure 10,69,results/reference/Supplementary_Figure_10.png,514,55a521bf6d474f42c19f1c2fbb320e60e88302c31e10a70bf8a32bb7b0f4405e
Supplementary Figure 11,69,results/reference/Supplementary_Figure_11.png,515,6abb930f6b74c68eed55c47b934be56912a5d9413626561770892c970cce5eca
Supplementary Figure 12,70,results/reference/Supplementary_Figure_12.png,514,55a521bf6d474f42c19f1c2fbb320e60e88302c31e10a70bf8a32bb7b0f4405e
Supplementary Figure 13,70,results/reference/Supplementary_Figure_13.png,523,c6bfc0ee162207a7ab2d4b909e25d64a540ced77b4cb42f90e9a4eefa033d508
Supplementary Figure 14,71,results/reference/Supplementary_Figure_14.png,533,c9774488a1b310dfa0083fd8fdcbc3ca0b95f32fd24a2ee334d340ec6750daf8
Supplementary Figure 15,72,results/reference/Supplementary_Figure_15.png,539,a155d6a4d4d68b54c0ae51843e3fc447632292a262d438b4b282addc9d5253d3
Supplementary Figure 16,73,results/reference/Supplementary_Figure_16.png,546,13149626665a84e2681598bc42fc14559f79e05a09b17d28a098acb23a1173a8
Supplementary Figure 17,74,results/reference/Supplementary_Figure_17.png,552,f53065c8cbcc09bf6635dd61c0fcc2866f5b05e2819a52904fbe275636b323e8
Supplementary Figure 18,75,results/reference/Supplementary_Figure_18.png,558,b9aae9e12c83782a8b7103bf26cc42ee2309c3856af48c9b62440d6d98cd823b
Supplementary Figure 19,76,results/reference/Supplementary_Figure_19.png,564,763d185bca967ae367084167f9d820f8f0dc2fa82e304fd5a2b2367d9c29e88f
Supplementary Figure 20,77,results/reference/Supplementary_Figure_20.png,569,a33ac5b2422e4a030b94dd8c61da66fb2d82f7d6ffec56cefb67e27b6cd9ab51
Supplementary Figure 21,78,results/reference/Supplementary_Figure_21.png,573,e28f33dab85bf7c2efa774587b8f2eb1085118ffeeaa7256889e28b09c96108a
Supplementary Figure 22,79,results/reference/Supplementary_Figure_22.png,579,b304feac68fdb6e115c1fea67fa14fcf2a3125d1f122e4463a08f71fea6fd045
Supplementary Figure 23,80,results/reference/Supplementary_Figure_23.png,584,f059425d594957be1c5f9368cbb61cd2a2463a76f0f4c735de60689366392cf4
Supplementary Figure 24,81,results/reference/Supplementary_Figure_24.png,590,e9b7dad6a43eaa5e660cde25f022f7fd3eb318bde1537da3dc8e159d82ddd2ee
