file,width,height,format,dpi
data/artwork/Figure_1D_Blantyre_map.png,1378,965,PNG,"(219.9894, 219.9894)"
data/artwork/Figure_5_plasmid_comparison.png,1979,1139,PNG,"(219.9894, 219.9894)"
data/artwork/Figure_S1_plasmid_network.png,598,921,PNG,
data/artwork/Figure_S2_confocal_biofilms.png,2291,1073,PNG,"(219.9894, 219.9894)"
data/artwork/Figure_S3_biofilm_quantification.png,1965,1063,PNG,"(219.9894, 219.9894)"
data/artwork/Figure_S4_mouse_survival.png,1379,924,PNG,"(219.9894, 219.9894)"
results/reference/Figure_3A_CC25.tiff,4960,3897,TIFF,"(600.0, 600.0)"
results/reference/Figure_3B_AMR_gene_burden_600dpi.tiff,2952,2598,TIFF,"(600.0, 600.0)"
results/reference/Supplementary_Figure_01.png,598,921,PNG,"(96.012, 96.012)"
results/reference/Supplementary_Figure_02.png,2291,1073,PNG,"(96.012, 96.012)"
results/reference/Supplementary_Figure_03.png,1965,1063,PNG,"(96.012, 96.012)"
results/reference/Supplementary_Figure_04.png,1379,924,PNG,"(96.012, 96.012)"
results/reference/Supplementary_Figure_05.png,4800,4260,PNG,"(96.012, 96.012)"
results/reference/Supplementary_Figure_06.png,6240,4260,PNG,"(96.012, 96.012)"
results/reference/Supplementary_Figure_07.png,6240,4260,PNG,"(96.012, 96.012)"
results/reference/Supplementary_Figure_08.png,6240,4260,PNG,"(96.012, 96.012)"
results/reference/Supplementary_Figure_09.png,6240,4260,PNG,"(96.012, 96.012)"
results/reference/Supplementary_Figure_10.png,6240,4260,PNG,"(96.012, 96.012)"
results/reference/Supplementary_Figure_11.png,6240,4260,PNG,"(96.012, 96.012)"
results/reference/Supplementary_Figure_12.png,6240,4260,PNG,"(96.012, 96.012)"
results/reference/Supplementary_Figure_13.png,6240,4260,PNG,"(96.012, 96.012)"
results/reference/Supplementary_Figure_14.png,6240,4260,PNG,"(96.012, 96.012)"
results/reference/Supplementary_Figure_15.png,6240,4260,PNG,"(96.012, 96.012)"
results/reference/Supplementary_Figure_16.png,6240,4260,PNG,"(96.012, 96.012)"
results/reference/Supplementary_Figure_17.png,6240,4260,PNG,"(96.012, 96.012)"
results/reference/Supplementary_Figure_18.png,6240,4260,PNG,"(96.012, 96.012)"
results/reference/Supplementary_Figure_19.png,4800,4260,PNG,"(96.012, 96.012)"
results/reference/Supplementary_Figure_20.png,6240,4380,PNG,"(96.012, 96.012)"
results/reference/Supplementary_Figure_21.png,6240,4380,PNG,"(96.012, 96.012)"
results/reference/Supplementary_Figure_22.png,6240,4080,PNG,"(96.012, 96.012)"
results/reference/Supplementary_Figure_23.png,10800,10800,PNG,"(96.012, 96.012)"
results/reference/Supplementary_Figure_24.png,8400,8400,PNG,"(96.012, 96.012)"
