deposited_sample_alias,sample_accession,run_accession,experiment_accession,isolate_id
CNSP0U_S18_L001,ERS29128537,ERR16714732,ERX16105697,CNSP0U
CNSNZ2_S22_L001,ERS29128536,ERR16714731,ERX16105696,CNSNZ2
CNSLL4_S20_L001,ERS29128535,ERR16714730,ERX16105695,CNSLL4
CNSKFP_S19_L001,ERS29128534,ERR16714729,ERX16105694,CNSKFP
CNSFP4_S1_L001,ERS29128533,ERR16714728,ERX16105693,CNSFP4
CNSDXZ_S1_L001,ERS29128532,ERR16714727,ERX16105692,CNSDXZ
CNS7YP_S5_L001,ERS29128531,ERR16714726,ERX16105691,CNS7YP
CNS6QU_S4_L001,ERS29128530,ERR16714725,ERX16105690,CNS6QU
CNS4NS_S4_L001,ERS29128529,ERR16714724,ERX16105689,CNS4NS
CNS1F3_S9_L001,ERS29128528,ERR16714723,ERX16105688,CNS1F3
CLL6CH_S17_L001,ERS29128527,ERR16714722,ERX16105687,CLL6CH
CLL3JA_S28_L001,ERS29128526,ERR16714721,ERX16105686,CLL3JA
CIV147E3_S35_L001,ERS29128525,ERR16714720,ERX16105685,CIV147E3
CIV146E8_S25_L001,ERS29128524,ERR16714719,ERX16105684,CIV146E8
CIV144U1_S34_L001,ERS29128523,ERR16714718,ERX16105683,CIV144U1
CIV144E6_S33_L001,ERS29128522,ERR16714717,ERX16105682,CIV144E6
CIV143U1_S32_L001,ERS29128521,ERR16714716,ERX16105681,CIV143U1
CIV143E9_S8_L001,ERS29128520,ERR16714715,ERX16105680,CIV143E9
CIV143E4_S31_L001,ERS29128519,ERR16714714,ERX16105679,CIV143E4
CIV143E2_S28_L001,ERS29128518,ERR16714713,ERX16105678,CIV143E2
CIV142E6_S29_L001,ERS29128517,ERR16714712,ERX16105677,CIV142E6
CIV141E6_S16_L001,ERS29128516,ERR16714711,ERX16105676,CIV141E6
CIV140U1_S14_L001,ERS29128515,ERR16714710,ERX16105675,CIV140U1
CIV140E7_S24_L001,ERS29128514,ERR16714709,ERX16105674,CIV140E7
CIV140E6_S2_L001,ERS29128513,ERR16714708,ERX16105673,CIV140E6
CIV140E4_S26_L001,ERS29128512,ERR16714707,ERX16105672,CIV140E4
CIV140E1_S30_L001,ERS29128511,ERR16714706,ERX16105671,CIV140E1
CIV13YE8_S22_L001,ERS29128510,ERR16714705,ERX16105670,CIV13YE8
CIV13YE6_S9_L001,ERS29128509,ERR16714704,ERX16105669,CIV13YE6
CIV13XU1_S18_L001,ERS29128508,ERR16714703,ERX16105668,CIV13XU1
CIV13XE8_S20_L001,ERS29128507,ERR16714702,ERX16105667,CIV13XE8
CIV13XE5_S19_L001,ERS29128506,ERR16714701,ERX16105666,CIV13XE5
CIV13XE2_S6_L001,ERS29128505,ERR16714700,ERX16105665,CIV13XE2
CIV13VE5_S21_L001,ERS29128504,ERR16714699,ERX16105664,CIV13VE5
CIV13UE4_S38_L001,ERS29128503,ERR16714698,ERX16105663,CIV13UE4
CIV13RE2_S11_L001,ERS29128502,ERR16714697,ERX16105662,CIV13RE2
CIV13PE7_S12_L001,ERS29128501,ERR16714696,ERX16105661,CIV13PE7
CIU149H1_S7_L001,ERS29128500,ERR16714695,ERX16105660,CIU149H1
CIU145B1_S13_L001,ERS29128499,ERR16714694,ERX16105659,CIU145B1
CIU13XS1_S15_L001,ERS29128498,ERR16714693,ERX16105658,CIU13XS1
CIT15GS1_S23_L001,ERS29128497,ERR16714692,ERX16105657,CIT15GS1
CIT15GH1_S36_L001,ERS29128496,ERR16714691,ERX16105656,CIT15GH1
CIT15FH1_S5_L001,ERS29128495,ERR16714690,ERX16105655,CIT15FH1
CIT15FB1_S1_L001,ERS29128494,ERR16714689,ERX16105654,CIT15FB1
CIT15EB1_S3_L001,ERS29128493,ERR16714688,ERX16105653,CIT15EB1
CIT159B1_S40_L001,ERS29128492,ERR16714687,ERX16105652,CIT159B1
CIS15MR1_S17_L001,ERS29128491,ERR16714686,ERX16105651,CIS15MR1
CIS15HB1_S39_L001,ERS29128490,ERR16714685,ERX16105650,CIS15HB1
CIS153C1_S4_L001,ERS29128489,ERR16714684,ERX16105649,CIS153C1
CAAYSI_S8_L001,ERS29128488,ERR16714683,ERX16105648,CAAYSI
CAAYM5_S24_L001,ERS29128487,ERR16714682,ERX16105647,CAAYM5
CAAYDF_S3_L001,ERS29128486,ERR16714681,ERX16105646,CAAYDF
CAAXQV_S11_L001,ERS29128485,ERR16714680,ERX16105645,CAAXQV
CAAXBN_S10_L001,ERS29128484,ERR16714679,ERX16105644,CAAXBN
CAAS99_S6_L001,ERS29128483,ERR16714678,ERX16105643,CAAS99
CAARE3_S13_L001,ERS29128482,ERR16714677,ERX16105642,CAARE3
CAAR9T_S6_L001,ERS29128481,ERR16714676,ERX16105641,CAAR9T
CAAQXB_S13_L001,ERS29128480,ERR16714675,ERX16105640,CAAQXB
CAAQUT_S12_L001,ERS29128479,ERR16714674,ERX16105639,CAAQUT
CAAQIG_S25_L001,ERS29128478,ERR16714673,ERX16105638,CAAQIG
CAAP2A_S14_L001,ERS29128477,ERR16714672,ERX16105637,CAAP2A
BKRRJK_S5_L001,ERS29128476,ERR16714671,ERX16105636,BKRRJK
BKRRIF_S2_L001,ERS29128475,ERR16714670,ERX16105635,BKRRIF
BKRMVD_S15_L001,ERS29128474,ERR16714669,ERX16105634,BKRMVD
44341_4#286,ERS29128473,ERR16714668,ERX16105633,44341_4_286
44341_4#275,ERS29128472,ERR16714667,ERX16105632,44341_4_275
44341_3#96,ERS29128471,ERR16714666,ERX16105631,44341_3_96
44341_3#310,ERS29128470,ERR16714665,ERX16105630,44341_3_310
44341_3#305,ERS29128469,ERR16714664,ERX16105629,44341_3_305
44341_3#304,ERS29128468,ERR16714663,ERX16105628,44341_3_304
44341_3#281,ERS29128467,ERR16714662,ERX16105627,44341_3_281
44341_3#280,ERS29128466,ERR16714661,ERX16105626,44341_3_280
44341_3#268,ERS29128465,ERR16714660,ERX16105625,44341_3_268
44341_3#265,ERS29128464,ERR16714659,ERX16105624,44341_3_265
44341_3#262,ERS29128463,ERR16714658,ERX16105623,44341_3_262
44341_3#21,ERS29128462,ERR16714657,ERX16105622,44341_3_21
44341_3#165,ERS29128461,ERR16714656,ERX16105621,44341_3_165
44341_3#136,ERS29128460,ERR16714655,ERX16105620,44341_3_136
44341_3#131,ERS29128459,ERR16714654,ERX16105619,44341_3_131
44341_3#128,ERS29128458,ERR16714653,ERX16105618,44341_3_128
