isolate_id,run_accession,AMP10,AZM15,CIP5,FOX30,MEM10,C30,PEF5,FEP30,SXT25
CIV13YE8,ERR16714705,6.0,16.0,19.0,6.0,30.0,24.0,19.0,21.0,6.0
CIT15GS1,ERR16714692,6.0,19.0,20.0,23.0,35.0,6.0,12.0,12.0,6.0
CIT15EB1,ERR16714688,6.0,15.0,20.0,6.0,32.0,6.0,19.0,20.0,6.0
CIT15FH1,ERR16714690,6.0,13.0,33.0,8.0,34.0,24.0,30.0,36.0,6.0
CIT15FB1,ERR16714689,6.0,15.0,34.0,9.0,34.0,20.0,28.0,36.0,6.0
CIU149H1,ERR16714695,6.0,15.0,34.0,9.0,34.0,20.0,25.0,32.0,6.0
CIV13XE2,ERR16714700,6.0,14.0,34.0,8.0,32.0,22.0,26.0,34.0,6.0
CIV13YE6,ERR16714704,6.0,18.0,20.0,23.0,33.0,6.0,17.0,33.0,6.0
CIV143E9,ERR16714715,6.0,16.0,18.0,8.0,34.0,6.0,19.0,12.0,6.0
CIV143U1,ERR16714716,6.0,15.0,18.0,22.0,32.0,6.0,17.0,11.0,6.0
CIV143E2,ERR16714713,6.0,15.0,29.0,6.0,32.0,16.0,20.0,21.0,6.0
CIV143E4,ERR16714714,10.0,17.0,36.0,8.0,32.0,24.0,26.0,36.0,30.0
CIV144E6,ERR16714717,6.0,6.0,6.0,22.0,30.0,24.0,6.0,19.0,6.0
CIV144U1,ERR16714718,6.0,15.0,20.0,23.0,32.0,6.0,17.0,11.0,6.0
CIV146E8,ERR16714719,6.0,17.0,19.0,23.0,32.0,6.0,15.0,10.0,6.0
CIV142E6,ERR16714712,6.0,18.0,21.0,24.0,32.0,6.0,16.0,11.0,6.0
CIV140E6,ERR16714708,6.0,16.0,22.0,10.0,36.0,6.0,18.0,13.0,6.0
CIV140E7,ERR16714709,6.0,6.0,23.0,10.0,34.0,6.0,18.0,12.0,6.0
CIV141E6,ERR16714711,6.0,15.0,18.0,22.0,30.0,6.0,18.0,11.0,6.0
