isolate_id,run_accession,TCG15,IPM10,AK30,CPD10,ATM30,CN10,TZP36,CTX5
CIV13YE8,ERR16714705,18.0,28.0,20.0,20.0,11.0,6.0,20.0,34.0
CIT15GS1,ERR16714692,16.0,32.0,21.0,6.0,6.0,6.0,19.0,6.0
CIT15EB1,ERR16714688,19.0,30.0,20.0,6.0,14.0,8.0,19.0,6.0
CIT15FH1,ERR16714690,20.0,30.0,21.0,22.0,36.0,23.0,24.0,28.0
CIT15FB1,ERR16714689,20.0,30.0,22.0,21.0,34.0,22.0,24.0,31.0
CIU149H1,ERR16714695,20.0,30.0,22.0,22.0,34.0,22.0,24.0,34.0
CIV13XE2,ERR16714700,18.0,26.0,22.0,24.0,32.0,21.0,26.0,32.0
CIV13YE6,ERR16714704,17.0,32.0,21.0,6.0,6.0,8.0,20.0,6.0
CIV143E9,ERR16714715,16.0,29.0,20.0,6.0,6.0,7.0,20.0,6.0
CIV143U1,ERR16714716,18.0,30.0,20.0,6.0,6.0,6.0,19.0,6.0
CIV143E2,ERR16714713,19.0,28.0,22.0,6.0,6.0,21.0,24.0,6.0
CIV143E4,ERR16714714,18.0,27.0,21.0,20.0,32.0,20.0,22.0,6.0
CIV144E6,ERR16714717,20.0,30.0,20.0,6.0,15.0,20.0,19.0,10.0
CIV144U1,ERR16714718,17.0,30.0,20.0,6.0,6.0,8.0,19.0,6.0
CIV146E8,ERR16714719,18.0,30.0,20.0,6.0,6.0,8.0,20.0,6.0
CIV142E6,ERR16714712,16.0,30.0,20.0,6.0,6.0,6.0,19.0,6.0
CIV140E6,ERR16714708,18.0,27.0,20.0,6.0,6.0,6.0,20.0,27.0
CIV140E7,ERR16714709,15.0,30.0,21.0,6.0,6.0,6.0,20.0,32.0
CIV141E6,ERR16714711,18.0,30.0,20.0,6.0,6.0,8.0,18.0,6.0
