isolate_id,run_accession,AMP10,C30,SXT25,PEF5,CPD10,CTX5,MDR_phenotype,XDR_phenotype,genomic_XDR_profile
CIV13YE8,ERR16714705,R,S,R,R,R,S,False,False,1
CIT15GS1,ERR16714692,R,R,R,R,R,R,True,True,1
CIT15EB1,ERR16714688,R,R,R,R,R,R,True,True,1
CIT15FH1,ERR16714690,R,S,R,S,S,S,False,False,1
CIT15FB1,ERR16714689,R,S,R,S,S,S,False,False,1
CIU149H1,ERR16714695,R,S,R,S,S,S,False,False,1
CIV13XE2,ERR16714700,R,S,R,S,S,S,False,False,1
CIV13YE6,ERR16714704,R,R,R,R,R,R,True,True,1
CIV143E9,ERR16714715,R,R,R,R,R,R,True,True,1
CIV143U1,ERR16714716,R,R,R,R,R,R,True,True,1
CIV143E2,ERR16714713,R,R,R,R,R,R,True,True,1
CIV143E4,ERR16714714,R,S,S,S,R,R,False,False,1
CIV144E6,ERR16714717,R,S,R,R,R,R,False,False,1
CIV144U1,ERR16714718,R,R,R,R,R,R,True,True,1
CIV146E8,ERR16714719,R,R,R,R,R,R,True,True,1
CIV142E6,ERR16714712,R,R,R,R,R,R,True,True,1
CIV140E6,ERR16714708,R,R,R,R,R,S,True,True,1
CIV140E7,ERR16714709,R,R,R,R,R,S,True,True,1
CIV141E6,ERR16714711,R,R,R,R,R,R,True,True,1
