isolate_id,run_accession,sample_accession,CC25_panel,ST335_panel,XDR_phenotype
CIV13YE8,ERR16714705,ERS29128510,CC25-02,ST335-02,0
CIT15GS1,ERR16714692,ERS29128497,CC25-01,ST335-01,1
CIT15EB1,ERR16714688,ERS29128493,CC25-01,ST335-01,1
CIT15FH1,ERR16714690,ERS29128495,CC25-01,ST335-01,0
CIT15FB1,ERR16714689,ERS29128494,CC25-01,ST335-01,0
CIU149H1,ERR16714695,ERS29128500,CC25-02,ST335-02,0
CIV13XE2,ERR16714700,ERS29128505,CC25-01,ST335-01,0
CIV13YE6,ERR16714704,ERS29128509,CC25-02,ST335-02,1
CIV143E9,ERR16714715,ERS29128520,CC25-01,ST335-01,1
CIV143U1,ERR16714716,ERS29128521,CC25-01,ST335-01,1
CIV143E2,ERR16714713,ERS29128518,CC25-01,ST335-01,1
CIV143E4,ERR16714714,ERS29128519,CC25-02,ST335-02,0
CIV144E6,ERR16714717,ERS29128522,CC25-02,ST335-02,0
CIV144U1,ERR16714718,ERS29128523,CC25-02,ST335-02,1
CIV146E8,ERR16714719,ERS29128524,CC25-02,ST335-02,1
CIV142E6,ERR16714712,ERS29128517,CC25-01,ST335-01,1
CIV140E6,ERR16714708,ERS29128513,CC25-02,ST335-02,1
CIV140E7,ERR16714709,ERS29128514,CC25-01,ST335-01,1
CIV141E6,ERR16714711,ERS29128516,CC25-01,ST335-01,1
