isolate_id,CIV13UE4,CIS15MR1,CIV13YE6,CIV143E4,CIV13XE5,CIT15GH1,CIV140E1,CIV140E6,CIU13XS1,CIV146E8,CIU149H1,CIV144E6,CIV13VE5,CIV13YE8,CIV144U1,CNSP0U,CNSKFP,CNSLL4,ERR9941258,ERR9929342,ERR9966382,CLL3JA,CNS7YP,BKRRIF,CNS6QU,44341_3_96,44341_3_21,BKRMVD,CAAYDF,CAAXBN,44341_3_165,44341_3_262,44341_3_265
CIV13UE4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,16,23,7,7,9,5,7,7,7,6,6,1,1,1,7,11,11
CIS15MR1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,16,23,7,7,9,5,7,7,7,6,6,1,1,1,7,11,11
CIV13YE6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,16,23,7,7,9,5,7,7,7,6,6,1,1,1,7,11,11
CIV143E4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,16,23,7,7,9,5,7,7,7,6,6,1,1,1,7,11,11
CIV13XE5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,16,23,7,7,9,5,7,7,7,6,6,1,1,1,7,11,11
CIT15GH1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,16,23,7,7,9,5,7,7,7,6,6,1,1,1,7,11,11
CIV140E1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,16,23,7,7,9,5,7,7,7,6,6,1,1,1,7,11,11
CIV140E6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,16,23,7,7,9,5,7,7,7,6,6,1,1,1,7,11,11
CIU13XS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,16,23,7,7,9,5,7,7,7,6,6,1,1,1,7,11,11
CIV146E8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,15,22,7,7,9,5,7,7,7,6,6,1,1,1,7,11,11
CIU149H1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,16,23,7,7,9,5,7,7,7,6,6,1,1,1,7,11,11
CIV144E6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,16,23,7,7,9,5,7,7,7,6,6,1,1,1,7,11,11
CIV13VE5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,16,23,7,7,9,5,7,7,7,6,6,1,1,1,7,11,11
CIV13YE8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,16,23,7,7,9,5,7,7,7,6,6,1,1,1,7,11,11
CIV144U1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,18,17,24,8,8,10,6,8,8,8,7,7,2,2,2,8,12,12
CNSP0U,17,17,17,17,17,17,17,17,17,16,17,17,17,17,18,0,1,5,14,14,16,12,14,14,14,13,13,16,16,16,22,26,26
CNSKFP,16,16,16,16,16,16,16,16,16,15,16,16,16,16,17,1,0,8,13,13,15,11,13,13,13,12,12,15,15,15,21,24,24
CNSLL4,23,23,23,23,23,23,23,23,23,22,23,23,23,23,24,5,8,0,21,21,23,19,21,21,21,20,20,22,22,22,28,32,32
ERR9941258,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,14,13,21,0,2,4,2,4,4,4,3,3,6,6,6,12,16,16
ERR9929342,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,14,13,21,2,0,2,2,4,4,4,3,3,6,6,6,12,16,16
ERR9966382,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,16,15,23,4,2,0,4,6,6,6,5,5,8,8,8,14,18,18
CLL3JA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,12,11,19,2,2,4,0,2,2,2,1,1,4,4,4,10,14,14
CNS7YP,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,14,13,21,4,4,6,2,0,0,0,1,1,6,6,6,12,16,16
BKRRIF,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,14,13,21,4,4,6,2,0,0,0,1,1,6,6,6,12,16,16
CNS6QU,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,14,13,21,4,4,6,2,0,0,0,1,1,6,6,6,12,16,16
44341_3_96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,13,12,20,3,3,5,1,1,1,1,0,0,5,5,5,11,15,15
44341_3_21,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,13,12,20,3,3,5,1,1,1,1,0,0,5,5,5,11,15,15
BKRMVD,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,16,15,22,6,6,8,4,6,6,6,5,5,0,0,0,6,10,10
CAAYDF,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,16,15,22,6,6,8,4,6,6,6,5,5,0,0,0,6,10,10
CAAXBN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,16,15,22,6,6,8,4,6,6,6,5,5,0,0,0,6,9,9
44341_3_165,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,22,21,28,12,12,14,10,12,12,12,11,11,6,6,6,0,16,16
44341_3_262,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,26,24,32,16,16,18,14,16,16,16,15,15,10,10,9,16,0,0
44341_3_265,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,26,24,32,16,16,18,14,16,16,16,15,15,10,10,9,16,0,0
