isolate_id,alignment_length,in_final_345
ERR10026000,4947218,True
ERR10087012,4947218,True
ERR10087013,4947218,True
ERR10088101,4947218,True
ERR10088102,4947218,True
ERR10088104,4947218,True
ERR10088105,4947218,True
ERR10109255,4947218,True
ERR10109274,4947218,True
ERR10109275,4947218,True
ERR10109276,4947218,True
ERR10123168,4947218,True
ERR10176866,4947218,True
ERR10176872,4947218,True
ERR10460483,4947218,True
ERR10460687,4947218,True
ERR10460887,4947218,True
ERR9785509,4947218,True
ERR9785510,4947218,True
ERR9785511,4947218,True
ERR9785512,4947218,True
ERR9820422,4947218,True
ERR9822144,4947218,True
ERR9822145,4947218,True
ERR9822146,4947218,True
ERR9822149,4947218,True
ERR9822151,4947218,True
ERR9939684,4947218,False
ERR9966387,4947218,True
ERR9966388,4947218,True
ERR9966389,4947218,True
ERR9966390,4947218,True
