isolate_id,run_accession,ST
44341_3#128,ERR16714653,335
44341_3#131,ERR16714654,335
44341_3#136,ERR16714655,335
44341_3#165,ERR16714656,335
44341_3#21,ERR16714657,335
44341_3#262,ERR16714658,335
44341_3#265,ERR16714659,335
44341_3#268,ERR16714660,335
44341_3#280,ERR16714661,335
44341_3#281,ERR16714662,335
44341_3#304,ERR16714663,335
44341_3#305,ERR16714664,335
44341_3#310,ERR16714665,335
44341_3#96,ERR16714666,335
44341_4#275,ERR16714667,335
44341_4#286,ERR16714668,335
BKRMVD_S15_L001,ERR16714669,335
BKRRIF_S2_L001,ERR16714670,335
BKRRJK_S5_L001,ERR16714671,Other
CAAP2A_S14_L001,ERR16714672,335
CAAQIG_S25_L001,ERR16714673,Other
CAAQUT_S12_L001,ERR16714674,335
CAAQXB_S13_L001,ERR16714675,335
CAAR9T_S6_L001,ERR16714676,335
CAARE3_S13_L001,ERR16714677,335
CAAS99_S6_L001,ERR16714678,Other
CAAXBN_S10_L001,ERR16714679,335
CAAXQV_S11_L001,ERR16714680,335
CAAYDF_S3_L001,ERR16714681,335
CAAYM5_S24_L001,ERR16714682,Other
CAAYSI_S8_L001,ERR16714683,335
CIS153C1_S4_L001,ERR16714684,335
CIS15HB1_S39_L001,ERR16714685,335
CIS15MR1_S17_L001,ERR16714686,335
CIT159B1_S40_L001,ERR16714687,335
CIT15EB1_S3_L001,ERR16714688,335
CIT15FB1_S1_L001,ERR16714689,335
CIT15FH1_S5_L001,ERR16714690,335
CIT15GH1_S36_L001,ERR16714691,335
CIT15GS1_S23_L001,ERR16714692,335
CIU13XS1_S15_L001,ERR16714693,335
CIU145B1_S13_L001,ERR16714694,335
CIU149H1_S7_L001,ERR16714695,335
CIV13PE7_S12_L001,ERR16714696,335
CIV13RE2_S11_L001,ERR16714697,335
CIV13UE4_S38_L001,ERR16714698,335
CIV13VE5_S21_L001,ERR16714699,335
CIV13XE2_S6_L001,ERR16714700,335
CIV13XE5_S19_L001,ERR16714701,335
CIV13XE8_S20_L001,ERR16714702,335
CIV13XU1_S18_L001,ERR16714703,335
CIV13YE6_S9_L001,ERR16714704,335
CIV13YE8_S22_L001,ERR16714705,335
CIV140E1_S30_L001,ERR16714706,335
CIV140E4_S26_L001,ERR16714707,335
CIV140E6_S2_L001,ERR16714708,335
CIV140E7_S24_L001,ERR16714709,335
CIV140U1_S14_L001,ERR16714710,335
CIV141E6_S16_L001,ERR16714711,335
CIV142E6_S29_L001,ERR16714712,335
CIV143E2_S28_L001,ERR16714713,335
CIV143E4_S31_L001,ERR16714714,335
CIV143E9_S8_L001,ERR16714715,335
CIV143U1_S32_L001,ERR16714716,335
CIV144E6_S33_L001,ERR16714717,335
CIV144U1_S34_L001,ERR16714718,335
CIV146E8_S25_L001,ERR16714719,335
CIV147E3_S35_L001,ERR16714720,335
CLL3JA_S28_L001,ERR16714721,335
CLL6CH_S17_L001,ERR16714722,335
CNS1F3_S9_L001,ERR16714723,335
CNS4NS_S4_L001,ERR16714724,Other
CNS6QU_S4_L001,ERR16714725,335
CNS7YP_S5_L001,ERR16714726,335
CNSDXZ_S1_L001,ERR16714727,335
CNSFP4_S1_L001,ERR16714728,335
CNSKFP_S19_L001,ERR16714729,335
CNSLL4_S20_L001,ERR16714730,335
CNSNZ2_S22_L001,ERR16714731,Other
CNSP0U_S18_L001,ERR16714732,335
ERR10026000,ERR10026000,335
ERR10087012,ERR10087012,335
ERR10087013,ERR10087013,335
ERR10088101,ERR10088101,335
ERR10088102,ERR10088102,335
ERR10088104,ERR10088104,335
ERR10088105,ERR10088105,335
ERR10109255,ERR10109255,335
ERR10109274,ERR10109274,335
ERR10109275,ERR10109275,335
ERR10109276,ERR10109276,335
ERR10109277,ERR10109277,335
ERR10113269,ERR10113269,335
ERR10117717,ERR10117717,335
ERR10123158,ERR10123158,335
ERR10123167,ERR10123167,335
ERR10123168,ERR10123168,335
ERR10125140,ERR10125140,335
ERR10176866,ERR10176866,335
ERR10176869,ERR10176869,335
ERR10176870,ERR10176870,335
ERR10176872,ERR10176872,335
ERR10368770,ERR10368770,216
ERR10438737,ERR10438737,335
ERR10460483,ERR10460483,335
ERR10460687,ERR10460687,335
ERR10460765,ERR10460765,335
ERR10460856,ERR10460856,335
ERR10460875,ERR10460875,335
ERR10460887,ERR10460887,335
ERR10460902,ERR10460902,335
ERR10880116,ERR10880116,335
ERR10880156,ERR10880156,335
ERR10880157,ERR10880157,335
ERR10880181,ERR10880181,335
ERR10880183,ERR10880183,335
ERR10880230,ERR10880230,335
ERR10880311,ERR10880311,335
ERR10880335,ERR10880335,335
ERR10880377,ERR10880377,335
ERR10880424,ERR10880424,335
ERR10949303,ERR10949303,335
ERR10949310,ERR10949310,335
ERR11201827,ERR11201827,335
ERR11219800,ERR11219800,335
ERR11219811,ERR11219811,335
ERR11420238,ERR11420238,335
ERR11437918,ERR11437918,335
ERR11453719,ERR11453719,335
ERR11455881,ERR11455881,335
ERR11502778,ERR11502778,335
ERR11747320,ERR11747320,335
ERR11747325,ERR11747325,335
ERR11807704,ERR11807704,335
ERR11807709,ERR11807709,335
ERR11810274,ERR11810274,335
ERR11872767,ERR11872767,335
ERR11896635,ERR11896635,335
ERR12067314,ERR12067314,335
ERR12067334,ERR12067334,335
ERR12067371,ERR12067371,335
ERR12078572,ERR12078572,335
ERR12078573,ERR12078573,335
ERR12080226,ERR12080226,335
ERR12091513,ERR12091513,335
ERR12142619,ERR12142619,335
ERR12142634,ERR12142634,335
ERR12146144,ERR12146144,335
ERR12165616,ERR12165616,335
