isolate_id,ERR12078573,ERR9785512,ERR12165616,ERR10460887,ERR10880335,ERR10880156,ERR10880377,ERR10088105,ERR12321284,ERR9966388,ERR10026000,ERR9822144,ERR10088104,ERR10088102,ERR9822151,ERR10109255,ERR11810274,ERR9966386,ERR12259395,ERR12091513,ERR10125140,ERR10949303,ERR10109277,ERR10087013,ERR12146144,ERR11219811,ERR11420238,ERR11437918,ERR11807709,ERR10880183,ERR10880311
ERR12078573,0,2,2,4,6,4,4,2,5,2,21,10,10,10,11,12,6,4,4,4,4,6,5,6,5,5,5,6,6,6,14
ERR9785512,2,0,0,2,4,2,2,0,4,0,19,8,8,8,9,10,4,2,2,2,2,4,3,4,3,3,3,4,4,4,12
ERR12165616,2,0,0,2,4,2,2,0,3,0,21,8,8,8,9,10,4,2,2,2,2,4,3,4,3,3,3,4,4,4,12
ERR10460887,4,2,2,0,2,0,0,2,5,2,23,10,10,10,11,12,6,4,4,4,4,6,5,6,5,5,5,6,6,6,14
ERR10880335,6,4,4,2,0,2,2,4,7,4,24,12,12,12,13,14,8,6,6,6,6,8,6,7,7,7,7,8,8,8,16
ERR10880156,4,2,2,0,2,0,0,2,5,2,22,10,10,10,11,12,6,4,4,4,4,6,4,5,5,5,5,6,6,6,14
ERR10880377,4,2,2,0,2,0,0,2,5,2,22,10,10,10,11,12,6,4,4,4,4,6,4,5,5,5,5,6,6,6,14
ERR10088105,2,0,0,2,4,2,2,0,4,0,19,8,8,8,9,10,4,2,2,2,2,4,3,4,3,3,3,4,4,4,12
ERR12321284,5,4,3,5,7,5,5,4,0,5,27,11,13,12,14,13,7,8,7,7,6,8,9,8,7,9,8,9,10,7,15
ERR9966388,2,0,0,2,4,2,2,0,5,0,18,7,7,7,8,9,3,1,1,1,1,3,2,3,2,2,2,3,3,3,11
ERR10026000,21,19,21,23,24,22,22,19,27,18,0,12,11,11,13,15,24,19,19,19,19,21,18,19,18,21,20,21,21,23,30
ERR9822144,10,8,8,10,12,10,10,8,11,7,12,0,0,0,1,2,10,9,9,9,9,10,10,11,10,10,10,11,11,10,18
ERR10088104,10,8,8,10,12,10,10,8,13,7,11,0,0,0,1,2,10,8,8,8,8,10,9,10,9,9,9,10,10,10,18
ERR10088102,10,8,8,10,12,10,10,8,12,7,11,0,0,0,1,2,10,8,8,8,8,10,9,10,9,9,9,10,10,10,18
ERR9822151,11,9,9,11,13,11,11,9,14,8,13,1,1,1,0,3,11,10,10,10,10,11,11,12,11,11,11,12,12,11,19
ERR10109255,12,10,10,12,14,12,12,10,13,9,15,2,2,2,3,0,12,11,11,11,11,12,11,12,12,12,12,13,13,10,18
ERR11810274,6,4,4,6,8,6,6,4,7,3,24,10,10,10,11,12,0,5,5,5,5,6,6,7,6,6,6,7,7,6,14
ERR9966386,4,2,2,4,6,4,4,2,8,1,19,9,8,8,10,11,5,0,0,0,0,2,1,2,1,1,1,2,2,2,10
ERR12259395,4,2,2,4,6,4,4,2,7,1,19,9,8,8,10,11,5,0,0,0,0,2,1,2,1,1,1,2,2,2,10
ERR12091513,4,2,2,4,6,4,4,2,7,1,19,9,8,8,10,11,5,0,0,0,0,2,1,2,1,1,1,2,2,2,10
ERR10125140,4,2,2,4,6,4,4,2,6,1,19,9,8,8,10,11,5,0,0,0,0,2,1,2,1,1,1,2,2,2,10
ERR10949303,6,4,4,6,8,6,6,4,8,3,21,10,10,10,11,12,6,2,2,2,2,0,3,4,3,3,3,4,4,4,12
ERR10109277,5,3,3,5,6,4,4,3,9,2,18,10,9,9,11,11,6,1,1,1,1,3,0,1,0,2,2,3,3,3,10
ERR10087013,6,4,4,6,7,5,5,4,8,3,19,11,10,10,12,12,7,2,2,2,2,4,1,0,1,3,3,4,4,4,11
ERR12146144,5,3,3,5,7,5,5,3,7,2,18,10,9,9,11,12,6,1,1,1,1,3,0,1,0,2,2,3,3,3,11
ERR11219811,5,3,3,5,7,5,5,3,9,2,21,10,9,9,11,12,6,1,1,1,1,3,2,3,2,0,2,3,3,3,11
ERR11420238,5,3,3,5,7,5,5,3,8,2,20,10,9,9,11,12,6,1,1,1,1,3,2,3,2,2,0,1,1,3,11
ERR11437918,6,4,4,6,8,6,6,4,9,3,21,11,10,10,12,13,7,2,2,2,2,4,3,4,3,3,1,0,2,4,12
ERR11807709,6,4,4,6,8,6,6,4,10,3,21,11,10,10,12,13,7,2,2,2,2,4,3,4,3,3,1,2,0,4,12
ERR10880183,6,4,4,6,8,6,6,4,7,3,23,10,10,10,11,10,6,2,2,2,2,4,3,4,3,3,3,4,4,0,7
ERR10880311,14,12,12,14,16,14,14,12,15,11,30,18,18,18,19,18,14,10,10,10,10,12,10,11,11,11,11,12,12,7,0
