isolate_id,44341_4_286,44341_3_268,44341_3_280,CAAP2A,CNSFP4,CNSDXZ,CAAQXB,CAAR9T,CAAQUT,CAARE3,CLL6CH,ERR10438737,ERR10113269,ERR6752971,ERR5751227,ERR9976609,ERR11219800,ERR12142619,ERR11747325,ERR11502778,ERR7197834,ERR9079758,ERR6806255,ERR6805990,ERR6806776,ERR5750995,ERR6806749,ERR6805998,ERR6806833,ERR12080226,ERR12321283,ERR12321282,ERR12067314
44341_4_286,0,0,0,8,17,19,18,20,20,19,19,50,58,35,34,47,36,43,55,51,45,47,58,47,46,46,48,60,59,46,46,46,47
44341_3_268,0,0,0,8,17,19,18,20,20,19,19,50,58,35,34,47,36,43,55,51,45,47,58,47,46,46,48,60,59,46,46,46,47
44341_3_280,0,0,0,8,17,19,18,20,20,19,19,50,56,35,34,47,36,43,55,51,45,47,58,47,46,46,48,60,59,46,46,46,47
CAAP2A,8,8,8,0,9,11,11,12,12,11,11,37,50,27,26,39,28,35,47,43,37,39,50,39,38,38,40,52,51,38,38,38,38
CNSFP4,17,17,17,9,0,5,20,20,20,19,20,47,57,34,33,42,32,38,53,49,43,45,56,44,44,44,46,57,57,43,44,44,45
CNSDXZ,19,19,19,11,5,0,21,23,23,22,21,53,60,38,37,50,39,46,58,54,48,50,61,50,49,49,51,63,62,49,49,49,50
CAAQXB,18,18,18,11,20,21,0,0,1,1,15,45,53,30,29,42,31,37,49,45,39,41,52,41,40,40,42,54,53,40,40,40,41
CAAR9T,20,20,20,12,20,23,0,0,1,1,16,49,56,33,32,45,34,41,53,49,43,45,56,45,44,44,46,58,57,44,44,44,45
CAAQUT,20,20,20,12,20,23,1,1,0,0,16,44,56,33,32,45,34,41,53,49,43,45,56,45,44,44,46,58,57,44,44,44,44
CAARE3,19,19,19,11,19,22,1,1,0,0,15,43,55,32,31,44,33,40,52,48,42,44,55,44,43,43,45,57,56,43,43,43,43
CLL6CH,19,19,19,11,20,21,15,16,16,15,0,46,54,30,30,40,30,35,50,46,40,42,53,41,41,41,43,54,54,40,40,41,42
ERR10438737,50,50,50,37,47,53,45,49,44,43,46,0,43,33,32,40,29,35,47,42,37,39,50,37,38,37,39,51,51,39,37,37,39
ERR10113269,58,58,56,50,57,60,53,56,56,55,54,43,0,30,31,44,32,39,52,47,42,32,55,41,43,42,44,55,55,30,41,41,42
ERR6752971,35,35,35,27,34,38,30,33,33,32,30,33,30,0,1,22,10,17,29,24,19,21,32,20,20,20,21,20,19,20,19,19,21
ERR5751227,34,34,34,26,33,37,29,32,32,31,30,32,31,1,0,21,9,16,28,23,18,20,31,19,19,19,20,19,18,19,18,18,20
ERR9976609,47,47,47,39,42,50,42,45,45,44,40,40,44,22,21,0,12,19,37,32,27,29,40,28,28,28,29,30,29,28,27,27,28
ERR11219800,36,36,36,28,32,39,31,34,34,33,30,29,32,10,9,12,0,7,25,20,15,17,28,16,16,16,17,28,27,16,15,15,16
ERR12142619,43,43,43,35,38,46,37,41,41,40,35,35,39,17,16,19,7,0,32,27,22,24,35,23,23,23,24,35,34,23,22,22,23
ERR11747325,55,55,55,47,53,58,49,53,53,52,50,47,52,29,28,37,25,32,0,5,10,12,29,15,17,17,18,30,29,22,20,20,21
ERR11502778,51,51,51,43,49,54,45,49,49,48,46,42,47,24,23,32,20,27,5,0,5,7,24,10,12,12,13,12,11,17,15,15,16
ERR7197834,45,45,45,37,43,48,39,43,43,42,40,37,42,19,18,27,15,22,10,5,0,2,19,5,7,7,8,20,19,12,10,10,11
ERR9079758,47,47,47,39,45,50,41,45,45,44,42,39,32,21,20,29,17,24,12,7,2,0,21,7,9,9,10,17,16,12,12,12,13
ERR6806255,58,58,58,50,56,61,52,56,56,55,53,50,55,32,31,40,28,35,29,24,19,21,0,20,20,20,21,34,33,25,23,23,24
ERR6805990,47,47,47,39,44,50,41,45,45,44,41,37,41,20,19,28,16,23,15,10,5,7,20,0,8,8,9,21,20,13,11,11,12
ERR6806776,46,46,46,38,44,49,40,44,44,43,41,38,43,20,19,28,16,23,17,12,7,9,20,8,0,0,1,14,13,13,11,11,12
ERR5750995,46,46,46,38,44,49,40,44,44,43,41,37,42,20,19,28,16,23,17,12,7,9,20,8,0,0,1,11,10,13,11,11,12
ERR6806749,48,48,48,40,46,51,42,46,46,45,43,39,44,21,20,29,17,24,18,13,8,10,21,9,1,1,0,5,4,14,12,12,13
ERR6805998,60,60,60,52,57,63,54,58,58,57,54,51,55,20,19,30,28,35,30,12,20,17,34,21,14,11,5,0,1,13,11,11,22
ERR6806833,59,59,59,51,57,62,53,57,57,56,54,51,55,19,18,29,27,34,29,11,19,16,33,20,13,10,4,1,0,12,10,10,21
ERR12080226,46,46,46,38,43,49,40,44,44,43,40,39,30,20,19,28,16,23,22,17,12,12,25,13,13,13,14,13,12,0,2,2,3
ERR12321283,46,46,46,38,44,49,40,44,44,43,40,37,41,19,18,27,15,22,20,15,10,12,23,11,11,11,12,11,10,2,0,0,1
ERR12321282,46,46,46,38,44,49,40,44,44,43,41,37,41,19,18,27,15,22,20,15,10,12,23,11,11,11,12,11,10,2,0,0,1
ERR12067314,47,47,47,38,45,50,41,45,44,43,42,39,42,21,20,28,16,23,21,16,11,13,24,12,12,12,13,22,21,3,1,1,0
