isolate_id,ERR10460483,ERR9785511,ERR10087012,ERR9079768,ERR9822149,ERR9822145,ERR9822146,ERR9785509,ERR10176872,ERR9966389,ERR10460765,ERR10109275,ERR11807704,ERR10109276,ERR9785510,ERR9820422,ERR10880181,ERR10088101,ERR12312688,ERR11201827,ERR12312689,ERR12495485,ERR12312692,ERR10123168,ERR10123167,ERR9966387,ERR10949310,ERR10460875,ERR9966390,ERR10176866,ERR10460687
ERR10460483,0,9,26,67,32,84,72,46,66,45,74,17,39,80,34,83,72,77,88,57,85,44,90,66,50,50,87,42,49,62,44
ERR9785511,9,0,38,79,45,98,86,58,78,57,86,31,47,88,42,97,86,89,102,71,97,56,103,78,62,62,98,56,62,74,57
ERR10087012,26,38,0,0,2,1,0,3,0,0,0,1,4,5,5,1,8,1,7,4,7,7,8,2,3,2,4,2,2,3,1
ERR9079768,67,79,0,0,3,2,1,3,1,0,1,6,5,5,5,1,9,1,8,4,8,7,9,2,3,2,5,2,2,5,2
ERR9822149,32,45,2,3,0,1,1,5,2,2,2,3,6,7,7,3,10,3,9,6,9,9,10,2,3,2,4,2,2,6,4
ERR9822145,84,98,1,2,1,0,0,4,1,1,1,10,5,6,6,2,9,2,8,5,8,8,9,1,2,1,3,1,1,5,3
ERR9822146,72,86,0,1,1,0,0,3,0,0,0,6,4,4,5,0,7,0,6,3,6,7,7,1,2,1,2,1,1,4,1
ERR9785509,46,58,3,3,5,4,3,0,3,3,3,9,7,7,8,3,10,3,9,6,9,10,10,5,6,5,6,5,5,7,5
ERR10176872,66,78,0,1,2,1,0,3,0,0,0,8,4,4,5,0,7,0,6,3,6,7,7,2,3,2,3,2,2,3,1
ERR9966389,45,57,0,0,2,1,0,3,0,0,0,6,4,4,5,0,7,0,6,3,6,7,7,2,3,2,3,2,2,4,2
ERR10460765,74,86,0,1,2,1,0,3,0,0,0,7,4,4,5,0,7,0,6,3,6,7,7,2,3,2,3,2,2,3,1
ERR10109275,17,31,1,6,3,10,6,9,8,6,7,0,5,12,7,9,13,6,15,9,15,8,15,8,8,3,12,8,8,9,6
ERR11807704,39,47,4,5,6,5,4,7,4,4,4,5,0,0,3,4,11,4,10,7,10,11,11,6,7,6,7,6,6,8,6
ERR10109276,80,88,5,5,7,6,4,7,4,4,4,12,0,0,3,4,11,4,10,7,10,11,11,6,7,6,7,6,6,7,5
ERR9785510,34,42,5,5,7,6,5,8,5,5,5,7,3,3,0,5,12,5,11,8,11,12,12,7,8,7,8,7,7,9,7
ERR9820422,83,97,1,1,3,2,0,3,0,0,0,9,4,4,5,0,7,0,6,3,6,7,7,2,3,2,3,2,2,3,1
ERR10880181,72,86,8,9,10,9,7,10,7,7,7,13,11,11,12,7,0,7,13,10,13,14,14,9,10,9,10,9,9,11,9
ERR10088101,77,89,1,1,3,2,0,3,0,0,0,6,4,4,5,0,7,0,6,3,6,7,7,2,3,2,3,2,2,4,2
ERR12312688,88,102,7,8,9,8,6,9,6,6,6,15,10,10,11,6,13,6,0,3,0,1,1,8,9,8,9,8,8,10,8
ERR11201827,57,71,4,4,6,5,3,6,3,3,3,9,7,7,8,3,10,3,3,0,3,4,4,5,6,5,6,5,5,7,5
ERR12312689,85,97,7,8,9,8,6,9,6,6,6,15,10,10,11,6,13,6,0,3,0,1,1,8,9,8,9,8,8,10,8
ERR12495485,44,56,7,7,9,8,7,10,7,7,7,8,11,11,12,7,14,7,1,4,1,0,2,9,10,9,10,9,9,11,9
ERR12312692,90,103,8,9,10,9,7,10,7,7,7,15,11,11,12,7,14,7,1,4,1,2,0,9,10,9,10,9,9,11,9
ERR10123168,66,78,2,2,2,1,1,5,2,2,2,8,6,6,7,2,9,2,8,5,8,9,9,0,1,0,1,0,0,6,4
ERR10123167,50,62,3,3,3,2,2,6,3,3,3,8,7,7,8,3,10,3,9,6,9,10,10,1,0,1,2,1,1,7,5
ERR9966387,50,62,2,2,2,1,1,5,2,2,2,3,6,6,7,2,9,2,8,5,8,9,9,0,1,0,1,0,0,6,4
ERR10949310,87,98,4,5,4,3,2,6,3,3,3,12,7,7,8,3,10,3,9,6,9,10,10,1,2,1,0,1,1,7,5
ERR10460875,42,56,2,2,2,1,1,5,2,2,2,8,6,6,7,2,9,2,8,5,8,9,9,0,1,0,1,0,0,6,4
ERR9966390,49,62,2,2,2,1,1,5,2,2,2,8,6,6,7,2,9,2,8,5,8,9,9,0,1,0,1,0,0,6,4
ERR10176866,62,74,3,5,6,5,4,7,3,4,3,9,8,7,9,3,11,4,10,7,10,11,11,6,7,6,7,6,6,0,4
ERR10460687,44,57,1,2,4,3,1,5,1,2,1,6,6,5,7,1,9,2,8,5,8,9,9,4,5,4,5,4,4,4,0
