row_isolate,column_isolate,legacy_value,validated_matrix_value
CIS15HB1,CIS153C1,0,1
CIS15MR1,CIS153C1,0,1
CIT159B1,CIS153C1,0,1
CIT15EB1,CIS153C1,0,1
CIT15FB1,CIS153C1,0,2
CIT15FH1,CIS153C1,0,1
CIT15GH1,CIS153C1,0,1
CIT15GS1,CIS153C1,0,1
CIU13XS1,CIS153C1,0,1
CIU145B1,CIS153C1,0,1
CIU149H1,CIS153C1,0,1
CIV13PE7,CIS153C1,0,2
CIV13RE2,CIS153C1,0,1
CIV13UE4,CIS153C1,0,1
CIV13VE5,CIS153C1,0,1
CIV13XE2,CIS153C1,0,2
CIV13XE5,CIS153C1,0,1
CIV13XE8,CIS153C1,0,2
CIV13XU1,CIS153C1,0,2
CIV13YE6,CIS153C1,0,1
CIV13YE8,CIS153C1,0,1
CIV140E1,CIS153C1,0,1
CIV140E4,CIS153C1,0,1
CIV140E6,CIS153C1,0,1
CIV140E7,CIS153C1,0,1
CIV140U1,CIS153C1,0,1
CIV141E6,CIS153C1,0,1
CIV142E6,CIS153C1,0,3
CIV143E2,CIS153C1,0,1
CIV143E4,CIS153C1,0,1
CIV143E9,CIS153C1,0,1
CIV143U1,CIS153C1,0,1
CIV144E6,CIS153C1,0,1
CIV144U1,CIS153C1,0,2
CIV146E8,CIS153C1,0,1
CIV147E3,CIS153C1,0,1
CLL3JA,CIS153C1,0,6
CLL6CH,CIS153C1,0,15
