isolate_id,lineage
44341_3_304,5
44341_3_305,5
44341_3_281,5
CIV13XE8,5
44341_3_128,5
44341_3_131,5
44341_3_136,5
CIV13PE7,5
CIT159B1,5
CIT15EB1,5
CIS153C1,5
CIV147E3,5
CIT15FH1,5
CIV143E2,5
CIU145B1,5
44341_3_310,5
CIV13XE2,5
44341_4_275,5
CIT15FB1,5
CIV13XU1,5
CIV142E6,5
CIV143U1,5
CIV143E9,5
CNS1F3,5
CAAYSI,5
CIT15GS1,5
CIV13RE2,5
CIV141E6,5
CIS15HB1,5
CIV140U1,5
CIV140E4,5
CIV140E7,5
CAAXQV,5
CIV13UE4,5
CIS15MR1,5
CIV13YE6,5
CIV143E4,5
CIV13XE5,5
CIT15GH1,5
CIV140E1,5
CIV140E6,5
CIU13XS1,5
CIV146E8,5
CIU149H1,5
CIV144E6,5
CIV13VE5,5
CIV13YE8,5
CIV144U1,5
CNSP0U,5
CNSKFP,5
CNSLL4,5
ERR9941258,5
ERR9929342,5
ERR9966382,5
CLL3JA,5
CNS7YP,5
BKRRIF,5
CNS6QU,5
44341_3_96,5
44341_3_21,5
BKRMVD,5
CAAYDF,5
CAAXBN,5
44341_3_165,5
44341_3_262,5
44341_3_265,5
44341_4_286,5
44341_3_268,5
44341_3_280,5
CAAP2A,5
CNSFP4,5
CNSDXZ,5
CAAQXB,5
CAAR9T,5
CAAQUT,5
CAARE3,5
CLL6CH,5
ERR10438737,5
ERR10113269,5
ERR6752971,5
ERR5751227,5
ERR9976609,5
ERR11219800,5
ERR12142619,5
ERR11747325,5
ERR11502778,5
ERR7197834,5
ERR9079758,5
ERR6806255,5
ERR6805990,5
ERR6806776,5
ERR5750995,5
ERR6806749,5
ERR6805998,5
ERR6806833,5
ERR12080226,5
ERR12321283,5
ERR12321282,5
ERR12067314,5
ERR12321281,5
ERR12142634,5
ERR6753111,5
ERR6806796,5
ERR6806789,5
ERR9971918,5
ERR7197741,5
ERR5751808,5
ERR12321280,5
ERR9692774,5
ERR6752863,5
SRR9273829,5
ERR9079830,5
ERR10880116,5
ERR5751304,5
ERR6806714,5
ERR5751296,5
ERR4451427,5
ERR6806125,5
ERR6806317,5
ERR12067371,5
ERR6806075,5
ERR10176870,5
ERR10460856,5
ERR10460902,5
ERR6806726,5
ERR12078572,5
ERR11747320,5
ERR12495482,5
ERR5751726,5
ERR6806512,5
ERR9924209,5
ERR10460483,4
ERR9785511,4
ERR10087012,4
ERR9079768,4
ERR9822149,4
ERR9822145,4
ERR9822146,4
ERR9785509,4
ERR10176872,4
ERR9966389,4
ERR10460765,4
ERR10109275,4
ERR11807704,4
ERR10109276,4
ERR9785510,4
ERR9820422,4
ERR10880181,4
ERR10088101,4
ERR12312688,4
ERR11201827,4
ERR12312689,4
ERR12495485,4
ERR12312692,4
ERR10123168,4
ERR10123167,4
ERR9966387,4
ERR10949310,4
ERR10460875,4
ERR9966390,4
ERR10176866,4
ERR10460687,4
ERR12078573,4
ERR9785512,4
ERR12165616,4
ERR10460887,4
ERR10880335,4
ERR10880156,4
ERR10880377,4
ERR10088105,4
ERR12321284,4
ERR9966388,4
ERR10026000,4
ERR9822144,4
ERR10088104,4
ERR10088102,4
ERR9822151,4
ERR10109255,4
ERR11810274,4
ERR9966386,4
ERR12259395,4
ERR12091513,4
ERR10125140,4
ERR10949303,4
ERR10109277,4
ERR10087013,4
ERR12146144,4
ERR11219811,4
ERR11420238,4
ERR11437918,4
ERR11807709,4
ERR10880183,4
ERR10880311,4
ERR10109274,4
ERR12552381,4
ERR12552377,4
ERR11896635,4
ERR9079508,4
ERR9420153,4
ERR10117717,4
ERR6806600,4
ERR7197757,4
ERR6806028,4
ERR9288082,4
ERR11455881,4
ERR6806632,4
ERR4451478,4
ERR12302226,4
ERR12552384,4
ERR12067334,4
ERR10880424,4
ERR10123158,4
ERR10176869,4
ERR10880230,4
ERR11453719,4
ERR10880157,4
ERR11872767,4
ERR6752889,4
ERR9288143,4
ERR5751308,4
ERR4399358,4
ERR4399957,4
ERR4399362,4
SRR13833609,4
SRR13719289,1
SRR13719614,1
SRR13313312,1
SRR13313295,1
SRR13719196,1
SRR13277434,1
SRR13277416,1
SRR13277412,1
SRR13311773,1
SRR13313309,1
SRR27481822,1
SRR27481651,1
SRR27481649,1
SRR27481520,1
SRR27481815,1
SRR7130368,1
SRR7130370,1
SRR7130371,1
SRR13312061,1
SRR7130369,1
ERR4400834,1
ERR4338896,1
ERR4338560,1
SRR1106479,1
ERR3581536,1
SRR8369293,1
SRR7842526,1
SRR8297279,1
SRR7850690,1
SRR7884719,1
SRR8350305,1
SRR15853458,1
SRR21224019,1
SRR20212638,1
SRR8706049,1
SRR16227977,1
ERR4399344,1
SRR7841631,1
SRR22691594,1
SRR16301618,1
ERR10109287,1
ERR9680890,1
SRR14921286,3
SRR28295566,3
ERR4145363,3
ERR4145392,3
ERR4145410,3
ERR4145345,3
SRR8325561,3
SRR8293522,3
ERR4145388,3
ERR4145353,3
SRR10326268,3
SRR9627787,3
SRR27762886,3
SRR10992537,3
SRR1646109,3
SRR7427053,3
SRR8503644,3
SRR7457932,3
SRR2917137,2
SRR2917139,2
SRR3137069,2
SRR6107195,2
SRR2917138,2
SRR2917136,2
SRR5084265,2
SRR5121494,2
SRR3001933,2
SRR5121497,2
SRR2917140,2
ERR10368770,2
ERR160996,2
SRR5056398,2
ERR3635287,2
SRR22175068,2
SRR21787058,2
SRR21787324,2
SRR26858817,2
SRR27185117,2
SRR21535455,2
SRR21535466,2
SRR26050334,2
SRR5379276,2
SRR6457657,2
SRR14360286,2
SRR8137438,2
ERR3635266,2
SRR1973602,2
SRR3002514,2
SRR7467291,2
ERR4400884,2
ERR4399363,2
ERR4401298,2
ERR4400265,2
ERR4401598,2
ERR4401297,2
ERR4401299,2
ERR6806710,2
SRR952929,2
SRR7292863,2
SRR1966891,2
SRR1967735,2
