isolate_id,source_isolate_id,run_accession,sample_accession,country,source_type,source_detail,invasive,year,lineage,sequence_type,clonal_complex,source_group,in_CC25_tree,in_ST335_tree,CC25_order,ST335_order,experiment_accession,accession_basis,XDR_genomic_profile,MDR_genomic_profile,CARB_R_genomic_marker,MAC_R_genomic_marker,genomic_determinants,AMRFinder_class_count,filtered_determinant_count,phenotyped_Kenneth,XDR_phenotype,CC25_panel,ST335_panel,plot_label
BKRRJK,BKRRJK_S5_L001,ERR16714671,ERS29128476,Malawi,Human,CSF,Yes,2021,Other,Other,Other,QECH clinical,0,0,,,ERX16105636,Supplied isolate accession workbook,1,1,0,0,blaOXA-1; blaOXA-10; cmlA5; floR; dfrA23; blaCTX-M-15; qnrB1; tet(A); sul1; sul2; aac(3)-IIe; aac(6')-Ib-cr5; aadA1; aph(3'')-Ib; aph(6)-Id; arr-2; qacEdelta1,10,17,0,Other,Other,Other,BKRRJK | ERR16714671
CAAQIG,CAAQIG_S25_L001,ERR16714673,ERS29128478,Malawi,Human,Blood culture,Yes,2019,Other,Other,Other,QECH clinical,0,0,,,ERX16105638,Supplied isolate accession workbook,1,1,0,0,blaOXA-1; blaOXA-10; cmlA5; dfrA23; blaCTX-M-15; qnrB; tet(A); sul1; sul2; aac(3)-IIe; aac(6')-Ib-cr5; aadA1; aph(3'')-Ib; aph(6)-Id; arr-2; qacEdelta1,10,16,0,Other,Other,Other,CAAQIG | ERR16714673
CAAS99,CAAS99_S6_L001,ERR16714678,ERS29128483,Malawi,Human,Blood culture,Yes,2019,Other,Other,Other,QECH clinical,0,0,,,ERX16105643,Supplied isolate accession workbook,1,1,0,0,blaOXA-1; blaOXA-10; cmlA5; dfrA23; blaCTX-M-15; qnrB1; sul1; sul2; aac(3)-IIe; aac(6')-Ib-cr; aadA1; aph(3'')-Ib; aph(6)-Id; arr-2; qacEdelta1,10,15,0,Other,Other,Other,CAAS99 | ERR16714678
CAAYM5,CAAYM5_S24_L001,ERR16714682,ERS29128487,Malawi,Human,Blood culture,Yes,2020,Other,Other,Other,QECH clinical,0,0,,,ERX16105647,Supplied isolate accession workbook,1,1,0,0,blaOXA-1; blaOXA-10; cmlA5; floR; dfrA23; blaCTX-M-15; qnrB1; tet(A); sul1; sul2; aac(3)-IIe; aac(6')-Ib-cr; aadA1; aph(3'')-Ib; aph(6)-Id; arr-2; qacEdelta1,10,17,0,Other,Other,Other,CAAYM5 | ERR16714682
CNS4NS,CNS4NS_S4_L001,ERR16714724,ERS29128529,Malawi,Human,Blood culture,Yes,2020,Other,Other,Other,QECH clinical,0,0,,,ERX16105689,Supplied isolate accession workbook,1,1,0,0,blaOXA-1; blaOXA-10; cmlA5; floR; dfrA23; blaCTX-M-15; qnrB1; sul1; sul2; aac(3)-IIe; aac(6')-Ib-cr5; aadA1; aph(3'')-Ib; aph(6)-Id; arr-2; qacEdelta1,9,16,0,Other,Other,Other,CNS4NS | ERR16714724
CNSNZ2,CNSNZ2_S22_L001,ERR16714731,ERS29128536,Malawi,Human,Blood culture,Yes,2022,Other,Other,Other,QECH clinical,0,0,,,ERX16105696,Supplied isolate accession workbook,1,1,0,0,blaOXA-10; cmlA5; floR; dfrA23; blaCTX-M-15; qnrB1; tet(A); sul1; sul2; aac(3)-IIe; aadA1; aph(3'')-Ib; aph(6)-Id; arr-2; qacEdelta1,9,15,0,Other,Other,Other,CNSNZ2 | ERR16714731
ERR4401589,ERR4401589,ERR4401589,ERS4875628,Ireland,Human,Stool,No,2005,Other,1994,401,Other,0,0,,,,Supplied isolate accession workbook,0,0,0,0,,0,0,0,Other,Other,Other,ERR4401589
SRR1106363,SRR1106363,SRR1106363,SRS528822,Other,Other,Other,No,Other,Other,3390,Other,Other,0,0,,,,Supplied isolate accession workbook,0,0,0,0,,0,0,0,Other,Other,Other,SRR1106363
SRR1643104,SRR1643104,SRR1643104,SRS738464,United Kingdom,Human,Unspecified - human,No,2012,Other,1994,401,Other,0,0,,,,Supplied isolate accession workbook,0,0,0,0,,0,0,0,Other,Other,Other,SRR1643104
SRR1810522,SRR1810522,SRR1810522,SRS850547,Indonesia,Fish,"snapper fillet - frozen, malabar",No,2009,Other,1994,401,Other,0,0,,,,Supplied isolate accession workbook,0,0,0,0,,0,0,0,Other,Other,Other,SRR1810522
