isolate_id,sequence_type,country,source,year,lineage,amr_count,run_accession,plot_label,original_tree_tip
CNSP0U,335,Malawi,QECH clinical isolate,2023,5,9,ERR16714732,CNSP0U | ERR16714732,CNSP0U_S18_L001
ERR9929342,335,South Africa,,2022,5,10,ERR9929342,ERR9929342,ERR9929342
ERR9966382,335,South Africa,,2022,5,10,ERR9966382,ERR9966382,ERR9966382
CNS6QU,335,Malawi,QECH clinical isolate,2020,5,10,ERR16714725,CNS6QU | ERR16714725,CNS6QU_S4_L001
CNS7YP,335,Malawi,QECH clinical isolate,2021,5,10,ERR16714726,CNS7YP | ERR16714726,CNS7YP_S5_L001
BKRRIF,335,Malawi,QECH clinical isolate,2021,5,10,ERR16714670,BKRRIF | ERR16714670,BKRRIF_S2_L001
44341_3_96,335,Malawi,Malawi water sample,2020,5,9,ERR16714666,44341_3_96 | ERR16714666,44341_3_96
44341_3_21,335,Malawi,Malawi water sample,2020,5,10,ERR16714657,44341_3_21 | ERR16714657,44341_3_21
CIV13VE5,335,Malawi,Chatinkha nursery,2020,5,10,ERR16714699,CIV13VE5 | ERR16714699,CIV13VE5_S21_L001
CIU149H1,335,Malawi,Chatinkha nursery,2020,5,10,ERR16714695,CIU149H1 | ERR16714695,CIU149H1_S7_L001
CIV146E8,335,Malawi,Chatinkha nursery,2020,5,10,ERR16714719,CIV146E8 | ERR16714719,CIV146E8_S25_L001
CIU13XS1,335,Malawi,Chatinkha nursery,2020,5,10,ERR16714693,CIU13XS1 | ERR16714693,CIU13XS1_S15_L001
CIV140E6,335,Malawi,Chatinkha nursery,2020,5,10,ERR16714708,CIV140E6 | ERR16714708,CIV140E6_S2_L001
CIV140E1,335,Malawi,Chatinkha nursery,2020,5,10,ERR16714706,CIV140E1 | ERR16714706,CIV140E1_S30_L001
CIT15GH1,335,Malawi,Chatinkha nursery,2020,5,10,ERR16714691,CIT15GH1 | ERR16714691,CIT15GH1_S36_L001
CIV13XE5,335,Malawi,Chatinkha nursery,2020,5,10,ERR16714701,CIV13XE5 | ERR16714701,CIV13XE5_S19_L001
CIV13YE6,335,Malawi,Chatinkha nursery,2020,5,10,ERR16714704,CIV13YE6 | ERR16714704,CIV13YE6_S9_L001
CIS15MR1,335,Malawi,Chatinkha nursery,2020,5,10,ERR16714686,CIS15MR1 | ERR16714686,CIS15MR1_S17_L001
CIV13UE4,335,Malawi,Chatinkha nursery,2020,5,10,ERR16714698,CIV13UE4 | ERR16714698,CIV13UE4_S38_L001
CAAXQV,335,Malawi,QECH clinical isolate,2020,5,10,ERR16714680,CAAXQV | ERR16714680,CAAXQV_S11_L001
CIV140E7,335,Malawi,Chatinkha nursery,2020,5,10,ERR16714709,CIV140E7 | ERR16714709,CIV140E7_S24_L001
CIS15HB1,335,Malawi,Chatinkha nursery,2020,5,10,ERR16714685,CIS15HB1 | ERR16714685,CIS15HB1_S39_L001
CIV13RE2,335,Malawi,Chatinkha nursery,2020,5,10,ERR16714697,CIV13RE2 | ERR16714697,CIV13RE2_S11_L001
CIT15GS1,335,Malawi,Chatinkha nursery,2020,5,10,ERR16714692,CIT15GS1 | ERR16714692,CIT15GS1_S23_L001
CIV142E6,335,Malawi,Chatinkha nursery,2020,5,10,ERR16714712,CIV142E6 | ERR16714712,CIV142E6_S29_L001
44341_4_275,335,Malawi,Malawi water sample,2020,5,10,ERR16714667,44341_4_275 | ERR16714667,44341_4_275
44341_3_310,335,Malawi,Malawi water sample,2020,5,10,ERR16714665,44341_3_310 | ERR16714665,44341_3_310
CIU145B1,335,Malawi,Chatinkha nursery,2020,5,10,ERR16714694,CIU145B1 | ERR16714694,CIU145B1_S13_L001
CIV143E2,335,Malawi,Chatinkha nursery,2020,5,10,ERR16714713,CIV143E2 | ERR16714713,CIV143E2_S28_L001
CIT15FH1,335,Malawi,Chatinkha nursery,2020,5,10,ERR16714690,CIT15FH1 | ERR16714690,CIT15FH1_S5_L001
CIV147E3,335,Malawi,Chatinkha nursery,2020,5,10,ERR16714720,CIV147E3 | ERR16714720,CIV147E3_S35_L001
CIT15EB1,335,Malawi,Chatinkha nursery,2020,5,10,ERR16714688,CIT15EB1 | ERR16714688,CIT15EB1_S3_L001
CIV13PE7,335,Malawi,Chatinkha nursery,2020,5,10,ERR16714696,CIV13PE7 | ERR16714696,CIV13PE7_S12_L001
CIV13XE8,335,Malawi,Chatinkha nursery,2020,5,10,ERR16714702,CIV13XE8 | ERR16714702,CIV13XE8_S20_L001
44341_3_304,335,Malawi,Malawi water sample,2020,5,10,ERR16714663,44341_3_304 | ERR16714663,44341_3_304
44341_3_305,335,Malawi,Malawi water sample,2020,5,10,ERR16714664,44341_3_305 | ERR16714664,44341_3_305
44341_3_281,335,Malawi,Malawi water sample,2020,5,10,ERR16714662,44341_3_281 | ERR16714662,44341_3_281
44341_3_136,335,Malawi,Malawi water sample,2020,5,10,ERR16714655,44341_3_136 | ERR16714655,44341_3_136
44341_3_128,335,Malawi,Malawi water sample,2020,5,10,ERR16714653,44341_3_128 | ERR16714653,44341_3_128
44341_3_131,335,Malawi,Malawi water sample,2020,5,10,ERR16714654,44341_3_131 | ERR16714654,44341_3_131
CIT159B1,335,Malawi,Chatinkha nursery,2020,5,10,ERR16714687,CIT159B1 | ERR16714687,CIT159B1_S40_L001
CIS153C1,335,Malawi,Chatinkha nursery,2020,5,10,ERR16714684,CIS153C1 | ERR16714684,CIS153C1_S4_L001
CIV13XE2,335,Malawi,Chatinkha nursery,2020,5,10,ERR16714700,CIV13XE2 | ERR16714700,CIV13XE2_S6_L001
CIT15FB1,335,Malawi,Chatinkha nursery,2020,5,10,ERR16714689,CIT15FB1 | ERR16714689,CIT15FB1_S1_L001
CIV13XU1,335,Malawi,Chatinkha nursery,2020,5,10,ERR16714703,CIV13XU1 | ERR16714703,CIV13XU1_S18_L001
CIV143U1,335,Malawi,Chatinkha nursery,2020,5,10,ERR16714716,CIV143U1 | ERR16714716,CIV143U1_S32_L001
CIV143E9,335,Malawi,Chatinkha nursery,2020,5,10,ERR16714715,CIV143E9 | ERR16714715,CIV143E9_S8_L001
CNS1F3,335,Malawi,QECH clinical isolate,2020,5,10,ERR16714723,CNS1F3 | ERR16714723,CNS1F3_S9_L001
CAAYSI,335,Malawi,QECH clinical isolate,2020,5,10,ERR16714683,CAAYSI | ERR16714683,CAAYSI_S8_L001
CIV141E6,335,Malawi,Chatinkha nursery,2020,5,10,ERR16714711,CIV141E6 | ERR16714711,CIV141E6_S16_L001
CIV140U1,335,Malawi,Chatinkha nursery,2020,5,10,ERR16714710,CIV140U1 | ERR16714710,CIV140U1_S14_L001
CIV140E4,335,Malawi,Chatinkha nursery,2020,5,10,ERR16714707,CIV140E4 | ERR16714707,CIV140E4_S26_L001
CIV143E4,335,Malawi,Chatinkha nursery,2020,5,10,ERR16714714,CIV143E4 | ERR16714714,CIV143E4_S31_L001
CIV144E6,335,Malawi,Chatinkha nursery,2020,5,10,ERR16714717,CIV144E6 | ERR16714717,CIV144E6_S33_L001
CIV13YE8,335,Malawi,Chatinkha nursery,2020,5,10,ERR16714705,CIV13YE8 | ERR16714705,CIV13YE8_S22_L001
CIV144U1,335,Malawi,Chatinkha nursery,2020,5,10,ERR16714718,CIV144U1 | ERR16714718,CIV144U1_S34_L001
BKRMVD,335,Malawi,QECH clinical isolate,2020,5,10,ERR16714669,BKRMVD | ERR16714669,BKRMVD_S15_L001
CAAXBN,335,Malawi,QECH clinical isolate,2019,5,10,ERR16714679,CAAXBN | ERR16714679,CAAXBN_S10_L001
44341_3_165,335,Malawi,Malawi water sample,2020,5,10,ERR16714656,44341_3_165 | ERR16714656,44341_3_165
ERR10113269,335,South Africa,,2022,5,9,ERR10113269,ERR10113269,ERR10113269
ERR6752971,335,South Africa,,2020,5,11,ERR6752971,ERR6752971,ERR6752971
ERR5751227,335,South Africa,,2020,5,11,ERR5751227,ERR5751227,ERR5751227
ERR12142619,335,South Africa,,2023,5,11,ERR12142619,ERR12142619,ERR12142619
ERR9976609,335,South Africa,,2021,5,11,ERR9976609,ERR9976609,ERR9976609
ERR11219800,335,South Africa,,2022,5,11,ERR11219800,ERR11219800,ERR11219800
ERR9079830,335,South Africa,,2021,5,10,ERR9079830,ERR9079830,ERR9079830
ERR10880116,335,South Africa,,2022,5,10,ERR10880116,ERR10880116,ERR10880116
ERR5751304,335,South Africa,,2020,5,9,ERR5751304,ERR5751304,ERR5751304
ERR6806714,335,South Africa,,2020,5,9,ERR6806714,ERR6806714,ERR6806714
ERR11872767,335,South Africa,,2023,4,11,ERR11872767,ERR11872767,ERR11872767
ERR10176869,335,South Africa,,2022,4,11,ERR10176869,ERR10176869,ERR10176869
ERR10880230,335,South Africa,,2022,4,11,ERR10880230,ERR10880230,ERR10880230
ERR11453719,335,South Africa,,2022,4,10,ERR11453719,ERR11453719,ERR11453719
ERR10880157,335,South Africa,,2022,4,10,ERR10880157,ERR10880157,ERR10880157
ERR6752889,335,South Africa,,2020,4,11,ERR6752889,ERR6752889,ERR6752889
ERR9288143,335,South Africa,,2021,4,11,ERR9288143,ERR9288143,ERR9288143
ERR6806632,335,South Africa,,2021,4,8,ERR6806632,ERR6806632,ERR6806632
ERR9288082,335,South Africa,,2021,4,9,ERR9288082,ERR9288082,ERR9288082
ERR6806600,335,South Africa,,2021,4,9,ERR6806600,ERR6806600,ERR6806600
ERR9420153,335,South Africa,,2021,4,9,ERR9420153,ERR9420153,ERR9420153
ERR10117717,335,South Africa,,2021,4,9,ERR10117717,ERR10117717,ERR10117717
ERR10109274,335,South Africa,Eastern Cape Outbreak,2022,4,10,ERR10109274,ERR10109274,ERR10109274
ERR10880183,335,South Africa,,2022,4,9,ERR10880183,ERR10880183,ERR10880183
ERR10880311,335,South Africa,,2022,4,9,ERR10880311,ERR10880311,ERR10880311
ERR11420238,335,South Africa,,2022,4,10,ERR11420238,ERR11420238,ERR11420238
ERR11437918,335,South Africa,,2023,4,10,ERR11437918,ERR11437918,ERR11437918
ERR11807709,335,South Africa,,2023,4,10,ERR11807709,ERR11807709,ERR11807709
ERR12146144,335,South Africa,,2023,4,10,ERR12146144,ERR12146144,ERR12146144
ERR10109277,335,South Africa,Eastern Cape Outbreak,2022,4,10,ERR10109277,ERR10109277,ERR10109277
ERR10087013,335,South Africa,Eastern Cape Outbreak,2022,4,10,ERR10087013,ERR10087013,ERR10087013
ERR11219811,335,South Africa,,2022,4,10,ERR11219811,ERR11219811,ERR11219811
ERR9966386,335,South Africa,Eastern Cape Outbreak,2022,4,10,ERR9966386,ERR9966386,ERR9966386
ERR12259395,335,South Africa,,2023,4,10,ERR12259395,ERR12259395,ERR12259395
ERR12091513,335,South Africa,,2023,4,10,ERR12091513,ERR12091513,ERR12091513
ERR10125140,335,South Africa,Eastern Cape Outbreak,2022,4,9,ERR10125140,ERR10125140,ERR10125140
ERR10949303,335,South Africa,,2022,4,10,ERR10949303,ERR10949303,ERR10949303
ERR11810274,335,South Africa,,2023,4,10,ERR11810274,ERR11810274,ERR11810274
ERR9785512,335,South Africa,Eastern Cape Outbreak,2022,4,10,ERR9785512,ERR9785512,ERR9785512
ERR10176866,335,South Africa,Eastern Cape Outbreak,2022,4,10,ERR10176866,ERR10176866,ERR10176866
ERR10460687,335,South Africa,Eastern Cape Outbreak,2022,4,10,ERR10460687,ERR10460687,ERR10460687
ERR12078573,335,South Africa,,2023,4,10,ERR12078573,ERR12078573,ERR12078573
ERR12165616,335,South Africa,,2023,4,10,ERR12165616,ERR12165616,ERR12165616
ERR10880377,335,South Africa,,2022,4,8,ERR10880377,ERR10880377,ERR10880377
ERR10460887,335,South Africa,Eastern Cape Outbreak,2022,4,8,ERR10460887,ERR10460887,ERR10460887
ERR10880335,335,South Africa,,2022,4,8,ERR10880335,ERR10880335,ERR10880335
ERR10880156,335,South Africa,,2022,4,8,ERR10880156,ERR10880156,ERR10880156
ERR10088105,335,South Africa,Eastern Cape Outbreak,2022,4,10,ERR10088105,ERR10088105,ERR10088105
