isolate_id,ERR4338896,ERR4338560,SRR1106479,ERR3581536,SRR8369293,SRR7842526,SRR8297279,SRR7850690,SRR7884719,SRR8350305,SRR15853458,SRR21224019,SRR20212638,SRR8706049,SRR16227977,ERR4399344,SRR7841631,SRR22691594,SRR16301618,ERR10109287,ERR9680890
ERR4338896,0,17,7,181,181,93,93,94,92,95,103,102,151,99,109,108,122,109,142,966,971
ERR4338560,17,0,15,143,144,92,92,93,92,94,104,101,124,106,115,109,123,120,105,943,944
SRR1106479,7,15,0,181,179,93,91,90,92,91,99,99,149,94,106,109,120,107,139,967,972
ERR3581536,181,143,181,0,28,139,139,138,139,139,148,192,298,284,294,163,174,312,152,1049,1049
SRR8369293,181,144,179,28,0,136,139,137,137,136,146,183,290,278,285,156,168,309,150,1041,1043
SRR7842526,93,92,93,139,136,0,2,1,1,0,36,33,95,80,85,83,93,91,77,913,916
SRR8297279,93,92,91,139,139,2,0,1,1,2,36,33,95,79,87,83,93,93,78,910,912
SRR7850690,94,93,90,138,137,1,1,0,0,1,35,33,97,78,86,82,92,92,76,911,914
SRR7884719,92,92,92,139,137,1,1,0,0,1,35,32,96,80,87,82,93,94,76,912,912
SRR8350305,95,94,91,139,136,0,2,1,1,0,36,33,97,79,85,84,93,89,77,913,915
SRR15853458,103,104,99,148,146,36,36,35,35,36,0,43,107,87,98,92,104,102,87,928,930
SRR21224019,102,101,99,192,183,33,33,33,32,33,43,0,134,124,132,90,101,137,84,926,927
SRR20212638,151,124,149,298,290,95,95,97,96,97,107,134,0,207,210,120,137,261,122,1001,1002
SRR8706049,99,106,94,284,278,80,79,78,80,79,87,124,207,0,10,51,64,141,128,972,977
SRR16227977,109,115,106,294,285,85,87,86,87,85,98,132,210,10,0,62,75,153,137,991,993
ERR4399344,108,109,109,163,156,83,83,82,82,84,92,90,120,51,62,0,19,102,96,936,939
SRR7841631,122,123,120,174,168,93,93,92,93,93,104,101,137,64,75,19,0,118,105,947,949
SRR22691594,109,120,107,312,309,91,93,92,94,89,102,137,261,141,153,102,118,0,141,982,988
SRR16301618,142,105,139,152,150,77,78,76,76,77,87,84,122,128,137,96,105,141,0,966,970
ERR10109287,966,943,967,1049,1041,913,910,911,912,913,928,926,1001,972,991,936,947,982,966,0,49
ERR9680890,971,944,972,1049,1043,916,912,914,912,915,930,927,1002,977,993,939,949,988,970,49,0
