isolate_id,ERR12321281,ERR12142634,ERR6753111,ERR6806796,ERR6806789,ERR9971918,ERR7197741,ERR5751808,ERR12321280,ERR9692774,ERR6752863,SRR9273829,ERR9079830,ERR10880116,ERR5751304,ERR6806714,ERR5751296,ERR4451427,ERR6806125,ERR6806317,ERR12067371,ERR6806075,ERR10176870,ERR10460856,ERR10460902,ERR6806726,ERR12078572,ERR11747320,ERR12495482,ERR5751726,ERR6806512,ERR9924209
ERR12321281,0,12,28,29,26,23,34,35,164,171,157,49,47,43,78,39,42,42,42,332,130,195,112,113,113,124,115,112,112,100,100,201
ERR12142634,12,0,30,31,26,23,34,35,166,173,159,49,49,45,78,39,42,42,42,333,132,183,100,101,101,124,103,100,100,88,88,189
ERR6753111,28,30,0,5,14,11,25,26,41,39,33,37,33,29,72,33,35,35,35,295,89,179,95,97,97,118,92,89,89,84,84,179
ERR6806796,29,31,5,0,15,12,26,27,45,43,37,38,34,30,73,34,36,36,36,297,90,184,101,102,102,119,100,97,97,89,89,187
ERR6806789,26,26,14,15,0,5,24,25,155,162,148,39,39,35,68,29,32,32,32,324,122,210,127,128,128,114,130,127,127,115,115,216
ERR9971918,23,23,11,12,5,0,21,22,147,154,140,36,36,32,65,26,29,29,29,320,119,217,134,135,135,111,131,128,128,122,122,217
ERR7197741,34,34,25,26,24,21,0,3,151,159,145,36,34,31,63,26,31,31,31,127,120,244,153,154,154,110,167,164,164,151,152,252
ERR5751808,35,35,26,27,25,22,3,0,152,160,146,37,35,32,64,27,32,32,32,128,121,245,153,155,155,111,168,165,165,152,153,253
ERR12321280,164,166,41,45,155,147,151,152,0,16,15,40,57,51,194,159,152,160,149,162,154,375,283,284,283,237,269,266,266,270,269,335
ERR9692774,171,173,39,43,162,154,159,160,16,0,9,33,54,49,202,165,158,166,155,157,150,384,292,293,292,246,277,274,274,278,276,335
ERR6752863,157,159,33,37,148,140,145,146,15,9,0,32,49,44,189,153,146,153,142,148,141,370,277,279,278,232,263,260,260,265,263,329
SRR9273829,49,49,37,38,39,36,36,37,40,33,32,0,43,40,80,41,42,42,42,301,101,258,176,177,177,121,178,175,175,164,165,205
ERR9079830,47,49,33,34,39,36,34,35,57,54,49,43,0,15,65,26,33,33,33,292,88,246,163,164,164,112,170,167,167,155,154,257
ERR10880116,43,45,29,30,35,32,31,32,51,49,44,40,15,0,62,23,28,28,28,288,83,242,159,160,160,108,166,163,163,151,150,253
ERR5751304,78,78,72,73,68,65,63,64,194,202,189,80,65,62,0,39,51,59,63,85,77,273,182,184,184,122,166,162,163,183,184,189
ERR6806714,39,39,33,34,29,26,26,27,159,165,153,41,26,23,39,0,24,24,24,290,89,237,154,155,155,103,162,159,159,146,147,248
ERR5751296,42,42,35,36,32,29,31,32,152,158,146,42,33,28,51,24,0,0,0,289,88,191,107,109,109,105,104,101,101,96,97,189
ERR4451427,42,42,35,36,32,29,31,32,160,166,153,42,33,28,59,24,0,0,0,301,101,195,112,113,113,105,114,111,111,100,101,199
ERR6806125,42,42,35,36,32,29,31,32,149,155,142,42,33,28,63,24,0,0,0,311,111,166,83,84,84,105,72,69,69,71,72,158
ERR6806317,332,333,295,297,324,320,127,128,162,157,148,301,292,288,85,290,289,301,311,0,234,321,256,258,258,201,401,397,398,239,436,409
ERR12067371,130,132,89,90,122,119,120,121,154,150,141,101,88,83,77,89,88,101,111,234,0,304,221,222,222,196,177,174,174,210,211,188
ERR6806075,195,183,179,184,210,217,244,245,375,384,370,258,246,242,273,237,191,195,166,321,304,0,93,93,94,187,134,133,133,124,122,224
ERR10176870,112,100,95,101,127,134,153,153,283,292,277,176,163,159,182,154,107,112,83,256,221,93,0,1,2,95,52,51,51,32,38,140
ERR10460856,113,101,97,102,128,135,154,155,284,293,279,177,164,160,184,155,109,113,84,258,222,93,1,0,1,94,51,50,50,31,37,139
ERR10460902,113,101,97,102,128,135,154,155,283,292,278,177,164,160,184,155,109,113,84,258,222,94,2,1,0,95,51,50,50,32,38,139
ERR6806726,124,124,118,119,114,111,110,111,237,246,232,121,112,108,122,103,105,105,105,201,196,187,95,94,95,0,115,114,114,103,101,203
ERR12078572,115,103,92,100,130,131,167,168,269,277,263,178,170,166,166,162,104,114,72,401,177,134,52,51,51,115,0,2,0,33,26,24
ERR11747320,112,100,89,97,127,128,164,165,266,274,260,175,167,163,162,159,101,111,69,397,174,133,51,50,50,114,2,0,2,32,26,24
ERR12495482,112,100,89,97,127,128,164,165,266,274,260,175,167,163,163,159,101,111,69,398,174,133,51,50,50,114,0,2,0,32,25,23
ERR5751726,100,88,84,89,115,122,151,152,270,278,265,164,155,151,183,146,96,100,71,239,210,124,32,31,32,103,33,32,32,0,18,121
ERR6806512,100,88,84,89,115,122,152,153,269,276,263,165,154,150,184,147,97,101,72,436,211,122,38,37,38,101,26,26,25,18,0,115
ERR9924209,201,189,179,187,216,217,252,253,335,335,329,205,257,253,189,248,189,199,158,409,188,224,140,139,139,203,24,24,23,121,115,0
