isolate_id,ERR10460483,ERR9785511,ERR10087012,ERR9822149,ERR9822145,ERR9822146,ERR9785509,ERR10176872,ERR9966389,ERR10460765,ERR10109275,ERR10109276,ERR9785510,ERR9820422,ERR10088101,ERR10123168,ERR10123167,ERR9966387,ERR10460875,ERR9966390,ERR10176866,ERR10460687,ERR9785512,ERR10460887,ERR10088105,ERR9966388,ERR10026000,ERR9822144,ERR10088104,ERR10088102,ERR9822151,ERR10109255,ERR9966386,ERR10125140,ERR10109277,ERR10087013,ERR10109274
ERR10460483,0,9,26,32,84,72,46,66,45,74,17,80,34,83,77,66,50,50,42,49,62,44,32,87,62,63,94,32,70,60,74,94,48,53,71,53,66
ERR9785511,9,0,38,45,98,86,58,78,57,86,31,88,42,97,89,78,62,62,56,62,74,57,44,101,74,77,108,35,82,74,88,108,64,69,87,69,82
ERR10087012,26,38,0,2,1,0,3,0,0,0,1,5,5,1,1,2,3,2,2,2,3,1,1,5,1,0,17,7,7,7,8,11,1,1,1,2,5
ERR9822149,32,45,2,0,1,1,5,2,2,2,3,7,7,3,3,2,3,2,2,2,6,4,3,7,3,2,21,9,9,9,10,13,4,4,5,6,8
ERR9822145,84,98,1,1,0,0,4,1,1,1,10,6,6,2,2,1,2,1,1,1,5,3,2,6,2,1,20,8,8,8,9,12,3,3,4,5,7
ERR9822146,72,86,0,1,0,0,3,0,0,0,6,4,5,0,0,1,2,1,1,1,4,1,0,2,0,0,19,7,7,7,8,9,2,2,3,4,6
ERR9785509,46,58,3,5,4,3,0,3,3,3,9,7,8,3,3,5,6,5,5,5,7,5,4,6,4,3,21,10,10,10,11,12,4,4,5,6,8
ERR10176872,66,78,0,2,1,0,3,0,0,0,8,4,5,0,0,2,3,2,2,2,3,1,1,3,1,0,18,7,7,7,8,9,2,2,2,3,6
ERR9966389,45,57,0,2,1,0,3,0,0,0,6,4,5,0,0,2,3,2,2,2,4,2,1,3,1,0,18,7,7,7,8,9,1,1,2,3,5
ERR10460765,74,86,0,2,1,0,3,0,0,0,7,4,5,0,0,2,3,2,2,2,3,1,1,3,1,0,18,7,7,7,8,9,2,2,2,3,6
ERR10109275,17,31,1,3,10,6,9,8,6,7,0,12,7,9,6,8,8,3,8,8,9,6,2,12,7,8,23,8,14,8,14,18,4,8,8,8,12
ERR10109276,80,88,5,7,6,4,7,4,4,4,12,0,3,4,4,6,7,6,6,6,7,5,5,7,5,4,22,11,11,11,12,13,5,5,5,6,9
ERR9785510,34,42,5,7,6,5,8,5,5,5,7,3,0,5,5,7,8,7,7,7,9,7,6,8,6,5,23,12,12,12,13,14,6,6,7,8,10
ERR9820422,83,97,1,3,2,0,3,0,0,0,9,4,5,0,0,2,3,2,2,2,3,1,1,3,1,0,18,7,7,7,8,9,1,1,1,2,5
ERR10088101,77,89,1,3,2,0,3,0,0,0,6,4,5,0,0,2,3,2,2,2,4,2,1,3,1,0,19,7,7,7,8,9,1,1,2,3,5
ERR10123168,66,78,2,2,1,1,5,2,2,2,8,6,7,2,2,0,1,0,0,0,6,4,3,5,3,1,20,9,9,9,10,11,3,3,4,5,7
ERR10123167,50,62,3,3,2,2,6,3,3,3,8,7,8,3,3,1,0,1,1,1,7,5,4,6,4,2,21,10,10,10,11,12,4,4,5,6,8
ERR9966387,50,62,2,2,1,1,5,2,2,2,3,6,7,2,2,0,1,0,0,0,6,4,3,5,3,1,20,9,9,9,10,11,3,3,4,5,7
ERR10460875,42,56,2,2,1,1,5,2,2,2,8,6,7,2,2,0,1,0,0,0,6,4,3,5,3,1,20,9,9,9,10,11,3,3,4,5,7
ERR9966390,49,62,2,2,1,1,5,2,2,2,8,6,7,2,2,0,1,0,0,0,6,4,3,5,3,1,20,9,9,9,10,11,3,3,4,5,7
ERR10176866,62,74,3,6,5,4,7,3,4,3,9,7,9,3,4,6,7,6,6,6,0,4,5,7,5,4,21,11,11,11,12,12,6,6,5,6,9
ERR10460687,44,57,1,4,3,1,5,1,2,1,6,5,7,1,2,4,5,4,4,4,4,0,1,3,1,1,18,9,9,9,10,10,3,3,2,3,6
ERR9785512,32,44,1,3,2,0,4,1,1,1,2,5,6,1,1,3,4,3,3,3,5,1,0,2,0,0,19,8,8,8,9,10,2,2,3,4,6
ERR10460887,87,101,5,7,6,2,6,3,3,3,12,7,8,3,3,5,6,5,5,5,7,3,2,0,2,2,23,10,10,10,11,12,4,4,5,6,8
ERR10088105,62,74,1,3,2,0,4,1,1,1,7,5,6,1,1,3,4,3,3,3,5,1,0,2,0,0,19,8,8,8,9,10,2,2,3,4,6
ERR9966388,63,77,0,2,1,0,3,0,0,0,8,4,5,0,0,1,2,1,1,1,4,1,0,2,0,0,18,7,7,7,8,9,1,1,2,3,5
ERR10026000,94,108,17,21,20,19,21,18,18,18,23,22,23,18,19,20,21,20,20,20,21,18,19,23,19,18,0,12,11,11,13,15,19,19,18,19,22
ERR9822144,32,35,7,9,8,7,10,7,7,7,8,11,12,7,7,9,10,9,9,9,11,9,8,10,8,7,12,0,0,0,1,2,9,9,10,11,13
ERR10088104,70,82,7,9,8,7,10,7,7,7,14,11,12,7,7,9,10,9,9,9,11,9,8,10,8,7,11,0,0,0,1,2,8,8,9,10,12
ERR10088102,60,74,7,9,8,7,10,7,7,7,8,11,12,7,7,9,10,9,9,9,11,9,8,10,8,7,11,0,0,0,1,2,8,8,9,10,12
ERR9822151,74,88,8,10,9,8,11,8,8,8,14,12,13,8,8,10,11,10,10,10,12,10,9,11,9,8,13,1,1,1,0,3,10,10,11,12,14
ERR10109255,94,108,11,13,12,9,12,9,9,9,18,13,14,9,9,11,12,11,11,11,12,10,10,12,10,9,15,2,2,2,3,0,11,11,11,12,13
ERR9966386,48,64,1,4,3,2,4,2,1,2,4,5,6,1,1,3,4,3,3,3,6,3,2,4,2,1,19,9,8,8,10,11,0,0,1,2,4
ERR10125140,53,69,1,4,3,2,4,2,1,2,8,5,6,1,1,3,4,3,3,3,6,3,2,4,2,1,19,9,8,8,10,11,0,0,1,2,4
ERR10109277,71,87,1,5,4,3,5,2,2,2,8,5,7,1,2,4,5,4,4,4,5,2,3,5,3,2,18,10,9,9,11,11,1,1,0,1,4
ERR10087013,53,69,2,6,5,4,6,3,3,3,8,6,8,2,3,5,6,5,5,5,6,3,4,6,4,3,19,11,10,10,12,12,2,2,1,0,5
ERR10109274,66,82,5,8,7,6,8,6,5,6,12,9,10,5,5,7,8,7,7,7,9,6,6,8,6,5,22,13,12,12,14,13,4,4,4,5,0
