isolate_id,SRR13719289,SRR13719614,SRR13313312,SRR13313295,SRR13719196,SRR13277434,SRR13277416,SRR13277412,SRR13311773,SRR13313309,SRR27481822,SRR27481651,SRR27481649,SRR27481520,SRR27481815,SRR7130368,SRR7130370,SRR7130371,SRR13312061,SRR7130369,ERR4400834
SRR13719289,0,2,290,25,28,35,37,37,36,39,318,376,328,335,336,686,682,676,723,689,880
SRR13719614,2,0,306,24,29,35,34,36,36,39,349,411,363,381,372,689,683,677,725,690,891
SRR13313312,290,306,0,280,281,274,288,290,276,286,587,648,603,622,614,638,634,628,694,646,789
SRR13313295,25,24,280,0,9,16,15,16,15,20,351,413,363,382,374,663,657,651,698,664,867
SRR13719196,28,29,281,9,0,13,12,13,14,17,322,382,333,351,346,660,653,647,695,661,858
SRR13277434,35,35,274,16,13,0,5,4,18,17,294,354,302,309,311,647,642,638,683,650,861
SRR13277416,37,34,288,15,12,5,0,5,15,19,355,413,365,384,374,667,661,656,702,669,871
SRR13277412,37,36,290,16,13,4,5,0,16,18,316,375,326,336,334,657,652,645,691,657,862
SRR13311773,36,36,276,15,14,18,15,16,0,12,346,405,356,376,366,658,654,647,693,659,862
SRR13313309,39,39,286,20,17,17,19,18,12,0,338,400,350,367,359,648,642,638,683,650,857
SRR27481822,318,349,587,351,322,294,355,316,346,338,0,9,8,13,9,757,760,756,783,757,663
SRR27481651,376,411,648,413,382,354,413,375,405,400,9,0,5,3,4,749,753,747,775,749,662
SRR27481649,328,363,603,363,333,302,365,326,356,350,8,5,0,2,3,749,752,747,775,749,668
SRR27481520,335,381,622,382,351,309,384,336,376,367,13,3,2,0,2,748,748,746,773,747,663
SRR27481815,336,372,614,374,346,311,374,334,366,359,9,4,3,2,0,751,755,750,778,752,664
SRR7130368,686,689,638,663,660,647,667,657,658,648,757,749,749,748,751,0,6,12,16,13,814
SRR7130370,682,683,634,657,653,642,661,652,654,642,760,753,752,748,755,6,0,13,18,15,817
SRR7130371,676,677,628,651,647,638,656,645,647,638,756,747,747,746,750,12,13,0,18,14,810
SRR13312061,723,725,694,698,695,683,702,691,693,683,783,775,775,773,778,16,18,18,0,4,849
SRR7130369,689,690,646,664,661,650,669,657,659,650,757,749,749,747,752,13,15,14,4,0,817
ERR4400834,880,891,789,867,858,861,871,862,862,857,663,662,668,663,664,814,817,810,849,817,0
