isolate_id,SRR14921286,SRR28295566,ERR4145363,ERR4145392,ERR4145410,ERR4145345,SRR8325561,SRR8293522,ERR4145388,ERR4145353,SRR10326268,SRR9627787,SRR27762886,SRR10992537,SRR1646109,SRR7427053,SRR8503644,SRR7457932
SRR14921286,0,37,31,28,29,34,95,89,98,93,93,104,51,56,96,1416,53,45
SRR28295566,37,0,30,28,28,32,46,45,46,44,44,56,50,57,45,50,53,46
ERR4145363,31,30,0,15,14,19,32,31,30,29,29,40,33,39,30,1298,40,32
ERR4145392,28,28,15,0,1,12,24,25,26,25,22,33,29,33,26,1382,34,24
ERR4145410,29,28,14,1,0,11,25,26,25,24,24,37,30,35,27,1415,34,25
ERR4145345,34,32,19,12,11,0,30,32,29,28,29,44,33,39,30,1364,37,29
SRR8325561,95,46,32,24,25,30,0,1,22,17,14,29,24,27,19,20,26,17
SRR8293522,89,45,31,25,26,32,1,0,22,16,15,27,24,28,18,21,27,17
ERR4145388,98,46,30,26,25,29,22,22,0,7,21,33,24,27,16,20,26,21
ERR4145353,93,44,29,25,24,28,17,16,7,0,16,26,21,28,18,21,27,17
SRR10326268,93,44,29,22,24,29,14,15,21,16,0,21,19,25,17,18,24,14
SRR9627787,104,56,40,33,37,44,29,27,33,26,21,0,30,37,24,30,34,30
SRR27762886,51,50,33,29,30,33,24,24,24,21,19,30,0,33,23,26,32,24
SRR10992537,56,57,39,33,35,39,27,28,27,28,25,37,33,0,17,24,29,23
SRR1646109,96,45,30,26,27,30,19,18,16,18,17,24,23,17,0,14,18,13
SRR7427053,1416,50,1298,1382,1415,1364,20,21,20,21,18,30,26,24,14,0,22,15
SRR8503644,53,53,40,34,34,37,26,27,26,27,24,34,32,29,18,22,0,21
SRR7457932,45,46,32,24,25,29,17,17,21,17,14,30,24,23,13,15,21,0
