"isolate_id","gene","present"
"CNSP0U","blaLAP-2",0
"ERR9929342","blaLAP-2",0
"ERR9966382","blaLAP-2",0
"CNS6QU","blaLAP-2",0
"CNS7YP","blaLAP-2",0
"BKRRIF","blaLAP-2",0
"44341_3_96","blaLAP-2",0
"44341_3_21","blaLAP-2",0
"CIV13VE5","blaLAP-2",0
"CIU149H1","blaLAP-2",0
"CIV146E8","blaLAP-2",0
"CIU13XS1","blaLAP-2",0
"CIV140E6","blaLAP-2",0
"CIV140E1","blaLAP-2",0
"CIT15GH1","blaLAP-2",0
"CIV13XE5","blaLAP-2",0
"CIV13YE6","blaLAP-2",0
"CIS15MR1","blaLAP-2",0
"CIV13UE4","blaLAP-2",0
"CAAXQV","blaLAP-2",0
"CIV140E7","blaLAP-2",0
"CIS15HB1","blaLAP-2",0
"CIV13RE2","blaLAP-2",0
"CIT15GS1","blaLAP-2",0
"CIV142E6","blaLAP-2",0
"44341_4_275","blaLAP-2",0
"44341_3_310","blaLAP-2",0
"CIU145B1","blaLAP-2",0
"CIV143E2","blaLAP-2",0
"CIT15FH1","blaLAP-2",0
"CIV147E3","blaLAP-2",0
"CIT15EB1","blaLAP-2",0
"CIV13PE7","blaLAP-2",0
"CIV13XE8","blaLAP-2",0
"44341_3_304","blaLAP-2",0
"44341_3_305","blaLAP-2",0
"44341_3_281","blaLAP-2",0
"44341_3_136","blaLAP-2",0
"44341_3_128","blaLAP-2",0
"44341_3_131","blaLAP-2",0
"CIT159B1","blaLAP-2",0
"CIS153C1","blaLAP-2",0
"CIV13XE2","blaLAP-2",0
"CIT15FB1","blaLAP-2",0
"CIV13XU1","blaLAP-2",0
"CIV143U1","blaLAP-2",0
"CIV143E9","blaLAP-2",0
"CNS1F3","blaLAP-2",0
"CAAYSI","blaLAP-2",0
"CIV141E6","blaLAP-2",0
"CIV140U1","blaLAP-2",0
"CIV140E4","blaLAP-2",0
"CIV143E4","blaLAP-2",0
"CIV144E6","blaLAP-2",0
"CIV13YE8","blaLAP-2",0
"CIV144U1","blaLAP-2",0
"BKRMVD","blaLAP-2",0
"CAAXBN","blaLAP-2",0
"44341_3_165","blaLAP-2",0
"ERR10113269","blaLAP-2",0
"ERR6752971","blaLAP-2",0
"ERR5751227","blaLAP-2",0
"ERR12142619","blaLAP-2",0
"ERR9976609","blaLAP-2",0
"ERR11219800","blaLAP-2",0
"ERR9079830","blaLAP-2",0
"ERR10880116","blaLAP-2",0
"ERR5751304","blaLAP-2",0
"ERR6806714","blaLAP-2",0
"ERR11872767","blaLAP-2",0
"ERR10176869","blaLAP-2",0
"ERR10880230","blaLAP-2",0
"ERR11453719","blaLAP-2",0
"ERR10880157","blaLAP-2",0
"ERR6752889","blaLAP-2",0
"ERR9288143","blaLAP-2",0
"ERR6806632","blaLAP-2",0
"ERR9288082","blaLAP-2",0
"ERR6806600","blaLAP-2",0
"ERR9420153","blaLAP-2",0
"ERR10117717","blaLAP-2",0
"ERR10109274","blaLAP-2",0
"ERR10880183","blaLAP-2",0
"ERR10880311","blaLAP-2",0
"ERR11420238","blaLAP-2",0
"ERR11437918","blaLAP-2",0
"ERR11807709","blaLAP-2",0
"ERR12146144","blaLAP-2",0
"ERR10109277","blaLAP-2",0
"ERR10087013","blaLAP-2",0
"ERR11219811","blaLAP-2",0
"ERR9966386","blaLAP-2",0
