isolate_id	source_isolate_id	run_accession	sample_accession	sequence_type	in_CC25_tree	in_ST335_tree	CC25_order	ST335_order	CC25_panel	ST335_panel	phenotyped_Kenneth
44341_3_304	44341_3#304	ERR16714663	ERS29128468	335	1	1	1	1	CC25-01	ST335-01	0
44341_3_305	44341_3#305	ERR16714664	ERS29128469	335	1	1	2	2	CC25-01	ST335-01	0
44341_3_281	44341_3#281	ERR16714662	ERS29128467	335	1	1	3	3	CC25-01	ST335-01	0
CIV13XE8	CIV13XE8_S20_L001	ERR16714702	ERS29128507	335	1	1	4	4	CC25-01	ST335-01	0
44341_3_128	44341_3#128	ERR16714653	ERS29128458	335	1	1	5	5	CC25-01	ST335-01	0
44341_3_131	44341_3#131	ERR16714654	ERS29128459	335	1	1	6	6	CC25-01	ST335-01	0
44341_3_136	44341_3#136	ERR16714655	ERS29128460	335	1	1	7	7	CC25-01	ST335-01	0
CIV13PE7	CIV13PE7_S12_L001	ERR16714696	ERS29128501	335	1	1	8	8	CC25-01	ST335-01	0
CIT159B1	CIT159B1_S40_L001	ERR16714687	ERS29128492	335	1	1	9	9	CC25-01	ST335-01	0
CIT15EB1	CIT15EB1_S3_L001	ERR16714688	ERS29128493	335	1	1	10	10	CC25-01	ST335-01	1
CIS153C1	CIS153C1_S4_L001	ERR16714684	ERS29128489	335	1	1	11	11	CC25-01	ST335-01	0
CIV147E3	CIV147E3_S35_L001	ERR16714720	ERS29128525	335	1	1	12	12	CC25-01	ST335-01	0
CIT15FH1	CIT15FH1_S5_L001	ERR16714690	ERS29128495	335	1	1	13	13	CC25-01	ST335-01	1
CIV143E2	CIV143E2_S28_L001	ERR16714713	ERS29128518	335	1	1	14	14	CC25-01	ST335-01	1
CIU145B1	CIU145B1_S13_L001	ERR16714694	ERS29128499	335	1	1	15	15	CC25-01	ST335-01	0
44341_3_310	44341_3#310	ERR16714665	ERS29128470	335	1	1	16	16	CC25-01	ST335-01	0
CIV13XE2	CIV13XE2_S6_L001	ERR16714700	ERS29128505	335	1	1	17	17	CC25-01	ST335-01	1
44341_4_275	44341_4#275	ERR16714667	ERS29128472	335	1	1	18	18	CC25-01	ST335-01	0
CIT15FB1	CIT15FB1_S1_L001	ERR16714689	ERS29128494	335	1	1	19	19	CC25-01	ST335-01	1
CIV13XU1	CIV13XU1_S18_L001	ERR16714703	ERS29128508	335	1	1	20	20	CC25-01	ST335-01	0
CIV142E6	CIV142E6_S29_L001	ERR16714712	ERS29128517	335	1	1	21	21	CC25-01	ST335-01	1
CIV143U1	CIV143U1_S32_L001	ERR16714716	ERS29128521	335	1	1	22	22	CC25-01	ST335-01	1
CIV143E9	CIV143E9_S8_L001	ERR16714715	ERS29128520	335	1	1	23	23	CC25-01	ST335-01	1
CNS1F3	CNS1F3_S9_L001	ERR16714723	ERS29128528	335	1	1	24	24	CC25-01	ST335-01	0
CAAYSI	CAAYSI_S8_L001	ERR16714683	ERS29128488	335	1	1	25	25	CC25-01	ST335-01	0
CIT15GS1	CIT15GS1_S23_L001	ERR16714692	ERS29128497	335	1	1	26	26	CC25-01	ST335-01	1
CIV13RE2	CIV13RE2_S11_L001	ERR16714697	ERS29128502	335	1	1	27	27	CC25-01	ST335-01	0
CIV141E6	CIV141E6_S16_L001	ERR16714711	ERS29128516	335	1	1	28	28	CC25-01	ST335-01	1
CIS15HB1	CIS15HB1_S39_L001	ERR16714685	ERS29128490	335	1	1	29	29	CC25-01	ST335-01	0
CIV140U1	CIV140U1_S14_L001	ERR16714710	ERS29128515	335	1	1	30	30	CC25-01	ST335-01	0
CIV140E4	CIV140E4_S26_L001	ERR16714707	ERS29128512	335	1	1	31	31	CC25-01	ST335-01	0
CIV140E7	CIV140E7_S24_L001	ERR16714709	ERS29128514	335	1	1	32	32	CC25-01	ST335-01	1
CAAXQV	CAAXQV_S11_L001	ERR16714680	ERS29128485	335	1	1	33	33	CC25-01	ST335-01	0
CIV13UE4	CIV13UE4_S38_L001	ERR16714698	ERS29128503	335	1	1	34	34	CC25-02	ST335-02	0
CIS15MR1	CIS15MR1_S17_L001	ERR16714686	ERS29128491	335	1	1	35	35	CC25-02	ST335-02	0
CIV13YE6	CIV13YE6_S9_L001	ERR16714704	ERS29128509	335	1	1	36	36	CC25-02	ST335-02	1
CIV143E4	CIV143E4_S31_L001	ERR16714714	ERS29128519	335	1	1	37	37	CC25-02	ST335-02	1
