isolate_id,Penicillin,Chloramphenicol,Trimethoprim,Sulfonamide,Fluoroquinolone,Third-generation cephalosporin,Carbapenem,Macrolide
CNSKFP,1,1,1,1,1,1,0,0
SRR7850690,0,0,0,0,0,0,0,0
CIV13RE2,1,1,1,1,1,1,0,0
ERR10880377,1,1,1,1,0,1,0,0
44341_3_262,1,1,1,1,1,1,0,0
ERR11747325,1,1,1,1,1,1,1,1
SRR27481649,0,0,0,0,1,0,0,0
ERR160996,0,0,0,0,1,0,0,0
ERR11453719,1,1,1,1,1,1,0,0
ERR4145388,0,0,0,0,1,0,0,0
SRR27762886,0,0,0,0,1,0,0,0
SRR7884719,0,0,0,0,0,0,0,0
SRR22691594,0,0,0,0,0,0,0,0
SRR2961321,0,0,0,0,0,0,0,0
SRR8503644,0,0,0,0,1,0,0,0
SRR5084265,0,0,0,1,1,0,0,0
SRR13277412,0,0,0,0,1,0,0,0
SRR7130371,0,0,0,0,1,0,0,0
ERR12321284,1,1,1,1,1,1,0,0
SRR14921286,0,1,1,1,1,0,0,0
SRR16227977,0,0,0,0,0,0,0,0
SRR2917140,0,0,0,1,1,1,0,0
SRR6684992,0,0,0,0,0,0,0,0
ERR10949303,1,1,1,1,1,1,0,1
SRR8325561,0,0,0,0,1,0,0,0
ERR7197741,1,1,1,1,1,1,0,1
ERR11872767,1,1,1,1,1,1,0,1
SRR27481520,0,0,0,0,1,0,0,0
SRR8297279,0,0,0,0,0,0,0,0
ERR9288082,1,1,1,1,1,1,0,0
ERR5751726,1,0,1,1,0,1,0,0
SRR2917136,0,0,0,1,1,1,0,0
ERR11807704,1,1,1,1,1,1,0,1
SRR21535466,0,0,0,0,1,0,0,0
ERR6806075,1,0,0,1,1,1,0,0
ERR6806125,1,1,1,1,1,1,0,1
44341_3_165,1,1,1,1,1,1,0,0
ERR10949310,1,1,1,1,1,1,0,1
ERR10460887,1,1,1,1,0,1,0,0
SRR10326268,0,0,0,0,1,0,0,0
ERR12321280,1,1,1,1,1,1,0,1
ERR11201827,1,1,1,1,1,1,0,1
CIV13XE8,1,1,1,1,1,1,0,0
ERR12495482,1,1,1,1,1,1,0,1
SRR8293522,0,0,0,0,1,0,0,0
ERR6752889,1,1,1,1,1,1,0,1
ERR10460902,1,0,1,1,1,1,0,1
SRR26050334,0,0,0,0,1,0,0,0
ERR12495485,1,1,1,1,1,1,0,1
ERR4401598,1,1,1,1,1,1,0,0
SRR8137438,0,0,0,0,1,0,0,0
ERR4399363,1,1,1,1,1,1,0,0
ERR9966388,1,1,1,1,1,1,0,1
ERR10109287,0,0,0,0,0,0,0,0
ERR10123167,1,1,1,1,1,1,0,1
ERR4338896,0,0,0,0,1,0,0,0
ERR11219800,1,1,1,1,1,1,0,1
SRR13313295,0,0,0,0,0,0,0,0
CNSP0U,1,1,1,1,1,1,0,0
SRR1643104,0,0,0,0,0,0,0,0
ERR4145363,0,1,1,0,1,0,0,0
SRR27481651,0,0,0,0,1,0,0,0
CIV143E4,1,1,1,1,1,1,0,0
ERR9966389,1,1,1,1,1,1,0,1
ERR12067371,1,1,1,1,1,1,0,1
SRR13311773,0,0,0,0,1,0,0,0
CIT159B1,1,1,1,1,1,1,0,0
CIT15FB1,1,1,1,1,1,1,0,0
ERR10109255,1,1,1,1,1,1,0,1
ERR4400884,1,1,1,1,1,1,0,0
ERR9288143,1,1,1,1,1,1,0,1
ERR11502778,1,1,1,1,1,1,1,1
ERR12312692,1,1,1,1,1,1,0,1
ERR10109277,1,1,1,1,1,1,0,1
44341_3_305,1,1,1,1,1,1,0,0
ERR6805990,1,1,1,1,0,1,0,1
ERR12142634,1,1,1,1,1,1,1,1
ERR10880335,1,1,1,1,0,1,0,0
ERR12321283,1,1,1,1,1,1,0,1
ERR11896635,1,1,1,1,1,1,0,1
ERR10880183,1,1,1,1,1,1,0,0
ERR9822151,1,1,1,1,1,1,0,1
CIT15FH1,1,1,1,1,1,1,0,0
ERR6806632,1,1,1,1,1,1,0,0
ERR5750995,1,1,1,1,1,1,0,1
ERR10176872,1,1,1,1,1,1,0,1
SRR3137069,0,0,0,1,1,1,0,0
44341_3_310,1,1,1,1,1,1,0,0
CIV13YE8,1,1,1,1,1,1,0,0
CIV13YE6,1,1,1,1,1,1,0,0
ERR6806512,1,1,1,1,1,1,0,0
ERR9929342,1,1,1,1,1,1,0,0
ERR10460687,1,1,1,1,1,1,0,1
ERR9941258,1,1,1,1,1,1,0,0
ERR6806255,1,1,1,1,1,1,1,1
ERR6806833,1,1,1,1,1,1,0,1
ERR9820422,1,1,1,1,1,1,0,1
ERR11219811,1,1,1,1,1,1,0,1
CAAYDF,1,1,1,1,1,1,0,0
ERR10123168,1,1,1,1,1,1,0,1
CIV144E6,1,1,1,1,1,1,0,0
CAAR9T,1,1,1,1,1,1,0,0
SRR14360286,0,0,0,0,1,0,0,0
CIS15HB1,1,1,1,1,1,1,0,0
ERR12321281,1,1,1,1,1,1,1,1
44341_3_21,1,1,1,1,1,1,0,0
CIT15GH1,1,1,1,1,1,1,0,0
ERR6806789,1,1,1,1,1,1,0,1
ERR12552381,1,1,1,1,1,1,0,1
CIV13VE5,1,1,1,1,1,1,0,0
ERR3635266,0,0,0,0,0,0,0,0
CNSNZ2,1,1,1,1,1,1,0,0
CAAQIG,1,1,1,1,1,1,0,0
ERR11807709,1,1,1,1,1,1,0,1
CLL6CH,1,1,1,1,1,1,0,0
CIV144U1,1,1,1,1,1,1,0,0
SRR16301618,0,0,0,0,0,0,0,0
SRR13313309,0,0,0,0,0,0,0,0
ERR10088101,1,1,1,1,1,1,0,1
SRR10992537,0,0,0,0,1,0,0,0
ERR12067314,1,1,1,1,1,1,0,1
ERR10109275,1,1,1,1,1,1,0,1
ERR10438737,1,1,1,1,1,1,0,0
ERR11810274,1,1,1,1,1,1,0,1
SRR1810522,0,0,0,0,0,0,0,0
CAARE3,1,1,1,1,1,1,0,0
SRR2917137,0,0,0,1,1,1,0,0
ERR4145410,0,1,1,0,1,0,0,0
CLL3JA,1,1,1,1,1,1,0,0
44341_3_304,1,1,1,1,1,1,0,0
ERR9971918,1,1,1,1,1,1,0,1
ERR6806317,1,1,1,1,0,1,0,1
ERR9785511,1,0,1,1,0,1,0,1
BKRRIF,1,1,1,1,1,1,0,0
SRR7457932,0,0,0,0,1,0,0,0
44341_3_136,1,1,1,1,1,0,0,0
ERR4145392,0,1,1,0,1,0,0,0
CNS7YP,1,1,1,1,1,1,0,0
ERR6806600,1,1,1,1,1,1,0,0
SRR7130368,0,0,0,0,1,0,0,0
ERR5751808,1,1,1,1,1,1,0,1
SRR1646109,0,0,0,0,1,0,0,0
CIV13PE7,1,1,1,1,1,1,0,0
ERR6752971,1,1,1,1,1,1,0,1
ERR11420238,1,1,1,1,1,1,0,1
ERR10176869,1,1,1,1,1,1,0,1
SRR6457657,0,0,0,0,1,0,0,0
SRR26858817,0,0,0,0,1,0,0,0
ERR4399344,0,0,0,0,0,0,0,0
SRR6685117,0,0,0,0,0,0,0,0
ERR10125140,1,1,1,1,1,1,0,1
CIV140U1,1,1,1,1,1,1,0,0
ERR11455881,1,1,1,1,1,1,0,0
ERR10113269,1,1,1,1,1,1,0,1
ERR12321282,1,1,1,1,1,1,0,1
SRR13312061,0,0,0,0,1,0,0,0
SRR3002514,0,0,0,0,0,0,0,0
SRR13277434,0,0,0,0,1,0,0,0
ERR10117717,1,1,1,1,1,1,0,0
SRR8350305,0,0,0,0,0,0,0,0
BKRRJK,1,1,1,1,1,1,0,0
ERR6753111,1,1,1,1,1,1,0,1
SRR22175068,0,0,0,0,1,0,0,0
SRR7842526,0,0,0,0,0,0,0,0
CIV140E1,1,1,1,1,1,1,0,0
ERR12165616,1,1,1,1,1,1,0,1
CNSLL4,1,1,1,1,1,1,0,0
ERR10460875,1,1,1,1,1,1,0,1
ERR5751308,1,1,1,1,0,1,0,0
SRR13719196,0,0,0,0,1,0,0,0
ERR9079508,1,1,1,1,1,1,0,1
ERR9966390,1,1,1,1,1,1,0,1
ERR11437918,1,1,1,1,1,1,0,1
SRR5799674,0,0,0,0,0,0,0,0
CIV140E7,1,1,1,1,1,1,0,0
ERR4399957,1,1,1,1,0,1,0,1
ERR12142619,1,1,1,1,1,1,0,1
SRR7292863,0,0,0,0,0,0,0,0
SRR21787058,0,0,0,0,1,0,0,0
ERR10087013,1,1,1,1,1,1,0,1
ERR12146144,1,1,1,1,1,1,0,1
SRR13719289,0,0,0,1,1,0,0,0
ERR6806714,1,1,1,1,1,1,0,0
ERR3581536,0,0,0,0,0,0,0,0
CIV13XE2,1,1,1,1,1,1,0,0
44341_3_265,1,1,1,1,1,1,0,0
SRR1966891,0,0,0,0,0,0,0,0
ERR12078572,1,1,1,1,1,1,0,1
ERR5751227,1,1,1,1,1,1,0,1
44341_3_128,1,1,1,1,1,1,0,0
ERR4400265,1,1,1,1,1,1,0,0
ERR9822149,1,1,1,1,1,1,0,1
BKRMVD,1,1,1,1,1,1,0,0
SRR1106363,0,0,0,0,0,0,0,0
ERR12067334,1,1,1,1,1,1,0,0
ERR6806776,1,1,1,1,1,1,0,1
ERR5751296,1,1,1,1,1,1,0,1
ERR12091513,1,1,1,1,1,1,0,1
CIS15MR1,1,1,1,1,1,1,0,0
ERR4401299,1,1,1,1,1,1,0,0
ERR9822144,1,1,1,1,1,1,0,1
SRR21224019,0,0,0,0,0,0,0,0
ERR12302226,1,1,1,1,1,1,0,0
ERR6806749,1,1,1,1,1,1,0,1
ERR10460856,1,0,1,1,1,1,0,1
CIU149H1,1,1,1,1,1,1,0,0
ERR12552384,1,1,1,1,1,1,0,0
ERR12259395,1,1,1,1,1,1,0,1
CIV140E6,1,1,1,1,1,1,0,0
ERR9966387,1,1,1,1,1,1,0,1
SRR9273829,1,1,1,1,0,1,0,0
ERR9785512,1,1,1,1,1,1,0,1
ERR10880156,1,1,1,1,0,1,0,0
ERR6805998,1,1,1,1,1,1,0,1
CIV143E9,1,1,1,1,1,1,0,0
CNS1F3,1,1,1,1,1,1,0,0
ERR10880230,1,1,1,1,1,1,0,1
ERR9966386,1,1,1,1,1,1,0,1
SRR13719614,0,0,0,0,1,0,0,0
CIV141E6,1,1,1,1,1,1,0,0
44341_3_96,1,1,1,1,0,1,0,0
CAAQXB,1,1,1,1,1,1,0,0
SRR20212638,0,0,0,0,0,0,0,0
CNSFP4,1,1,1,1,0,1,0,0
44341_3_281,1,1,1,1,1,1,0,0
SRR27185117,0,0,0,0,1,0,0,0
SRR1106479,0,0,0,0,1,0,0,0
ERR10176870,1,0,1,1,1,1,0,1
ERR10176866,1,1,1,1,1,1,0,1
ERR4338560,0,0,0,0,1,0,0,0
SRR27481822,0,0,0,0,1,0,0,0
SRR13277416,0,0,0,0,1,0,0,0
CNS4NS,1,1,1,1,1,1,0,0
CIV147E3,1,1,1,1,1,1,0,0
CNSDXZ,1,1,1,1,1,1,0,0
SRR5121494,0,0,0,1,1,0,0,0
ERR4145353,0,0,0,0,1,0,0,0
ERR4400834,0,0,0,0,1,0,0,0
ERR4399362,1,1,1,1,0,1,0,1
ERR10368770,0,0,0,1,1,1,0,0
ERR10088104,1,1,1,1,1,1,0,1
SRR15853458,0,0,1,1,0,0,0,0
SRR21535455,0,0,0,0,1,0,0,0
SRR8706049,0,0,0,0,0,0,0,0
SRR7467291,0,0,0,0,1,0,0,0
SRR21787324,0,0,0,0,1,0,0,0
SRR5121497,0,0,0,1,1,1,0,0
CAAXQV,1,1,1,1,1,1,0,0
SRR7841631,0,0,0,0,0,0,0,0
CAAP2A,1,1,1,1,1,1,0,0
SRR28295566,0,0,0,0,1,0,0,0
SRR13313312,0,0,0,0,1,0,0,0
SRR7427053,1,1,1,1,1,0,0,0
CIU145B1,1,1,1,1,1,1,0,0
SRR2917139,0,0,0,1,1,1,0,0
SRR5056398,0,0,0,0,1,0,0,0
44341_3_268,1,1,1,1,1,1,0,0
ERR4145345,0,1,1,1,1,0,0,0
ERR10460765,1,1,1,1,1,1,0,1
ERR9976609,1,1,1,1,1,1,0,1
CIV13XE5,1,1,1,1,1,1,0,0
SRR2173991,0,0,0,0,0,0,0,0
ERR10109276,1,1,1,1,1,1,0,1
ERR12552377,1,1,1,1,1,1,0,1
ERR4451478,1,1,1,1,1,1,0,0
CIT15GS1,1,1,1,1,1,1,0,0
SRR6107195,0,0,0,1,1,1,0,0
SRR2917138,0,0,0,1,1,1,0,0
ERR9680890,0,0,0,0,0,0,0,0
SRR952929,0,0,0,0,0,0,0,0
CAAXBN,1,1,1,1,1,1,0,0
ERR4399358,1,1,1,1,0,1,0,1
SRR7130369,0,0,0,0,1,0,0,0
ERR4401297,1,1,1,1,1,1,0,0
44341_3_280,1,1,1,1,1,1,0,0
SRR3001933,0,0,0,1,1,1,0,0
SRR5379276,0,0,0,0,1,0,0,0
ERR10087012,1,1,1,1,1,1,0,1
ERR10880311,1,1,1,1,1,1,0,0
SRR27481815,0,0,0,0,1,0,0,0
SRR7130370,0,0,0,0,1,0,0,0
ERR10088102,1,1,1,1,1,1,0,1
ERR10880424,1,1,1,1,1,1,0,0
ERR6806028,1,1,1,1,1,1,0,0
CIV13XU1,1,1,1,1,1,1,0,0
SRR1967735,0,0,0,0,0,0,0,0
ERR9785510,1,1,1,1,1,1,0,1
CIT15EB1,1,1,1,1,1,1,0,0
CIU13XS1,1,1,1,1,1,1,0,0
SRR8369293,0,0,0,0,0,0,0,0
ERR9079758,1,1,1,1,1,1,1,1
CIS153C1,1,1,1,1,1,1,0,0
CIV13UE4,1,1,1,1,1,1,0,0
ERR10880116,1,1,1,1,1,1,0,0
ERR10460483,1,0,1,1,0,1,0,1
ERR10123158,1,1,1,1,1,1,0,0
CIV143E2,1,1,1,1,1,1,0,0
ERR6752863,1,1,1,1,1,1,0,1
SRR7292689,0,0,0,0,0,0,0,0
SRR26463587,0,0,0,0,0,0,0,0
44341_4_286,1,1,1,1,1,1,0,0
CNS6QU,1,1,1,1,1,1,0,0
ERR9822145,1,1,1,1,1,1,0,0
ERR10088105,1,1,1,1,1,1,0,1
SRR3322715,0,0,0,0,0,0,0,0
ERR10880157,1,1,1,1,1,1,0,0
ERR11747320,1,1,1,1,1,1,0,1
ERR12312688,1,1,1,1,1,1,0,1
ERR4401589,0,0,0,0,0,0,0,0
SRR13833609,0,0,0,0,0,0,0,0
ERR9079830,1,1,1,1,1,1,0,0
ERR5751304,1,1,1,1,1,1,0,1
SRR1973602,0,0,0,0,0,0,0,0
ERR7197757,1,1,1,1,1,1,0,0
ERR10109274,1,1,1,1,1,1,0,1
ERR10880181,1,1,1,1,1,1,0,1
ERR4451427,1,1,1,1,1,1,0,1
ERR9079768,1,1,1,1,0,1,0,1
ERR9692774,1,1,1,1,1,1,0,1
ERR3635287,0,0,0,0,1,0,0,0
ERR9966382,1,1,1,1,1,1,0,0
ERR6806796,1,1,1,1,1,1,0,0
ERR9924209,1,1,1,1,1,1,0,1
CAAYSI,1,1,1,1,1,1,0,0
ERR12080226,0,1,1,1,0,0,0,0
ERR10026000,1,1,1,1,1,1,0,1
ERR7197834,1,1,1,1,1,1,0,1
ERR9420153,1,1,1,1,1,1,0,0
ERR6806710,0,0,0,0,0,0,0,0
44341_4_275,1,1,1,1,1,1,0,0
CIV142E6,1,1,1,1,1,1,0,0
ERR12078573,1,1,1,1,1,1,0,1
CAAS99,1,1,1,1,1,1,0,0
CIV143U1,1,1,1,1,1,1,0,0
SRR9627787,0,0,0,0,1,0,0,0
ERR4401298,1,1,1,1,1,1,0,0
CAAQUT,1,1,1,1,1,1,0,0
ERR6806726,1,0,1,1,1,1,0,0
44341_3_131,1,1,1,1,1,1,0,0
CIV146E8,1,1,1,1,1,1,0,0
CAAYM5,1,1,1,1,1,1,0,0
ERR12312689,1,1,1,1,1,1,0,1
CIV140E4,1,1,1,1,1,1,0,0
ERR9785509,1,1,1,1,1,1,0,1
ERR9822146,1,1,1,1,1,1,0,1
