isolate_id,44341_3_304,44341_3_305,44341_3_281,CIV13XE8,44341_3_128,44341_3_131,44341_3_136,CIV13PE7,CIT159B1,CIT15EB1,CIS153C1,CIV147E3,CIT15FH1,CIV143E2,CIU145B1,44341_3_310,CIV13XE2,44341_4_275,CIT15FB1,CIV13XU1,CIV142E6,CIV143U1,CIV143E9,CNS1F3,CAAYSI,CIT15GS1,CIV13RE2,CIV141E6,CIS15HB1,CIV140U1,CIV140E4,CIV140E7,CAAXQV,CIV13UE4,CIS15MR1,CIV13YE6,CIV143E4,CIV13XE5,CIT15GH1,CIV140E1,CIV140E6,CIU13XS1,CIV146E8,CIU149H1,CIV144E6,CIV13VE5,CIV13YE8,CIV144U1,CNSP0U,CNSKFP,CNSLL4,ERR9941258,ERR9929342,ERR9966382,CLL3JA,CNS7YP,BKRRIF,CNS6QU,44341_3_96,44341_3_21,BKRMVD,CAAYDF,CAAXBN,44341_3_165,44341_3_262,44341_3_265,44341_4_286,44341_3_268,44341_3_280,CAAP2A,CNSFP4,CNSDXZ,CAAQXB,CAAR9T,CAAQUT,CAARE3,CLL6CH,ERR10438737,ERR10113269,ERR6752971,ERR5751227,ERR9976609,ERR11219800,ERR12142619,ERR11747325,ERR11502778,ERR7197834,ERR9079758,ERR6806255,ERR6805990,ERR6806776,ERR5750995,ERR6806749,ERR6805998,ERR6806833,ERR12080226,ERR12321283,ERR12321282,ERR12067314,ERR12321281,ERR12142634,ERR6753111,ERR6806796,ERR6806789,ERR9971918,ERR7197741,ERR5751808,ERR12321280,ERR9692774,ERR6752863,SRR9273829,ERR9079830,ERR10880116,ERR5751304,ERR6806714,ERR5751296,ERR4451427,ERR6806125,ERR6806317,ERR12067371,ERR6806075,ERR10176870,ERR10460856,ERR10460902,ERR6806726,ERR12078572,ERR11747320,ERR12495482,ERR5751726,ERR6806512,ERR9924209,ERR10460483,ERR9785511,ERR10087012,ERR9079768,ERR9822149,ERR9822145,ERR9822146,ERR9785509,ERR10176872,ERR9966389,ERR10460765,ERR10109275,ERR11807704,ERR10109276,ERR9785510,ERR9820422,ERR10880181,ERR10088101,ERR12312688,ERR11201827,ERR12312689,ERR12495485,ERR12312692,ERR10123168,ERR10123167,ERR9966387,ERR10949310,ERR10460875,ERR9966390,ERR10176866,ERR10460687,ERR12078573,ERR9785512,ERR12165616,ERR10460887,ERR10880335,ERR10880156,ERR10880377,ERR10088105,ERR12321284,ERR9966388,ERR10026000,ERR9822144,ERR10088104,ERR10088102,ERR9822151,ERR10109255,ERR11810274,ERR9966386,ERR12259395,ERR12091513,ERR10125140,ERR10949303,ERR10109277,ERR10087013,ERR12146144,ERR11219811,ERR11420238,ERR11437918,ERR11807709,ERR10880183,ERR10880311,ERR10109274,ERR12552381,ERR12552377,ERR11896635,ERR9079508,ERR9420153,ERR10117717,ERR6806600,ERR7197757,ERR6806028,ERR9288082,ERR11455881,ERR6806632,ERR4451478,ERR12302226,ERR12552384,ERR12067334,ERR10880424,ERR10123158,ERR10176869,ERR10880230,ERR11453719,ERR10880157,ERR11872767,ERR6752889,ERR9288143,ERR5751308,ERR4399358,ERR4399957,ERR4399362,SRR13833609,SRR13719289,SRR13719614,SRR13313312,SRR13313295,SRR13719196,SRR13277434,SRR13277416,SRR13277412,SRR13311773,SRR13313309,SRR27481822,SRR27481651,SRR27481649,SRR27481520,SRR27481815,SRR7130368,SRR7130370,SRR7130371,SRR13312061,SRR7130369,ERR4400834,ERR4338896,ERR4338560,SRR1106479,ERR3581536,SRR8369293,SRR7842526,SRR8297279,SRR7850690,SRR7884719,SRR8350305,SRR15853458,SRR21224019,SRR20212638,SRR8706049,SRR16227977,ERR4399344,SRR7841631,SRR22691594,SRR16301618,ERR10109287,ERR9680890,SRR14921286,SRR28295566,ERR4145363,ERR4145392,ERR4145410,ERR4145345,SRR8325561,SRR8293522,ERR4145388,ERR4145353,SRR10326268,SRR9627787,SRR27762886,SRR10992537,SRR1646109,SRR7427053,SRR8503644,SRR7457932,SRR2917137,SRR2917139,SRR3137069,SRR6107195,SRR2917138,SRR2917136,SRR5084265,SRR5121494,SRR3001933,SRR5121497,SRR2917140,ERR10368770,ERR160996,SRR5056398,ERR3635287,SRR22175068,SRR21787058,SRR21787324,SRR26858817,SRR27185117,SRR21535455,SRR21535466,SRR26050334,SRR5379276,SRR6457657,SRR14360286,SRR8137438,ERR3635266,SRR1973602,SRR3002514,SRR7467291,ERR4400884,ERR4399363,ERR4401298,ERR4400265,ERR4401598,ERR4401297,ERR4401299,ERR6806710,SRR952929,SRR7292863,SRR1966891,SRR1967735
44341_3_304,0,0,0,1,2,1,1,1,0,0,1,0,0,0,0,1,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,16,23,7,7,9,5,7,7,7,6,6,1,1,1,7,11,11,11,11,11,3,11,14,14,15,15,14,14,45,53,30,29,42,31,38,50,46,40,42,53,42,41,41,43,55,54,41,41,41,42,55,55,48,48,45,41,43,44,180,187,173,55,52,47,111,72,74,74,73,363,164,262,179,180,180,127,182,179,181,168,168,269,228,244,153,146,148,81,145,146,143,142,143,152,149,150,148,143,153,145,149,147,149,150,156,144,145,143,150,146,150,146,145,148,145,145,82,84,82,83,145,83,143,163,150,149,150,151,151,148,147,146,145,145,147,147,145,144,147,146,146,146,82,90,149,145,146,144,142,84,80,82,74,76,72,83,77,88,83,85,79,79,77,89,88,93,92,90,85,98,207,401,398,246,309,10369,10691,7099,10703,10633,10543,10688,10651,10661,10602,10459,10503,10463,10466,10465,10512,10500,10535,10685,10555,9707,9628,9655,9602,9937,9821,9523,9541,9585,9548,9533,9558,9623,10022,9712,9772,9619,9609,10355,9590,9603,9636,10660,10372,10103,10169,10816,10580,10454,10320,10538,10575,10518,10473,10591,10353,10445,11893,10293,10390,8582,8667,8766,8718,8810,8590,8490,8652,8490,8707,8842,8624,7829,7742,7783,7988,7952,7927,7975,7908,7974,7964,7971,8017,8041,7792,7706,7625,7704,7784,7805,7766,7793,7768,7810,7804,7793,7798,7733,7710,7565,7998,7873
44341_3_305,0,0,0,1,2,1,1,1,0,0,1,0,0,0,0,1,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,16,23,7,7,9,5,7,7,7,6,6,1,1,1,7,11,11,11,11,11,3,11,14,14,15,15,14,14,45,53,30,29,42,31,38,50,46,40,42,53,42,41,41,43,55,54,41,41,41,42,55,55,48,48,45,41,43,44,180,187,173,55,52,47,111,72,74,74,73,363,164,262,179,180,180,127,182,179,181,168,168,269,228,244,153,146,148,81,145,146,143,142,143,152,149,150,148,143,153,145,149,147,149,150,156,144,145,143,150,146,150,146,145,148,145,145,82,84,82,83,145,83,143,163,150,149,150,151,151,148,147,146,145,145,147,147,145,144,147,146,146,146,82,90,149,145,146,144,142,84,80,82,74,76,72,83,77,88,83,85,79,79,77,89,88,93,92,90,85,98,207,401,398,246,310,10369,10691,7100,10703,10633,10543,10688,10651,10661,10602,10460,10504,10464,10467,10465,10513,10501,10535,10685,10555,9708,9629,9656,9602,9938,9822,9523,9541,9586,9549,9533,9559,9624,10022,9713,9773,9620,9609,10355,9591,9603,9636,10661,10372,10104,10169,10817,10582,10454,10320,10539,10576,10518,10474,10591,10353,10446,11894,10294,10390,8584,8671,8768,8720,8812,8593,8492,8654,8491,8709,8844,8625,7829,7743,7783,7989,7953,7928,7976,7908,7975,7965,7972,8018,8042,7792,7706,7625,7704,7785,7806,7767,7794,7769,7811,7805,7794,7799,7733,7710,7565,7998,7873
44341_3_281,0,0,0,1,2,1,1,1,0,0,1,0,0,0,0,1,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,16,23,7,7,9,5,7,7,7,6,6,1,1,1,7,11,11,11,11,11,3,11,14,14,15,15,14,14,45,53,30,29,42,31,38,50,46,40,42,53,42,41,41,43,55,54,41,41,41,42,55,55,48,48,45,41,43,44,180,187,173,55,52,47,111,72,74,74,73,363,164,262,179,180,180,127,182,179,181,168,168,269,228,244,153,146,148,81,145,146,143,142,143,152,149,150,148,143,153,145,149,147,149,150,156,144,145,143,150,146,150,146,145,148,145,145,82,84,82,83,145,83,143,163,150,149,150,151,151,148,147,146,145,145,147,147,145,144,147,146,146,146,82,90,149,145,146,144,142,84,80,82,74,76,72,83,77,88,83,85,79,79,77,89,88,93,92,90,85,98,207,401,398,246,310,10369,10688,7097,10700,10633,10543,10685,10651,10658,10599,10460,10504,10461,10467,10465,10513,10501,10535,10685,10555,9708,9629,9656,9602,9938,9822,9523,9541,9586,9549,9531,9559,9624,10019,9713,9773,9617,9609,10355,9591,9600,9633,10660,10372,10102,10165,10812,10577,10454,10320,10539,10573,10518,10474,10588,10353,10446,11894,10294,10390,8579,8664,8763,8715,8808,8588,8491,8650,8484,8705,8840,8624,7826,7740,7783,7986,7953,7928,7976,7908,7975,7965,7969,8015,8039,7789,7706,7625,7704,7782,7804,7767,7794,7769,7811,7806,7794,7799,7730,7707,7565,7998,7873
CIV13XE8,1,1,1,0,3,2,2,2,1,1,2,1,1,1,1,2,2,1,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,18,17,24,8,8,10,6,8,8,8,7,7,2,2,2,8,12,12,12,12,12,4,12,15,15,16,16,15,15,46,54,31,30,43,32,39,51,47,41,43,54,43,42,42,44,56,55,42,42,42,43,56,56,49,49,46,42,44,45,181,188,174,56,53,48,112,73,75,75,74,364,165,263,180,181,181,128,183,180,182,169,169,270,229,245,154,147,149,82,146,147,144,143,144,153,150,151,149,144,154,146,150,148,150,151,157,145,146,144,151,147,151,147,146,149,146,146,83,85,83,84,146,86,144,164,151,150,151,152,152,149,148,147,146,146,148,148,146,145,148,147,147,147,83,91,150,146,147,145,143,86,81,83,75,78,73,85,78,89,84,86,81,80,78,90,89,94,93,91,86,99,208,402,399,247,311,10369,10695,7100,10709,10633,10543,10689,10651,10661,10604,10459,10503,10463,10466,10464,10513,10501,10535,10686,10555,9709,9630,9657,9603,9939,9823,9524,9542,9587,9550,9534,9560,9625,10023,9714,9774,9621,9610,10356,9592,9604,9637,10661,10371,10105,10168,10825,10586,10454,10319,10539,10576,10518,10474,10597,10353,10446,11894,10294,10390,8584,8667,8768,8719,8812,8594,8490,8653,8488,8709,8844,8623,7826,7741,7780,7987,7952,7927,7975,7907,7974,7964,7971,8017,8040,7790,7703,7623,7703,7784,7805,7765,7792,7767,7809,7804,7792,7797,7731,7708,7563,7996,7871
44341_3_128,2,2,2,3,0,1,1,3,2,2,3,2,2,2,2,3,3,2,3,3,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,19,18,25,9,9,11,7,9,9,9,8,8,3,3,3,9,13,13,13,13,13,5,13,16,16,17,17,16,16,47,55,32,31,44,33,40,52,48,42,44,55,44,43,43,45,57,56,43,43,43,44,57,57,50,50,47,43,45,46,182,189,175,57,54,49,113,74,76,76,75,365,166,264,181,182,182,129,184,181,183,170,170,271,230,246,155,148,150,83,147,148,145,144,145,154,151,152,150,145,155,147,151,149,151,152,158,146,147,145,152,148,152,148,147,150,147,147,84,86,84,85,147,85,145,165,152,151,152,153,153,150,149,148,147,147,149,149,147,146,149,148,148,148,84,92,151,147,148,146,144,86,82,84,76,78,74,85,79,90,85,87,81,81,79,89,88,93,92,90,85,98,209,403,400,248,312,10368,10693,7102,10705,10635,10545,10690,10653,10663,10604,10462,10506,10466,10469,10467,10515,10502,10536,10687,10557,9710,9631,9658,9604,9940,9824,9525,9543,9588,9551,9535,9561,9625,10024,9715,9775,9622,9611,10357,9593,9605,9638,10661,10374,10104,10167,10817,10582,10456,10321,10541,10578,10520,10476,10593,10355,10448,11693,10296,10392,8570,8654,8753,8705,8798,8578,8491,8640,8475,8695,8830,8626,7831,7745,7785,7991,7955,7930,7978,7910,7977,7967,7974,8020,8044,7794,7708,7627,7706,7787,7809,7769,7796,7771,7813,7807,7796,7801,7735,7712,7567,8000,7875
44341_3_131,1,1,1,2,1,0,0,2,1,1,2,1,1,1,1,2,2,1,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,18,17,24,8,8,10,6,8,8,8,7,7,2,2,2,8,12,12,12,12,12,4,12,15,15,16,16,15,15,46,54,31,30,43,32,39,51,47,41,43,54,43,42,42,44,56,55,42,42,42,43,56,56,49,49,46,42,44,45,181,188,174,56,53,48,112,73,75,75,74,364,165,263,180,181,181,128,183,180,182,169,169,270,229,245,154,147,149,82,146,147,144,143,144,153,150,151,149,144,154,146,150,148,150,151,157,145,146,144,151,147,151,147,146,149,146,146,83,85,83,84,146,84,144,164,151,150,151,152,152,149,148,147,146,146,148,148,146,145,148,147,147,147,83,91,150,146,147,145,143,85,81,83,75,77,73,84,78,89,84,86,80,80,78,88,87,92,91,89,84,97,208,402,399,247,310,10367,10692,7100,10704,10634,10544,10689,10652,10662,10603,10460,10504,10464,10467,10466,10513,10501,10536,10686,10556,9708,9629,9656,9603,9938,9822,9524,9542,9586,9549,9534,9559,9624,10023,9713,9773,9620,9610,10356,9591,9604,9637,10661,10373,10104,10167,10817,10581,10455,10320,10539,10576,10519,10474,10592,10354,10446,11691,10294,10391,8569,8653,8752,8704,8797,8578,8491,8639,8474,8694,8829,8625,7830,7743,7784,7989,7953,7928,7976,7909,7975,7965,7972,8018,8042,7793,7707,7626,7705,7785,7807,7767,7794,7769,7811,7805,7794,7799,7734,7711,7566,7999,7874
44341_3_136,1,1,1,2,1,0,0,2,1,1,2,1,1,1,1,2,2,1,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,18,17,24,8,8,10,6,8,8,8,7,7,2,2,2,8,12,12,12,12,12,4,12,15,15,16,16,15,15,46,54,31,30,43,32,39,51,47,41,43,54,43,42,42,44,56,55,42,41,42,43,56,56,49,49,46,42,44,45,181,188,174,55,53,48,112,73,75,75,74,364,165,263,180,181,181,128,183,180,182,169,169,270,178,194,103,96,98,81,95,96,93,92,93,102,99,100,98,93,103,95,99,97,99,100,106,94,95,93,100,96,100,96,95,98,95,95,82,84,82,83,95,83,93,113,100,99,100,101,101,98,96,96,95,95,97,97,95,94,97,96,96,96,82,90,99,95,96,94,92,84,80,82,74,76,72,83,77,88,83,85,79,79,77,89,88,93,92,90,85,98,71,265,266,113,310,10370,10692,7100,10704,10634,10544,10689,10652,10662,10603,10460,10504,10464,10467,10466,10512,10500,10534,10685,10556,9708,9629,9656,9603,9938,9822,9524,9542,9586,9549,9534,9559,9623,10023,9713,9773,9620,9610,10356,9591,9604,9637,10661,10373,10104,10167,10817,10582,10455,10320,10539,10576,10519,10474,10592,10354,10446,11893,10294,10391,8577,8655,8749,8701,8793,8583,8490,8653,8482,8691,8826,8617,7830,7743,7784,7989,7953,7928,7976,7909,7975,7965,7972,8018,8042,7793,7707,7626,7705,7785,7807,7634,7661,7636,7677,7669,7661,7666,7734,7711,7566,7999,7874
CIV13PE7,1,1,1,2,3,2,2,0,1,1,2,1,1,1,1,2,2,1,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,18,17,24,8,8,10,6,8,8,8,7,7,2,2,2,8,12,12,12,12,12,4,12,15,15,16,16,15,15,46,54,31,30,43,32,39,51,47,41,43,54,43,42,42,44,56,55,42,42,42,43,56,56,49,49,46,42,44,45,181,188,174,56,53,48,112,73,75,75,74,364,165,263,180,181,181,128,183,180,182,169,169,270,229,245,154,147,149,82,146,147,144,143,144,153,150,151,149,144,154,146,150,148,150,151,157,145,146,144,151,147,151,147,146,149,146,146,83,85,83,84,146,86,144,164,151,150,151,152,152,149,148,147,146,146,148,148,146,145,148,147,147,147,83,91,150,146,147,145,143,86,81,83,75,78,73,85,78,89,84,86,81,80,78,90,89,94,93,91,86,99,208,402,399,247,311,10370,10696,7101,10710,10634,10544,10690,10652,10662,10604,10461,10505,10465,10468,10466,10514,10502,10536,10687,10556,9709,9630,9657,9603,9939,9823,9524,9542,9587,9550,9534,9560,9625,10023,9714,9774,9621,9610,10356,9592,9604,9637,10664,10373,10108,10172,10831,10589,10455,10320,10540,10577,10519,10475,10598,10354,10447,11895,10295,10391,8592,8673,8774,8725,8821,8600,8496,8659,8497,8715,8853,8627,7830,7745,7784,7990,7954,7929,7977,7909,7976,7966,7973,8020,8044,7794,7707,7626,7706,7787,7809,7768,7795,7770,7812,7807,7795,7800,7734,7711,7566,7999,7874
CIT159B1,0,0,0,1,2,1,1,1,0,0,1,0,0,0,0,1,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,16,23,7,7,9,5,7,7,7,6,6,1,1,1,7,11,11,11,11,11,3,11,14,14,15,15,14,14,45,53,30,29,42,31,38,50,46,40,42,53,42,41,41,43,55,54,41,41,41,42,55,55,48,48,45,41,43,44,180,187,173,55,52,47,111,72,74,74,73,363,164,262,179,180,180,127,182,179,181,168,168,269,228,244,153,146,148,81,145,146,143,142,143,152,149,150,148,143,153,145,149,147,149,150,156,144,145,143,150,146,150,146,145,148,145,145,82,84,82,83,145,85,143,163,150,149,150,151,151,148,147,146,145,145,147,147,145,144,147,146,146,146,82,90,149,145,146,144,142,85,80,82,74,77,72,84,77,88,83,85,80,79,77,89,88,93,92,90,85,98,207,401,398,246,310,10370,10696,7100,10711,10634,10543,10690,10652,10662,10603,10460,10504,10464,10467,10465,10513,10502,10535,10686,10555,9708,9629,9656,9602,9938,9822,9523,9541,9586,9549,9533,9559,9624,10022,9713,9773,9620,9609,10355,9591,9603,9636,10663,10372,10107,10172,10830,10590,10454,10319,10539,10576,10518,10474,10598,10353,10446,11894,10294,10390,8591,8672,8773,8724,8819,8599,8495,8658,8495,8714,8851,8626,7829,7744,7783,7989,7953,7928,7976,7908,7975,7965,7972,8019,8043,7793,7706,7625,7705,7786,7808,7767,7794,7769,7811,7806,7794,7799,7733,7710,7565,7998,7873
CIT15EB1,0,0,0,1,2,1,1,1,0,0,1,0,0,0,0,1,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,16,23,7,7,9,5,7,7,7,6,6,1,1,1,7,11,11,11,11,11,3,11,14,14,15,15,14,14,45,53,30,29,42,31,38,50,46,40,42,53,42,41,41,43,55,54,41,41,41,42,55,55,48,48,45,41,43,44,180,187,173,55,52,47,111,72,74,74,73,363,164,262,179,180,180,127,182,179,181,168,168,268,228,244,153,146,148,81,145,146,143,142,143,152,149,150,148,143,153,145,149,147,149,150,156,144,145,143,150,146,150,146,145,148,145,145,82,84,82,83,145,85,143,163,150,149,150,151,151,148,147,146,145,145,147,147,145,144,147,146,146,146,82,90,149,145,146,144,142,85,80,82,74,77,72,84,77,88,83,85,80,79,77,89,88,93,92,90,85,98,207,401,398,246,310,10370,10696,7100,10711,10634,10543,10690,10652,10662,10603,10460,10504,10464,10467,10465,10513,10502,10535,10686,10555,9708,9629,9656,9602,9938,9822,9523,9541,9586,9549,9533,9559,9624,10022,9713,9773,9620,9609,10355,9591,9603,9636,10663,10371,10107,10172,10829,10589,10454,10319,10540,10576,10518,10474,10597,10353,10446,11894,10294,10390,8590,8671,8772,8723,8818,8598,8494,8657,8494,8713,8850,8625,7828,7743,7782,7988,7952,7927,7975,7907,7974,7964,7971,8018,8042,7792,7705,7624,7704,7785,7807,7765,7792,7767,7809,7804,7792,7797,7732,7709,7564,7997,7873
