isolate_id,run_accession,sample_accession,sequence_type,lineage
CIV13YE8,ERR16714705,ERS29128510,335,5
CIT15GS1,ERR16714692,ERS29128497,335,5
CIT15EB1,ERR16714688,ERS29128493,335,5
CIT15FH1,ERR16714690,ERS29128495,335,5
CIT15FB1,ERR16714689,ERS29128494,335,5
CIU149H1,ERR16714695,ERS29128500,335,5
CIV13XE2,ERR16714700,ERS29128505,335,5
CIV13YE6,ERR16714704,ERS29128509,335,5
CIV143E9,ERR16714715,ERS29128520,335,5
CIV143U1,ERR16714716,ERS29128521,335,5
CIV143E2,ERR16714713,ERS29128518,335,5
CIV143E4,ERR16714714,ERS29128519,335,5
CIV144E6,ERR16714717,ERS29128522,335,5
CIV144U1,ERR16714718,ERS29128523,335,5
CIV146E8,ERR16714719,ERS29128524,335,5
CIV142E6,ERR16714712,ERS29128517,335,5
CIV140E6,ERR16714708,ERS29128513,335,5
CIV140E7,ERR16714709,ERS29128514,335,5
CIV141E6,ERR16714711,ERS29128516,335,5
