isolate_id,run_accession,XDR_genomic_profile,genomic_determinants
44341_3_304,ERR16714663,1,blaOXA-1; blaOXA-10; cmlA5; floR; dfrA23; blaCTX-M-15; qnrB1; tet(A); sul1; sul2; aac(3)-IIe; aac(6')-Ib-cr5; aadA1; aph(3'')-Ib; aph(6)-Id; arr-2; qacEdelta1
44341_3_305,ERR16714664,1,blaOXA-1; blaOXA-10; cmlA5; floR; dfrA23; blaCTX-M-15; qnrB1; tet(A); sul1; sul2; aac(3)-IIe; aac(6')-Ib-cr5; aadA1; aph(3'')-Ib; aph(6)-Id; arr-2; qacEdelta1
44341_3_281,ERR16714662,1,blaOXA-1; blaOXA-10; cmlA5; floR; dfrA23; blaCTX-M-15; qnrB1; tet(A); sul1; sul2; aac(3)-IIe; aac(6')-Ib-cr5; aadA1; aph(3'')-Ib; aph(6)-Id; arr-2; qacEdelta1
CIV13XE8,ERR16714702,1,blaOXA-1; blaOXA-10; cmlA5; floR; dfrA23; blaCTX-M-15; qnrB1; tet(A); sul1; sul2; aac(3)-IIe; aac(6')-Ib-cr5; aadA1; aph(3'')-Ib; aph(6)-Id; arr-2; qacEdelta1
44341_3_128,ERR16714653,1,blaOXA-1; blaOXA-10; cmlA5; floR; dfrA23; blaCTX-M-15; qnrB1; tet(A); sul1; sul2; aac(3)-IIe; aac(6')-Ib-cr5; aadA1; aph(3'')-Ib; aph(6)-Id; arr-2; qacEdelta1
44341_3_131,ERR16714654,1,blaOXA-1; blaOXA-10; cmlA5; floR; dfrA23; blaCTX-M-15; qnrB1; tet(A); sul1; sul2; aac(3)-IIe; aac(6')-Ib-cr5; aadA1; aph(3'')-Ib; aph(6)-Id; arr-2; qacEdelta1
44341_3_136,ERR16714655,0,blaOXA-1; blaOXA-10; cmlA5; floR; dfrA23; qnrB1; tet(A); sul1; sul2; aac(6')-Ib-cr5; aadA1; aph(3'')-Ib; aph(6)-Id; arr-2; qacEdelta1
CIV13PE7,ERR16714696,1,blaOXA-1; blaOXA-10; cmlA5; floR; dfrA23; blaCTX-M-15; qnrB1; tet(A); sul1; sul2; aac(3)-IIe; aac(6')-Ib-cr5; aadA1; aph(3'')-Ib; aph(6)-Id; arr-2; qacEdelta1
CIT159B1,ERR16714687,1,blaOXA-1; blaOXA-10; cmlA5; floR; dfrA23; blaCTX-M-15; qnrB1; tet(A); sul1; sul2; aac(3)-IIe; aac(6')-Ib-cr5; aadA1; aph(3'')-Ib; aph(6)-Id; arr-2; qacEdelta1
CIT15EB1,ERR16714688,1,blaOXA-1; blaOXA-10; cmlA5; floR; dfrA23; blaCTX-M-15; qnrB1; tet(A); sul1; sul2; aac(3)-IIe; aac(6')-Ib-cr5; aadA1; aph(3'')-Ib; aph(6)-Id; arr-2; qacEdelta1
CIS153C1,ERR16714684,1,blaOXA-1; blaOXA-10; cmlA5; floR; dfrA23; blaCTX-M-15; qnrB1; tet(A); sul1; sul2; aac(3)-IIe; aac(6')-Ib-cr5; aadA1; aph(3'')-Ib; aph(6)-Id; arr-2; qacEdelta1
CIV147E3,ERR16714720,1,blaOXA-1; blaOXA-10; cmlA5; floR; dfrA23; blaCTX-M-15; qnrB1; tet(A); sul1; sul2; aac(3)-IIe; aac(6')-Ib-cr5; aadA1; aph(3'')-Ib; aph(6)-Id; arr-2; qacEdelta1
CIT15FH1,ERR16714690,1,blaOXA-1; blaOXA-10; cmlA5; floR; dfrA23; blaCTX-M-15; qnrB1; tet(A); sul1; sul2; aac(3)-IIe; aac(6')-Ib-cr5; aadA1; aph(3'')-Ib; aph(6)-Id; arr-2; qacEdelta1
CIV143E2,ERR16714713,1,blaOXA-1; blaOXA-10; cmlA5; floR; dfrA23; blaCTX-M-15; qnrB1; tet(A); sul1; sul2; aac(3)-IIe; aac(6')-Ib-cr5; aadA1; aph(3'')-Ib; aph(6)-Id; arr-2; qacEdelta1
CIU145B1,ERR16714694,1,blaOXA-1; blaOXA-10; cmlA5; floR; dfrA23; blaCTX-M-15; qnrB1; tet(A); sul1; sul2; aac(3)-IIe; aac(6')-Ib-cr5; aadA1; aph(3'')-Ib; aph(6)-Id; arr-2; qacEdelta1
44341_3_310,ERR16714665,1,blaOXA-1; blaOXA-10; cmlA5; floR; dfrA23; blaCTX-M-15; qnrB1; tet(A); sul1; sul2; aac(3)-IIe; aac(6')-Ib-cr5; aadA1; aph(3'')-Ib; aph(6)-Id; arr-2; qacEdelta1
CIV13XE2,ERR16714700,1,blaOXA-1; blaOXA-10; cmlA5; floR; dfrA23; blaCTX-M-15; qnrB1; tet(A); sul1; sul2; aac(3)-IIe; aac(6')-Ib-cr5; aadA1; aph(3'')-Ib; aph(6)-Id; arr-2; qacEdelta1
