isolate_id,SRR2917137,SRR2917139,SRR3137069,SRR6107195,SRR2917138,SRR2917136,SRR5084265,SRR5121494,SRR3001933,SRR5121497,SRR2917140,ERR10368770,ERR160996,SRR5056398,ERR3635287,SRR22175068,SRR21787058,SRR21787324,SRR26858817,SRR27185117,SRR21535455,SRR21535466
SRR2917137,0,0,0,15,1,0,9,13,2,2,3,24,356,354,420,423,422,422,424,421,425,425
SRR2917139,0,0,0,15,1,0,9,9,2,3,3,24,366,364,430,433,432,432,434,431,435,435
SRR3137069,0,0,0,15,1,0,9,8,2,2,3,24,382,380,447,452,451,451,453,450,454,454
SRR6107195,15,15,15,0,14,14,22,39,15,15,16,37,390,388,454,458,457,457,459,456,460,460
SRR2917138,1,1,1,14,0,0,8,11,1,1,2,23,387,385,452,458,457,457,459,456,460,460
SRR2917136,0,0,0,14,0,0,9,9,0,0,1,22,340,338,403,408,406,405,407,404,409,408
SRR5084265,9,9,9,22,8,9,0,28,7,8,8,29,383,381,427,452,451,451,453,450,454,454
SRR5121494,13,9,8,39,11,9,28,0,8,23,11,48,382,380,447,451,450,450,452,449,453,453
SRR3001933,2,2,2,15,1,0,7,8,0,0,1,22,358,356,422,425,424,424,426,423,426,426
SRR5121497,2,3,2,15,1,0,8,23,0,0,1,22,377,374,440,447,446,446,448,445,449,449
SRR2917140,3,3,3,16,2,1,8,11,1,1,0,23,388,386,453,459,458,458,460,457,461,461
ERR10368770,24,24,24,37,23,22,29,48,22,22,23,0,392,390,457,461,460,460,462,459,462,463
ERR160996,356,366,382,390,387,340,383,382,358,377,388,392,0,1,81,51,50,50,53,51,54,55
SRR5056398,354,364,380,388,385,338,381,380,356,374,386,390,1,0,76,49,48,48,52,49,52,53
ERR3635287,420,430,447,454,452,403,427,447,422,440,453,457,81,76,0,68,67,67,71,68,71,72
SRR22175068,423,433,452,458,458,408,452,451,425,447,459,461,51,49,68,0,1,1,5,2,7,7
SRR21787058,422,432,451,457,457,406,451,450,424,446,458,460,50,48,67,1,0,0,4,1,6,6
SRR21787324,422,432,451,457,457,405,451,450,424,446,458,460,50,48,67,1,0,0,4,1,6,6
SRR26858817,424,434,453,459,459,407,453,452,426,448,460,462,53,52,71,5,4,4,0,5,10,10
SRR27185117,421,431,450,456,456,404,450,449,423,445,457,459,51,49,68,2,1,1,5,0,7,7
SRR21535455,425,435,454,460,460,409,454,453,426,449,461,462,54,52,71,7,6,6,10,7,0,0
SRR21535466,425,435,454,460,460,408,454,453,426,449,461,463,55,53,72,7,6,6,10,7,0,0
