isolate_id,ERR10109274,ERR12552381,ERR12552377,ERR11896635,ERR9079508,ERR9420153,ERR10117717,ERR6806600,ERR7197757,ERR6806028,ERR9288082,ERR11455881,ERR6806632,ERR4451478,ERR12302226,ERR12552384,ERR12067334,ERR10880424,ERR10123158,ERR10176869,ERR10880230,ERR11453719,ERR10880157,ERR11872767,ERR6752889,ERR9288143,ERR5751308,ERR4399358,ERR4399957,ERR4399362,SRR13833609
ERR10109274,0,16,16,16,11,20,18,20,15,13,12,21,19,22,25,25,22,20,19,59,52,56,62,64,59,60,79,137,138,100,213
ERR12552381,16,0,0,5,11,18,16,18,12,10,9,17,16,19,22,22,18,17,16,57,50,54,60,62,57,57,77,139,140,98,303
ERR12552377,16,0,0,5,11,18,16,18,12,10,9,17,16,19,22,22,18,17,16,57,50,54,60,62,57,57,78,140,141,99,224
ERR11896635,16,5,5,0,10,17,15,17,11,9,8,16,15,18,21,21,17,16,15,55,48,52,58,60,55,55,76,138,139,97,302
ERR9079508,11,11,11,10,0,16,13,15,9,8,6,15,13,16,19,19,16,14,13,54,47,51,57,59,54,55,75,137,137,96,299
ERR9420153,20,18,18,17,16,0,2,4,14,12,11,19,18,21,24,24,20,19,18,52,51,56,52,53,46,50,44,92,93,65,306
ERR10117717,18,16,16,15,13,2,0,2,12,10,9,17,16,19,22,22,18,17,16,48,47,52,49,49,43,46,41,89,90,62,303
ERR6806600,20,18,18,17,15,4,2,0,14,12,11,19,18,21,24,24,20,19,18,51,50,55,52,52,46,49,44,91,92,64,305
ERR7197757,15,12,12,11,9,14,12,14,0,1,3,11,9,13,16,16,12,11,10,42,41,46,43,43,37,41,34,82,83,55,296
ERR6806028,13,10,10,9,8,12,10,12,1,0,1,9,8,11,14,14,10,9,8,42,41,46,42,43,36,41,34,82,83,55,296
ERR9288082,12,9,9,8,6,11,9,11,3,1,0,8,7,10,13,13,9,8,7,39,38,43,40,40,34,38,32,80,81,53,294
ERR11455881,21,17,17,16,15,19,17,19,11,9,8,0,15,18,21,21,17,16,15,50,48,53,51,49,44,48,42,90,91,63,304
ERR6806632,19,16,16,15,13,18,16,18,9,8,7,15,0,15,18,18,14,13,12,44,43,48,45,45,39,43,37,80,81,58,299
ERR4451478,22,19,19,18,16,21,19,21,13,11,10,18,15,0,19,19,15,14,13,55,54,59,56,56,50,54,42,90,91,63,302
ERR12302226,25,22,22,21,19,24,22,24,16,14,13,21,18,19,0,2,4,5,6,50,49,54,51,51,45,49,43,91,92,64,305
ERR12552384,25,22,22,21,19,24,22,24,16,14,13,21,18,19,2,0,4,5,6,51,50,55,52,52,46,50,44,92,93,65,306
ERR12067334,22,18,18,17,16,20,18,20,12,10,9,17,14,15,4,4,0,1,2,47,45,50,48,47,41,45,39,87,88,60,301
ERR10880424,20,17,17,16,14,19,17,19,11,9,8,16,13,14,5,5,1,0,1,46,45,50,47,47,41,45,39,87,88,60,301
ERR10123158,19,16,16,15,13,18,16,18,10,8,7,15,12,13,6,6,2,1,0,45,44,49,46,46,40,44,38,86,87,59,300
ERR10176869,59,57,57,55,54,52,48,51,42,42,39,50,44,55,50,51,47,46,45,0,3,8,5,8,7,57,45,228,229,74,308
ERR10880230,52,50,50,48,47,51,47,50,41,41,38,48,43,54,49,50,45,45,44,3,0,7,4,7,6,56,44,227,228,67,307
ERR11453719,56,54,54,52,51,56,52,55,46,46,43,53,48,59,54,55,50,50,49,8,7,0,5,12,11,61,49,232,233,71,312
ERR10880157,62,60,60,58,57,52,49,52,43,42,40,51,45,56,51,52,48,47,46,5,4,5,0,9,8,58,46,229,230,77,309
ERR11872767,64,62,62,60,59,53,49,52,43,43,40,49,45,56,51,52,47,47,46,8,7,12,9,0,7,57,46,229,230,79,308
ERR6752889,59,57,57,55,54,46,43,46,37,36,34,44,39,50,45,46,41,41,40,7,6,11,8,7,0,52,40,223,224,74,303
ERR9288143,60,57,57,55,55,50,46,49,41,41,38,48,43,54,49,50,45,45,44,57,56,61,58,57,52,0,43,226,227,74,213
ERR5751308,79,77,78,76,75,44,41,44,34,34,32,42,37,42,43,44,39,39,38,45,44,49,46,46,40,43,0,71,72,53,293
ERR4399358,137,139,140,138,137,92,89,91,82,82,80,90,80,90,91,92,87,87,86,228,227,232,229,229,223,226,71,0,2,52,279
ERR4399957,138,140,141,139,137,93,90,92,83,83,81,91,81,91,92,93,88,88,87,229,228,233,230,230,224,227,72,2,0,53,279
ERR4399362,100,98,99,97,96,65,62,64,55,55,53,63,58,63,64,65,60,60,59,74,67,71,77,79,74,74,53,52,53,0,261
SRR13833609,213,303,224,302,299,306,303,305,296,296,294,304,299,302,305,306,301,301,300,308,307,312,309,308,303,213,293,279,279,261,0
