isolate_id,SRR26050334,SRR5379276,SRR6457657,SRR14360286,SRR8137438,ERR3635266,SRR1973602,SRR3002514,SRR7467291,ERR4400884,ERR4399363,ERR4401298,ERR4400265,ERR4401598,ERR4401297,ERR4401299,ERR6806710,SRR952929,SRR7292863,SRR1966891,SRR1967735
SRR26050334,0,12,71,43,46,69,69,43,61,79,81,80,81,81,93,93,66,52,67,825,812
SRR5379276,12,0,63,37,38,61,61,35,54,71,73,72,73,73,85,85,59,44,59,810,801
SRR6457657,71,63,0,36,38,59,59,33,52,73,71,70,71,71,83,83,57,42,57,816,806
SRR14360286,43,37,36,0,54,74,74,48,65,88,86,85,86,86,98,98,72,57,72,827,814
SRR8137438,46,38,38,54,0,76,74,48,65,86,85,84,86,86,96,96,72,60,66,824,812
ERR3635266,69,61,59,74,76,0,7,53,70,93,97,91,97,92,104,104,77,62,81,811,808
SRR1973602,69,61,59,74,74,7,0,54,72,93,92,91,92,92,104,104,78,63,77,820,815
SRR3002514,43,35,33,48,48,53,54,0,47,67,66,65,66,66,78,78,90,37,51,810,800
SRR7467291,61,54,52,65,65,70,72,47,0,85,84,83,84,84,96,96,71,56,69,816,804
ERR4400884,79,71,73,88,86,93,93,67,85,0,1,1,4,5,25,25,71,62,78,834,825
ERR4399363,81,73,71,86,85,97,92,66,84,1,0,0,3,4,24,24,70,61,77,833,824
ERR4401298,80,72,70,85,84,91,91,65,83,1,0,0,3,4,23,23,69,60,76,832,823
ERR4400265,81,73,71,86,86,97,92,66,84,4,3,3,0,3,24,24,70,61,77,833,824
ERR4401598,81,73,71,86,86,92,92,66,84,5,4,4,3,0,24,24,70,61,77,833,824
ERR4401297,93,85,83,98,96,104,104,78,96,25,24,23,24,24,0,0,82,73,89,845,836
ERR4401299,93,85,83,98,96,104,104,78,96,25,24,23,24,24,0,0,82,73,89,845,836
ERR6806710,66,59,57,72,72,77,78,90,71,71,70,69,70,70,82,82,0,47,63,815,806
SRR952929,52,44,42,57,60,62,63,37,56,62,61,60,61,61,73,73,47,0,48,803,794
SRR7292863,67,59,57,72,66,81,77,51,69,78,77,76,77,77,89,89,63,48,0,796,787
SRR1966891,825,810,816,827,824,811,820,810,816,834,833,832,833,833,845,845,815,803,796,0,50
SRR1967735,812,801,806,814,812,808,815,800,804,825,824,823,824,824,836,836,806,794,787,50,0
